company_code,company_name,report_year,document_type,source_url,retrieval_url,local_path,sha256,size
00702.HK,SINO OIL & GAS,2023,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0426/2024042602791.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0426/2024042602791.pdf,data/raw/00702.HK/2023/annual_report.pdf,1dbfb2258efb3e67648d6e67c047c277afe8523a8ff0571f41488e7fd8c645fc,4974255
00702.HK,SINO OIL & GAS,2023,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0426/2024042602887.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0426/2024042602887.pdf,data/raw/00702.HK/2023/esg_report.pdf,e29d83830e34160ac949eebfcf8e48db42018a07da96634c3a3268d90fcce48c,905188
01101.HK,HUARONG ENERGY,2023,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0430/2024043001896.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0430/2024043001896.pdf,data/raw/01101.HK/2023/annual_report.pdf,2345310d56c77b254582c6101505966ddc8eb76ad6f223461ad43b66d51511b8,5012718
