company_code,company_name,indicator_code,official_domain,domain_status,next_action,authority_policy
000533.SZ,顺钠股份,Q_E_GHG_REDUCTION_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_E_HAZ_WASTE_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_E_NOX_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_E_PM_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_E_SO2_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_E_SOLID_WASTE_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_E_WASTEWATER_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_E_WATER_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_G_CASH_CURRENT_LIABILITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_G_CURRENT_ASSET_TURNOVER,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_G_EBITDA_MARGIN,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_G_QUICK_RATIO,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_G_ROA,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000533.SZ,顺钠股份,Q_G_TWO_FUNDS_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
