client_rank_approx,company_code,company_name,our_rank,our_score,disclosure_rate,category
1,600900.SH,长江电力,11,45.35,66.25,stable_like
2,600995.SH,南网储能,23,41.93,63.75,stable_like
3,02688.HK,ENN ENERGY,77,34.45,61.25,stable_like
4,300274.SZ,阳光电源,26,41.2,63.75,stable_like
5,601567.SH,三星电气,63,36.05,61.25,stable_like
6,00135.HK,KUNLUN ENERGY,174,28.12,63.75,stable_like
7,002911.SZ,佛燃能源,227,25.56,35.0,client_top50_to_outside_our_top200
8,00686.HK,BJ ENERGY INTL,317,20.58,58.75,client_top50_to_outside_our_top200
9,688676.SH,金盘科技,3,52.29,71.25,stable_like
10,600339.SH,中油工程,187,27.55,37.5,stable_like
11,688408.SH,中信博,260,23.86,40.0,client_top50_to_outside_our_top200
12,600406.SH,国电南瑞,111,31.31,40.0,stable_like
13,000400.SZ,许继电气,51,37.89,62.5,stable_like
14,688248.SH,南网科技,31,40.49,65.0,stable_like
15,600968.SH,海油发展,27,41.11,60.0,stable_like
16,603031.SH,安孚科技,6,47.48,70.0,stable_like
17,603606.SH,东方电缆,67,35.69,51.25,stable_like
18,01193.HK,CHINA RES GAS,325,19.96,51.25,client_top50_to_outside_our_top200
19,301327.SZ,华宝新能,474,12.24,25.0,client_top50_to_outside_our_top200
20,601877.SH,正泰电器,12,45.16,71.25,stable_like
21,002706.SZ,良信股份,86,33.29,61.25,stable_like
22,601126.SH,四方股份,56,37.28,62.5,stable_like
23,600885.SH,宏发股份,13,45.03,68.75,stable_like
24,600956.SH,新天绿能,42,38.67,70.0,stable_like
25,00956.HK,,,,,missing_from_our_universe
26,601179.SH,中国西电,429,15.29,22.5,client_top50_to_outside_our_top200
27,603050.SH,科林电气,169,28.33,32.5,stable_like
28,01083.HK,TG SMART ENERGY,458,13.41,42.5,client_top50_to_outside_our_top200
29,600821.SH,金开新能,39,39.05,65.0,stable_like
30,600875.SH,东方电气,482,11.51,23.75,client_top50_to_outside_our_top200
31,01072.HK,,,,,missing_from_our_universe
32,01713.HK,SICHUAN EN INV,230,25.44,52.5,client_top50_to_outside_our_top200
33,605117.SH,德业股份,19,43.46,63.75,stable_like
34,601666.SH,平煤股份,55,37.49,63.75,stable_like
35,001208.SZ,华菱线缆,370,17.57,25.0,client_top50_to_outside_our_top200
36,688155.SH,先惠技术,135,30.12,42.5,stable_like
37,600803.SH,新奥股份,248,24.72,53.75,client_top50_to_outside_our_top200
38,601616.SH,广电电气,247,24.74,37.5,client_top50_to_outside_our_top200
39,600236.SH,桂冠电力,1,55.41,71.25,stable_like
40,002534.SZ,西子洁能,240,25.15,36.25,client_top50_to_outside_our_top200
41,003035.SZ,南网能源,43,38.62,50.0,stable_like
42,601727.SH,上海电气,294,22.21,53.75,client_top50_to_outside_our_top200
43,02727.HK,,,,,missing_from_our_universe
44,300316.SZ,晶盛机电,115,31.15,38.75,stable_like
45,00384.HK,CHINA GAS HOLD,391,16.5,55.0,client_top50_to_outside_our_top200
46,300693.SZ,盛弘股份,315,20.81,28.75,client_top50_to_outside_our_top200
47,002202.SZ,金风科技,347,18.54,35.0,client_top50_to_outside_our_top200
48,02208.HK,,,,,missing_from_our_universe
49,600938.SH,中国海油,528,7.94,21.25,client_top50_to_outside_our_top200
50,00883.HK,,,,,missing_from_our_universe
51,003816.SZ,中国广核,375,17.24,28.75,stable_like
52,601088.SH,中国神华,371,17.54,47.5,stable_like
53,01088.HK,,,,,missing_from_our_universe
54,00182.HK,CONCORD NE,332,19.75,53.75,stable_like
55,03899.HK,CIMC ENRIC,92,32.87,63.75,stable_like
56,688349.SH,三一重能,457,13.46,27.5,client_top200_to_our_bottom_half
57,300763.SZ,锦浪科技,271,23.25,32.5,stable_like
58,603063.SH,禾望电气,14,44.62,70.0,stable_like
59,000819.SZ,岳阳兴长,112,31.28,53.75,stable_like
60,300820.SZ,英杰电气,69,35.42,43.75,stable_like
61,600482.SH,中国动力,7,47.42,71.25,stable_like
62,600032.SH,浙江新能,59,36.93,61.25,stable_like
63,002518.SZ,科士达,79,33.93,41.25,stable_like
64,300001.SZ,特锐德,47,38.27,61.25,stable_like
65,601898.SH,中煤能源,491,10.84,18.75,client_top200_to_our_bottom_half
66,01898.HK,,,,,missing_from_our_universe
67,301291.SZ,明阳电气,306,21.41,30.0,stable_like
68,300037.SZ,新宙邦,342,18.96,32.5,stable_like
69,600905.SH,三峡能源,30,40.54,68.75,stable_like
70,688516.SH,奥特维,175,28.07,38.75,stable_like
71,600580.SH,卧龙电驱,120,30.8,41.25,stable_like
72,688717.SH,艾罗能源,189,27.37,36.25,stable_like
73,002128.SZ,电投能源,302,21.62,35.0,stable_like
74,601615.SH,明阳智能,90,33.03,62.5,stable_like
75,01798.HK,DATANG RENEW,74,34.54,65.0,stable_like
76,300390.SZ,天华新能,333,19.74,32.5,stable_like
77,300207.SZ,欣旺达,83,33.6,61.25,stable_like
78,603097.SH,江苏华辰,152,29.27,41.25,stable_like
79,601857.SH,中国石油,436,14.75,45.0,client_top200_to_our_bottom_half
80,00857.HK,,,,,missing_from_our_universe
81,600025.SH,华能水电,106,31.78,37.5,stable_like
82,300870.SZ,欧陆通,70,34.8,65.0,stable_like
83,00346.HK,YANCHANG PETRO,485,11.32,40.0,client_top200_to_our_bottom_half
84,603659.SH,璞泰来,126,30.5,36.25,stable_like
85,002056.SZ,横店东磁,432,15.25,22.5,client_top200_to_our_bottom_half
86,920167.BJ,同享科技,529,7.87,21.25,client_top200_to_our_bottom_half
87,600163.SH,中闽能源,75,34.53,53.75,stable_like
88,01621.HK,VICO INTL HLDGS,519,8.88,32.5,client_top200_to_our_bottom_half
89,002851.SZ,麦格米特,404,16.02,22.5,client_top200_to_our_bottom_half
90,002487.SZ,大金重工,215,26.09,32.5,stable_like
91,002267.SZ,陕天然气,260,23.86,27.5,stable_like
92,300750.SZ,宁德时代,464,13.06,21.25,client_top200_to_our_bottom_half
93,03750.HK,,,,,missing_from_our_universe
94,603556.SH,海兴电力,134,30.18,38.75,stable_like
95,01600.HK,TIAN LUN GAS,105,31.81,60.0,stable_like
96,600028.SH,中国石化,198,26.85,55.0,stable_like
97,00386.HK,,,,,missing_from_our_universe
98,01733.HK,E-COMMODITIES,295,22.08,55.0,stable_like
99,03337.HK,ANTON OILFIELD,339,19.16,51.25,stable_like
100,601225.SH,陕西煤业,4,49.23,70.0,stable_like
101,00228.HK,CHINA ENERGY,379,17.01,47.5,stable_like
102,002560.SZ,通达股份,61,36.38,41.25,stable_like
103,688348.SH,昱能科技,389,16.61,32.5,stable_like
104,688472.SH,阿特斯,46,38.31,67.5,stable_like
105,000922.SZ,佳电股份,25,41.61,60.0,stable_like
106,300514.SZ,友讯达,172,28.16,33.75,stable_like
107,01407.HK,JY GAS,174,28.12,46.25,stable_like
108,688681.SH,科汇股份,95,32.67,41.25,stable_like
109,300772.SZ,运达股份,369,17.64,33.75,stable_like
110,001289.SZ,龙源电力,496,10.4,23.75,client_top200_to_our_bottom_half
111,00916.HK,,,,,missing_from_our_universe
112,300014.SZ,亿纬锂能,73,34.65,48.75,stable_like
113,000533.SZ,顺钠股份,91,33.01,62.5,stable_like
114,300073.SZ,当升科技,28,40.97,53.75,stable_like
115,002692.SZ,远程股份,124,30.62,43.75,stable_like
116,600188.SH,兖矿能源,468,12.78,25.0,client_top200_to_our_bottom_half
117,01171.HK,,,,,missing_from_our_universe
118,603053.SH,成都燃气,94,32.7,52.5,stable_like
119,603628.SH,清源股份,201,26.76,35.0,stable_like
120,601808.SH,中海油服,518,8.93,17.5,client_top200_to_our_bottom_half
121,02883.HK,,,,,missing_from_our_universe
122,002121.SZ,科陆电子,430,15.27,27.5,client_top200_to_our_bottom_half
123,600101.SH,明星电力,40,39.03,65.0,stable_like
124,603806.SH,福斯特,287,22.52,32.5,stable_like
125,02386.HK,SINOPEC SEG,183,27.83,53.75,stable_like
126,300105.SZ,龙源技术,192,27.24,38.75,stable_like
127,688778.SH,厦钨新能,66,35.92,60.0,stable_like
