rank,company_code,company_name,esg_score,quantitative_score,qualitative_score,e_score,s_score,g_score,indicator_count,extracted_count,calculated_count,filled_count
128,002350.SZ,北京科锐,40.672300157724735,50.840375197155915,0,51.57082417443911,52.144430171243464,49.27089454720707,40,12,0,28
129,605368.SH,蓝天燃气,40.67203309487277,50.84004136859096,0,51.57082417443911,47.10779957558668,51.88351594939747,38,18,0,20
130,920522.BJ,纳科诺尔,40.648810550186454,50.81101318773307,0,51.57082417443911,51.723818166235546,49.29072440838048,37,5,0,32
131,000049.SZ,德赛电池,40.63648084430366,50.79560105537958,0,51.57082417443911,52.01281070638203,49.05148577755638,38,6,0,32
132,002451.SZ,摩恩电气,40.63519402633978,50.793992532924726,0,51.57082417443911,50.87271131752443,49.915753625999976,38,11,0,27
133,605090.SH,九丰能源,40.63468942562331,50.79336178202913,0,51.57082417443911,45.63741079839004,53.03982250575177,38,14,0,24
134,600149.SH,廊坊发展,40.60592653832381,50.75740817290475,0,51.57082417443911,44.39736225222577,52.90373568966737,38,19,0,19
135,002623.SZ,亚玛顿,40.603980037189416,50.75497504648677,0,51.57082417443911,56.43675301326444,46.09299900297179,39,15,0,24
136,600995.SH,南网储能,40.59686251746112,50.74607814682639,0,47.69815896231433,58.5197882433183,50.18717451160017,48,40,0,8
137,000720.SZ,新能泰山,40.579703104279304,50.72462888034913,0,51.57082417443911,54.766340470827174,47.82234416683761,38,13,0,25
138,002953.SZ,日丰股份,40.558868470674966,50.698585588343704,0,51.57082417443911,53.00174114221253,48.717910647786674,39,21,0,18
139,601567.SH,三星电气,40.55830548434335,50.69788185542918,0,48.13851693438493,58.44530966979858,49.575476900180654,45,34,1,10
140,002608.SZ,江苏国信,40.55381620868182,50.692270260852275,0,51.57082417443911,46.38397659287093,52.332475695737585,39,10,0,29
141,000421.SZ,南京公用,40.533492807617336,50.66686600952166,0,51.57082417443911,54.000023496145,47.62735108173139,40,11,0,29
142,001331.SZ,胜通能源,40.48873726848976,50.61092158561219,0,51.57082417443911,45.86067398213714,52.46922995100046,39,12,0,27
143,688147.SH,微导纳米,40.47902159350168,50.598776991877095,0,51.57082417443911,54.43366682038418,46.87282221898161,38,8,0,30
144,300018.SZ,中元股份,40.46738941719882,50.58423677149852,0,51.57082417443911,54.10301375440434,47.66891379798248,38,14,0,24
