stock_code,company_name,exchange,current_sub_industry,snapshot_industry,entity_id,industry_status,entity_status,priority,next_action,snapshot_source_url,snapshot_as_of_date
00632.HK,CHK OIL,HKEX,历史能源样本待复核,待分类,00632.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00639.HK,SHOUGANG RES,HKEX,历史能源样本待复核,待分类,00639.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00645.HK,ARES ASIA,HKEX,历史能源样本待复核,待分类,00645.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00650.HK,PRODUCTIVE TECH,HKEX,历史能源样本待复核,待分类,00650.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00666.HK,REPT BATTERO,HKEX,历史能源样本待复核,待分类,00666.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00686.HK,BJ ENERGY INTL,HKEX,历史能源样本待复核,待分类,00686.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00689.HK,EPI (HOLDINGS),HKEX,历史能源样本待复核,待分类,00689.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00702.HK,SINO OIL & GAS,HKEX,历史能源样本待复核,待分类,00702.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00704.HK,HUSCOKE HLDGS,HKEX,历史能源样本待复核,待分类,00704.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00819.HK,TIANNENG POWER,HKEX,历史能源样本待复核,待分类,00819.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00836.HK,CHINA RES POWER,HKEX,历史能源样本待复核,待分类,00836.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00866.HK,CHINA QINFA,HKEX,历史能源样本待复核,待分类,00866.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00931.HK,CHINA HK POWER,HKEX,历史能源样本待复核,待分类,00931.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00934.HK,SINOPEC KANTONS,HKEX,历史能源样本待复核,待分类,00934.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00951.HK,CHAOWEI POWER,HKEX,历史能源样本待复核,待分类,00951.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00968.HK,XINYI SOLAR,HKEX,历史能源样本待复核,待分类,00968.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
