company_code,company_name,report_year,document_type,source_url,error
002493.SZ,荣盛石化,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/16b63b4e-eace-4cfc-afa2-c72b411f9e73.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/16b63b4e-eace-4cfc-afa2-c72b411f9e73.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/16b63b4e-eace-4cfc-afa2-c72b411f9e73.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002506.SZ,协鑫集成,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/881073a1-8458-4341-a391-666f5895afb5.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/881073a1-8458-4341-a391-666f5895afb5.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/881073a1-8458-4341-a391-666f5895afb5.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002527.SZ,新时达,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/44885fdc-4e39-4b6b-9a07-5e3934a0e039.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/44885fdc-4e39-4b6b-9a07-5e3934a0e039.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/44885fdc-4e39-4b6b-9a07-5e3934a0e039.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002706.SZ,良信股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/102a015e-92e2-4de1-85da-fd446c6de6a2.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/102a015e-92e2-4de1-85da-fd446c6de6a2.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-11/102a015e-92e2-4de1-85da-fd446c6de6a2.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002700.SZ,万憬能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/ad321010-72cf-4ede-b26a-b891fed89f29.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/ad321010-72cf-4ede-b26a-b891fed89f29.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/ad321010-72cf-4ede-b26a-b891fed89f29.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002531.SZ,天顺风能,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/dc07f8dc-2fd8-483d-8719-4d6bbd229f6a.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/dc07f8dc-2fd8-483d-8719-4d6bbd229f6a.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/dc07f8dc-2fd8-483d-8719-4d6bbd229f6a.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002560.SZ,通达股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/0d5d05db-19be-4fb3-a6d2-3ad22c4882c9.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/0d5d05db-19be-4fb3-a6d2-3ad22c4882c9.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/0d5d05db-19be-4fb3-a6d2-3ad22c4882c9.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002479.SZ,富春环保,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/17203463-9e86-4f69-9b66-0ad097285d31.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/17203463-9e86-4f69-9b66-0ad097285d31.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/17203463-9e86-4f69-9b66-0ad097285d31.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002865.SZ,钧达股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-05-06/72a4451d-e4c2-4f37-bb78-45a9f11f6ed2.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-05-06/72a4451d-e4c2-4f37-bb78-45a9f11f6ed2.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-05-06/72a4451d-e4c2-4f37-bb78-45a9f11f6ed2.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002709.SZ,天赐材料,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-10/08441c70-2330-4e2f-8d4e-76acdc5141be.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-10/08441c70-2330-4e2f-8d4e-76acdc5141be.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-10/08441c70-2330-4e2f-8d4e-76acdc5141be.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
