batch_task_rank,batch_action,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
1,inspect_esg_tables,1,99.270833,67,231,164,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,00002.HK,CLP HOLDINGS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
2,inspect_esg_tables,2,99.270833,45,371,326,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,00003.HK,HK & CHINA GAS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
3,inspect_esg_tables,3,99.270833,51,449,398,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,00006.HK,POWER ASSETS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
4,inspect_esg_tables,4,99.270833,108,285,177,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,000096.SZ,广聚能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
5,inspect_esg_tables,6,99.270833,191,472,281,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,000554.SZ,泰山石油,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
6,inspect_esg_tables,7,99.270833,155,426,271,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,000682.SZ,东方电子,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
7,inspect_esg_tables,9,99.270833,139,334,195,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,001208.SZ,华菱线缆,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
8,inspect_esg_tables,10,99.270833,125,249,124,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,001258.SZ,立新能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
9,inspect_esg_tables,11,99.270833,113,234,121,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,001299.SZ,美能能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
10,inspect_esg_tables,12,99.270833,135,298,163,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,00182.HK,CONCORD NE,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
11,inspect_esg_tables,13,99.270833,11,290,279,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002039.SZ,黔源电力,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
12,inspect_esg_tables,14,99.270833,25,385,360,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002056.SZ,横店东磁,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
13,inspect_esg_tables,15,99.270833,115,365,250,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,00206.HK,CM-ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
14,inspect_esg_tables,16,99.270833,172,281,109,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002074.SZ,国轩高科,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
15,inspect_esg_tables,17,99.270833,194,321,127,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002090.SZ,金智科技,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
16,inspect_esg_tables,18,99.270833,124,307,183,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002276.SZ,万马股份,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
17,inspect_esg_tables,19,99.270833,170,375,205,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,00228.HK,CHINA ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
18,inspect_esg_tables,20,99.270833,76,297,221,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002335.SZ,科华数据,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
19,inspect_esg_tables,21,99.270833,181,294,113,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002452.SZ,长高电气,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
20,inspect_esg_tables,23,99.270833,136,249,113,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002479.SZ,富春环保,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
21,inspect_esg_tables,24,99.270833,174,296,122,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002487.SZ,大金重工,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
22,inspect_esg_tables,25,99.270833,191,447,256,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002506.SZ,协鑫集成,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
23,inspect_esg_tables,26,99.270833,151,303,152,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002531.SZ,天顺风能,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
24,inspect_esg_tables,27,99.270833,153,452,299,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002608.SZ,江苏国信,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
25,inspect_esg_tables,28,99.270833,133,386,253,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002692.SZ,远程股份,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
26,inspect_esg_tables,179,92.361111,67,231,164,True,1.0,1.0,0.716667,1.0,0.944444,32,2.58,00002.HK,CLP HOLDINGS,Q_E_ENERGY_INTENSITY,综合能源消耗强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
27,inspect_esg_tables,180,92.361111,45,371,326,True,1.0,1.0,0.716667,1.0,0.944444,32,2.58,00003.HK,HK & CHINA GAS,Q_E_ENERGY_INTENSITY,综合能源消耗强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
28,inspect_esg_tables,181,92.361111,51,449,398,True,1.0,1.0,0.716667,1.0,0.944444,32,2.58,00006.HK,POWER ASSETS,Q_E_ENERGY_INTENSITY,综合能源消耗强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
29,inspect_esg_tables,182,92.361111,108,285,177,True,1.0,1.0,0.716667,1.0,0.944444,32,2.58,000096.SZ,广聚能源,Q_E_ENERGY_INTENSITY,综合能源消耗强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
30,inspect_esg_tables,184,92.361111,191,472,281,True,1.0,1.0,0.716667,1.0,0.944444,32,2.58,000554.SZ,泰山石油,Q_E_ENERGY_INTENSITY,综合能源消耗强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
