thin_batch_rank,population_deficit,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority,diagnostic_category,diagnostic_excerpt,text_file_count,diagnostic_text_files,scoring_authorized
26,13,3068,66.711806,67,231,164,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,00002.HK,CLP HOLDINGS,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,1,data/text/hkex_reports/00002.HK/2025/annual_report.txt,False
27,13,3069,66.711806,45,371,326,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,00003.HK,HK & CHINA GAS,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,2,data/text/00003.HK/2025/annual_report.txt|data/text/hkex_reports/00003.HK/2025/esg_report.txt,False
28,13,3070,66.711806,51,449,398,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,00006.HK,POWER ASSETS,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,2,data/text/hkex_reports/00006.HK/2025/annual_report.txt|data/text/hkex_reports/00006.HK/2025/esg_report.txt,False
29,13,3071,66.711806,108,285,177,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,000096.SZ,广聚能源,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,1,data/text/000096.SZ/2025/annual_report.txt,False
30,13,3072,66.711806,34,341,307,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,000531.SZ,穗恒运Ａ,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,2,data/text/000531.SZ/2025/annual_report.txt|data/text/000531.SZ/2025/esg_report.txt,False
31,13,3073,66.711806,171,399,228,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,000543.SZ,皖能电力,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,2,data/text/000543.SZ/2025/annual_report.txt|data/text/000543.SZ/2025/esg_report.txt,False
32,13,3074,66.711806,191,472,281,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,000554.SZ,泰山石油,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,2,data/text/000554.SZ/2025/annual_report.txt|data/text/000554.SZ/2025/esg_report.txt,False
33,13,3075,66.711806,155,426,271,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,000682.SZ,东方电子,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,1,data/text/000682.SZ/2025/annual_report.txt,False
34,13,3076,66.711806,136,314,178,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,000791.SZ,甘肃能源,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,2,data/text/000791.SZ/2025/annual_report.txt|data/text/000791.SZ/2025/esg_report.txt,False
35,13,3077,66.711806,139,334,195,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,001208.SZ,华菱线缆,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,1,data/text/001208.SZ/2025/annual_report.txt,False
