company_code,company_name,official_domain,candidate_url,evidence_file,evidence_count,verification_status,next_action
000692.SZ,惠天热电,htrd.cn,http://www.htrd.cn,data/text/000692.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000692.SZ,惠天热电,qyxxpl.ywzh.lnsthj.cn,https://qyxxpl.ywzh.lnsthj.cn,data/text/000692.SZ/2025/annual_report.txt,4,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000703.SZ,恒逸石化,hengyishihua.com,http://www.hengyishihua.com,data/text/000703.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000720.SZ,新能泰山,xntsgs.com,http://www.xntsgs.com,data/text/000720.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000723.SZ,美锦能源,mjenergy.cn,http://www.mjenergy.cn/,data/text/000723.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000767.SZ,晋控电力,jksxpower.jnkgjtnews.com,https://jksxpower.jnkgjtnews.com,data/text/000767.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000791.SZ,甘肃能源,irm.cn,http://irm.cn,data/text/000791.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000791.SZ,甘肃能源,nyfz.gepic.cn,https://nyfz.gepic.cn/,data/text/000791.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000791.SZ,甘肃能源,stcn.com,http://www.stcn.com,data/text/000791.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000819.SZ,岳阳兴长,yyxc0819.com,https://www.yyxc0819.com/,data/text/000819.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000862.SZ,银星能源,ir.p5w.net,https://ir.p5w.net,data/text/000862.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000862.SZ,银星能源,rs.p5w,http://rs.p5w.,data/text/000862.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000862.SZ,银星能源,rs.p5w.net,http://rs.p5w.net,data/text/000862.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000862.SZ,银星能源,yxny.chinalco.com.cn,https://yxny.chinalco.com.cn/,data/text/000862.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000883.SZ,湖北能源,hbny.com.cn,http://www.hbny.com.cn/,data/text/000883.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000922.SZ,佳电股份,jemlc.com,https://www.jemlc.com/,data/text/000922.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000937.SZ,冀中能源,jznygf.com,http://www.jznygf.com,data/text/000937.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
