impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
9210,48.648836,224,285,61,False,0.675676,0.61,0.275556,0.0,0.961806,22,0.992,600149.SH,廊坊发展,Q_E_PM_INTENSITY,颗粒物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9211,48.648836,224,285,61,False,0.675676,0.61,0.275556,0.0,0.961806,22,0.992,600149.SH,廊坊发展,Q_E_WASTEWATER_INTENSITY,废水/污水排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9212,48.648224,317,440,123,False,0.299401,1.0,0.333333,0.0,0.782986,125,1.2,300842.SZ,帝科股份,Q_S_PAY_PER_EMPLOYEE,员工薪酬,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9213,48.646961,108,173,65,False,0.649351,0.65,0.333333,0.0,0.782986,125,1.2,00196.HK,HONGHUA GROUP,Q_S_PAY_PER_EMPLOYEE,员工薪酬,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9214,48.64492,340,468,128,False,0.263158,1.0,0.283333,0.0,0.998264,1,1.02,002865.SZ,钧达股份,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9215,48.640992,434,485,51,False,0.176056,0.51,0.275556,1.0,0.960069,23,0.992,001269.SZ,欧晶科技,Q_E_WATER_INTENSITY,水资源使用强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
9216,48.623631,434,485,51,False,0.176056,0.51,0.275556,1.0,0.958333,24,0.992,001269.SZ,欧晶科技,Q_E_NOX_INTENSITY,氮氧化物排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
9217,48.623512,255,359,104,False,0.47619,1.0,0.233333,0.0,0.588542,237,0.84,603906.SH,龙蟠科技,Q_G_OPERATING_PROFIT_GROWTH,营业利润增长率,G,False,0,,,0,missing_candidate,extend_extraction_rules,2
9218,48.620355,304,528,224,False,0.324675,1.0,0.277778,0.0,0.855903,83,1.0,002169.SZ,智光电气,Q_S_BENEFIT_PER_EMPLOYEE,员工福利、社保和公积金费用,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9219,48.620355,304,464,160,False,0.324675,1.0,0.277778,0.0,0.855903,83,1.0,300626.SZ,华瑞股份,Q_S_BENEFIT_PER_EMPLOYEE,员工福利、社保和公积金费用,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
