company_code,company_name,report_year,indicator_code,value,source,confidence
00002.HK,CLP HOLDINGS,2025,Q_S_SAFETY_INVEST_RATE,8.0,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_S_ENV_INVEST_RATE,3.0,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_S_RD_RATE,22.46,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_S_DONATION_RATE,0.0101674609757,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_S_PAY_PER_EMPLOYEE,194.0,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_S_BENEFIT_PER_EMPLOYEE,1.80888375219,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_S_EDU_PER_EMPLOYEE,134.0,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_S_DIVIDEND_PER_SHARE,0.147,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_G_OPERATING_MARGIN,7.79810136571,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_G_CASH_REALIZATION,106.674299656,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_G_COST_REVENUE_RATE,95.1661055048,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_G_AR_TURNOVER,4.48125793763,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_G_TWO_FUNDS_RATE,45.9690973056,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_G_CASH_CURRENT_LIABILITY,21.4426529945,industry_filled,0.6
00002.HK,CLP HOLDINGS,2025,Q_G_OPERATING_PROFIT_GROWTH,29.8168341886,industry_filled,0.6
000027.SZ,深圳能源,2025,Q_G_REVENUE_GROWTH,5.37689719454,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_REVENUE,7.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_ROE,4.66,extracted,0.9
000027.SZ,深圳能源,2025,Q_S_RD_RATE,22.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_SOLID_WASTE_GENERATION,19.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_S_DIVIDEND_PER_SHARE,0.16,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_DEBT_ASSET_RATE,61.9918441032,extracted,0.9
000027.SZ,深圳能源,2025,Q_S_PAY_PER_EMPLOYEE,23.8832255183,extracted,0.9
000027.SZ,深圳能源,2025,Q_S_EDU_PER_EMPLOYEE,0.824436234524,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_ASSET_TURNOVER,0.260590407211,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_CURRENT_ASSET_TURNOVER,1.15680035112,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_AR_TURNOVER,3.03112347957,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_TWO_FUNDS_RATE,37.5125711199,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_QUICK_RATIO,104.327083213,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_CAPITAL_ACCUMULATION,12.2819469457,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_OPERATING_MARGIN,8.8971123883,extracted,0.9
