company_code,company_name,report_year,indicator_code,decision,candidate_count,distinct_values,selected_value,policy_version,reason
000027.SZ,深圳能源,2025,Q_S_BENEFIT_PER_EMPLOYEE,auto_confirmed,1,4.83279,4.83279,public-disclosure-v5,strict_extraction_evidence_consistent
000027.SZ,深圳能源,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.16,0.16,public-disclosure-v5,official_annual_direct_consistent
000027.SZ,深圳能源,2025,Q_S_EDU_PER_EMPLOYEE,auto_confirmed,1,0.824436,0.824436,public-disclosure-v5,strict_extraction_evidence_consistent
000027.SZ,深圳能源,2025,Q_S_ENV_INVEST_RATE,auto_confirmed,1,0.0588704,0.0588704,public-disclosure-v5,strict_extraction_evidence_consistent
000027.SZ,深圳能源,2025,Q_S_PAY_PER_EMPLOYEE,auto_confirmed,1,23.8832,23.8832,public-disclosure-v5,strict_extraction_evidence_consistent
000027.SZ,深圳能源,2025,Q_S_RD_RATE,auto_confirmed,1,0.83,0.83,public-disclosure-v5,strict_extraction_evidence_consistent
00003.HK,HK & CHINA GAS,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,4.47189,4.47189,public-disclosure-v5,official_annual_direct_consistent
00003.HK,HK & CHINA GAS,2025,Q_G_COST_REVENUE_RATE,auto_confirmed,1,85.031,85.031,public-disclosure-v5,official_annual_direct_consistent
00003.HK,HK & CHINA GAS,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,5.36422,5.36422,public-disclosure-v5,official_annual_direct_consistent
00003.HK,HK & CHINA GAS,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-2.06678,-2.06678,public-disclosure-v5,official_annual_direct_consistent
00003.HK,HK & CHINA GAS,2025,Q_G_ROE,auto_confirmed,1,9.61175,9.61175,public-disclosure-v5,official_annual_direct_consistent
000037.SZ,深南电A,2025,Q_G_AR_TURNOVER,auto_confirmed,1,11.6401,11.6401,public-disclosure-v5,official_annual_direct_consistent
000037.SZ,深南电A,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.185685,0.185685,public-disclosure-v5,official_annual_direct_consistent
000037.SZ,深南电A,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,17.862,17.862,public-disclosure-v5,official_annual_direct_consistent
000037.SZ,深南电A,2025,Q_G_CASH_REALIZATION,auto_confirmed,1,102.547,102.547,public-disclosure-v5,official_annual_direct_consistent
000037.SZ,深南电A,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,2,23.1867|65,23.1867,public-disclosure-v5,consolidated_statement_year_end_derived
000037.SZ,深南电A,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-9.32122,-9.32122,public-disclosure-v5,official_annual_direct_consistent
000037.SZ,深南电A,2025,Q_G_ROE,auto_confirmed,1,10.28,10.28,public-disclosure-v5,official_annual_direct_consistent
000037.SZ,深南电A,2025,Q_S_BENEFIT_PER_EMPLOYEE,auto_confirmed,1,6.20805,6.20805,public-disclosure-v5,strict_extraction_evidence_consistent
000037.SZ,深南电A,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.032,0.032,public-disclosure-v5,official_annual_direct_consistent
000037.SZ,深南电A,2025,Q_S_EDU_PER_EMPLOYEE,auto_confirmed,1,0.632979,0.632979,public-disclosure-v5,strict_extraction_evidence_consistent
000037.SZ,深南电A,2025,Q_S_PAY_PER_EMPLOYEE,auto_confirmed,1,29.4318,29.4318,public-disclosure-v5,strict_extraction_evidence_consistent
000037.SZ,深南电A,2025,Q_S_RD_RATE,auto_confirmed,1,4.25,4.25,public-disclosure-v5,strict_extraction_evidence_consistent
000049.SZ,德赛电池,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,7.38366,7.38366,public-disclosure-v5,official_annual_direct_consistent
000049.SZ,德赛电池,2025,Q_G_ROE,auto_confirmed,1,4.4,4.4,public-disclosure-v5,official_annual_direct_consistent
000049.SZ,德赛电池,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.23,0.23,public-disclosure-v5,official_annual_direct_consistent
000049.SZ,德赛电池,2025,Q_S_RD_RATE,auto_confirmed,1,4.6,4.6,public-disclosure-v5,strict_extraction_evidence_consistent
00006.HK,POWER ASSETS,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,29.307,29.307,public-disclosure-v5,official_annual_direct_consistent
00006.HK,POWER ASSETS,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-16.1045,-16.1045,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_AR_TURNOVER,auto_confirmed,1,41.5457,41.5457,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.408286,0.408286,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,-2.12223,-2.12223,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_CASH_CURRENT_LIABILITY,auto_confirmed,1,-4.56322,-4.56322,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_CASH_REALIZATION,auto_confirmed,1,145.99,145.99,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_COST_REVENUE_RATE,auto_confirmed,1,94.4887,94.4887,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,0.99688,0.99688,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,25.3628,25.3628,public-disclosure-v5,consolidated_statement_year_end_derived
000096.SZ,广聚能源,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,109.218,109.218,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_EBITDA_MARGIN,auto_confirmed,1,11.7301,11.7301,public-disclosure-v5,strict_extraction_evidence_consistent
000096.SZ,广聚能源,2025,Q_G_OPERATING_MARGIN,auto_confirmed,1,10.322,10.322,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_OPERATING_PROFIT_GROWTH,auto_confirmed,1,10.4287,10.4287,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_QUICK_RATIO,auto_confirmed,1,153.923,153.923,public-disclosure-v5,strict_extraction_evidence_consistent
000096.SZ,广聚能源,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-30.906,-30.906,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_ROA,auto_confirmed,1,4.23506,4.23506,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_ROE,auto_confirmed,1,4.14,4.14,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_G_TWO_FUNDS_RATE,auto_confirmed,1,3.2885,3.2885,public-disclosure-v5,official_annual_direct_consistent
000096.SZ,广聚能源,2025,Q_S_BENEFIT_PER_EMPLOYEE,auto_confirmed,1,3.66413,3.66413,public-disclosure-v5,strict_extraction_evidence_consistent
000096.SZ,广聚能源,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.075,0.075,public-disclosure-v5,official_annual_direct_consistent
