stock_code,historical_stock_code,historical_name,historical_abbr,current_chinese_name,current_chinese_short_name,hsic_sub_sector,continuity_status,industry_review_status,h_share_clue,priority,next_action,evidence_url,resolution_evidence_url,reason
00295.HK,00295.HK,江山控股有限公司,江山控股,江山控股有限公司,江山控股,非傳統/ 可再生能源,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=295,,去除组织形式和H股后缀后名称字符级一致
00392.HK,00392.HK,北京控股有限公司,北京控股,北京控股有限公司,北京控股,燃氣供應,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=392,,去除组织形式和H股后缀后名称字符级一致
00632.HK,00632.HK,中港石油有限公司,中港石油,中港石油有限公司,中港石油,油氣生產商,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=632,,去除组织形式和H股后缀后名称字符级一致
00704.HK,00704.HK,和嘉控股有限公司,和嘉控股,和嘉控股有限公司,和嘉控股,煤炭,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=704,,去除组织形式和H股后缀后名称字符级一致
00931.HK,#N/A,中国港能智慧能源集团有限公司,中国港能,中國港能智慧能源集團有限公司,中國港能,非傳統/ 可再生能源,signed_code_resolution,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=931,https://www.hkexnews.hk/listedco/listconews/sehk/2026/0401/2026040103349_c.pdf,当前代码由带官方证据的历史代码解析确认
00934.HK,00934.HK,中石化冠德控股有限公司,中石化冠德,中石化冠德控股有限公司,中石化冠德,油氣設備與服務,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=934,,去除组织形式和H股后缀后名称字符级一致
00975.HK,00975.HK,MONGOLIAN MINING CORPORATION,MONGOL MINING,Mongolian Mining Corporation,MONGOL MINING,煤炭,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=975,,去除组织形式和H股后缀后名称字符级一致
01250.HK,01250.HK,山高新能源集团有限公司,山高新能源,山高新能源集團有限公司,山高新能源,非傳統/ 可再生能源,exact_short_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1250,,公司简称字符级一致
01623.HK,01623.HK,海隆控股有限公司,海隆控股,海隆控股有限公司,海隆控股,油氣設備與服務,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1623,,去除组织形式和H股后缀后名称字符级一致
01733.HK,01733.HK,易大宗控股有限公司,易大宗,易大宗控股有限公司,易大宗,煤炭,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1733,,去除组织形式和H股后缀后名称字符级一致
01878.HK,01878.HK,南戈壁资源有限公司,南戈壁,南戈壁資源有限公司,南戈壁,煤炭,exact_short_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1878,,公司简称字符级一致
01940.HK,01940.HK,CHINA GAS INDUSTRY INVESTMENT HOLDINGS CO. LTD.,CGII HLDGS,China Gas Industry Investment Holdings Co. Ltd.,CGII HLDGS,油氣生產商,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1940,,去除组织形式和H股后缀后名称字符级一致
02178.HK,02178.HK,百勤油田服务有限公司,百勤油服,百勤油田服務有限公司,百勤油服,油氣設備與服務,exact_short_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2178,,公司简称字符级一致
02236.HK,02236.HK,惠生工程技术服务有限公司,惠生工程,惠生工程技術服務有限公司,惠生工程,油氣設備與服務,exact_short_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2236,,公司简称字符级一致
02728.HK,02728.HK,金泰能源控股有限公司,金泰能源控股,金泰能源控股有限公司,金泰能源控股,油氣生產商,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2728,,去除组织形式和H股后缀后名称字符级一致
03395.HK,03395.HK,吉星新能源有限责任公司,吉星新能源,吉星新能源有限責任公司,吉星新能源,油氣生產商,exact_short_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3395,,公司简称字符级一致
03633.HK,03633.HK,中裕能源控股有限公司,中裕能源,中裕能源控股有限公司,中裕能源,燃氣供應,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3633,,去除组织形式和H股后缀后名称字符级一致
03899.HK,03899.HK,中集安瑞科控股有限公司,中集安瑞科,中集安瑞科控股有限公司,中集安瑞科,油氣設備與服務,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3899,,去除组织形式和H股后缀后名称字符级一致
08536.HK,08536.HK,TL Natural Gas Holdings Limited,TL NATURAL GAS,TL Natural Gas Holdings Ltd.,TL NATURAL GAS,油氣生產商,exact_short_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=8536,,公司简称字符级一致
08631.HK,08631.HK,申港控股有限公司,申港控股,申港控股有限公司,申港控股,油氣生產商,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=8631,,去除组织形式和H股后缀后名称字符级一致
