stock_code,historical_stock_code,historical_name,historical_abbr,current_chinese_name,current_chinese_short_name,hsic_sub_sector,continuity_status,industry_review_status,h_share_clue,priority,next_action,evidence_url,resolution_evidence_url,reason
00384.HK,00384.HK,中国燃气控股有限公司,中国燃气,中國燃氣控股有限公司,中國燃氣,燃氣供應,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=384,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00451.HK,00451.HK,协鑫新能源控股有限公司,协鑫新能源,時代數字控股有限公司,時代數字,非傳統/ 可再生能源,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=451,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00467.HK,00467.HK,联合能源集团有限公司,联合能源集团,聯合能源集團有限公司,聯合能源集團,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=467,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00554.HK,00554.HK,汉思能源有限公司,汉思能源,漢思集團控股有限公司,漢思集團控股,油氣設備與服務,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=554,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00579.HK,00579.HK,北京京能清洁能源电力股份有限公司,京能清洁能源,北京京能清潔能源電力股份有限公司 - H股,京能清潔能源,非傳統/ 可再生能源,name_difference,proposed,True,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=579,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00639.HK,00639.HK,首钢福山资源集团有限公司,首钢资源,首鋼福山資源集團有限公司,首鋼資源,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=639,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00645.HK,00645.HK,安域亚洲有限公司,安域亚洲,安域亞洲有限公司,安域亞洲,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=645,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00666.HK,00666.HK,瑞浦兰钧能源股份有限公司,瑞浦兰钧,瑞浦蘭鈞能源股份有限公司 - H股,瑞浦蘭鈞,能源儲存裝置,name_difference,proposed,True,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=666,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00686.HK,00686.HK,北京能源国际控股有限公司,北京能源国际,北京能源國際控股有限公司,北京能源國際－新,非傳統/ 可再生能源,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=686,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00689.HK,00689.HK,长盈集团(控股)有限公司,长盈集团(控股),長盈集團(控股)有限公司,長盈集團（控股）,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=689,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00702.HK,00702.HK,中国油气控股有限公司,中国油气控股,中國油氣控股有限公司,中國油氣控股,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=702,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00819.HK,00819.HK,天能动力国际有限公司,天能动力,天能動力國際有限公司,天能動力,能源儲存裝置,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=819,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00836.HK,00836.HK,华润电力控股有限公司,华润电力,華潤電力控股有限公司,華潤電力,常規電力,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=836,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00866.HK,00866.HK,中国秦发集团有限公司,中国秦发,中國秦發集團有限公司,中國秦發,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=866,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00951.HK,00951.HK,超威动力控股有限公司,超威动力,超威動力控股有限公司,超威動力,能源儲存裝置,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=951,,历史与当前名称不做简繁或模糊自动归并，需证据复核
00968.HK,00968.HK,信义光能控股有限公司,信义光能,信義光能控股有限公司,信義光能,新能源物料,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=968,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01080.HK,01080.HK,胜利油气管道控股有限公司,胜利管道,勝利油氣管道控股有限公司,勝利管道,油氣設備與服務,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1080,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01083.HK,01083.HK,港华智慧能源有限公司,港华智慧能源,港華智慧能源有限公司,港華智慧能源,燃氣供應,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1083,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01101.HK,01101.HK,中国华荣能源股份有限公司,华荣能源,中國華榮能源股份有限公司,華榮能源,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1101,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01193.HK,01193.HK,华润燃气控股有限公司,华润燃气(一百),華潤燃氣控股有限公司,華潤燃氣,燃氣供應,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1193,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01205.HK,01205.HK,中信资源控股有限公司,中信资源,中信資源控股有限公司,中信資源,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1205,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01229.HK,01229.HK,南南资源实业有限公司,南南资源,南南資源實業有限公司,南南資源,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1229,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01251.HK,01251.HK,华油能源集团有限公司,华油能源,華油能源集團有限公司,華油能源,油氣設備與服務,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1251,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01277.HK,01277.HK,力量发展集团有限公司,力量发展,力量發展集團有限公司,力量發展,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1277,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01303.HK,01303.HK,汇力资源(集团)有限公司,汇力资源,滙力資源(集團)有限公司,滙力資源,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1303,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01393.HK,01393.HK,恒鼎实业国际发展有限公司,恒鼎实业,恒鼎實業國際發展有限公司,恒鼎實業,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1393,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01407.HK,01407.HK,交运燃气有限公司,交运燃气,交運燃氣有限公司,交運燃氣,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1407,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01555.HK,01555.HK,MI能源控股有限公司,MI能源,ＭＩ能源控股有限公司,ＭＩ能源,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1555,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01600.HK,01600.HK,天伦燃气控股有限公司,天伦燃气,天倫燃氣控股有限公司,天倫燃氣,燃氣供應,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1600,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01608.HK,01608.HK,伟能集团国际控股有限公司,伟能集团,偉能集團國際控股有限公司,偉能集團,常規電力,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1608,,历史与当前名称不做简繁或模糊自动归并，需证据复核
