stock_code,company_name,document_count,annual_report_count,esg_report_count,report_years,document_types,annual_status,esg_status,next_action
00975.HK,Mongolian Mining Corporation,2,1,1,0|2025,annual_report|esg_report,collected,collected,ready_for_extraction
01083.HK,港華智慧能源有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01193.HK,華潤燃氣控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01205.HK,中信資源控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01229.HK,南南資源實業有限公司,2,1,1,2025|2026,annual_report|esg_report,collected,collected,ready_for_extraction
01250.HK,山高新能源集團有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01303.HK,滙力資源(集團)有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01407.HK,交運燃氣有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01600.HK,天倫燃氣控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01608.HK,偉能集團國際控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01623.HK,海隆控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01713.HK,四川能投發展股份有限公司 - H股,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01733.HK,易大宗控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01738.HK,飛尚無煙煤資源有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01799.HK,新特能源股份有限公司 - H股,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01811.HK,中國廣核新能源控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
01940.HK,China Gas Industry Investment Holdings Co. Ltd.,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
02012.HK,陽光油砂有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
02236.HK,惠生工程技術服務有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
02380.HK,中國電力國際發展有限公司,3,1,1,0|2025,annual_report|esg_report|name_change_announcement,collected,collected,ready_for_extraction
02386.HK,中石化煉化工程(集團)股份有限公司 - H股,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
02688.HK,新奧能源控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
02728.HK,金泰能源控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
03303.HK,巨濤海洋石油服務有限公司,3,1,1,0|2025,annual_report|esg_report|listing_document,collected,collected,ready_for_extraction
03337.HK,安東油田服務集團,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
03633.HK,中裕能源控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
03668.HK,兗煤澳大利亞有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
03800.HK,協鑫科技控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
03868.HK,信義能源控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
03899.HK,中集安瑞科控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
06828.HK,北京燃氣藍天控股有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
08270.HK,中國煤層氣集團有限公司,2,1,1,2025,annual_report|esg_report,collected,collected,ready_for_extraction
