company_code,company_name,report_year,indicator_code,decision,candidate_count,distinct_values,selected_value,policy_version,reason
000537.SZ,绿发电力,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,73.81,73.81,public-disclosure-v4,official_annual_direct_consistent
000537.SZ,绿发电力,2025,Q_G_ROE,auto_confirmed,1,4.05,4.05,public-disclosure-v4,official_annual_direct_consistent
000537.SZ,绿发电力,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.12,0.12,public-disclosure-v4,official_annual_direct_consistent
000539.SZ,粤电力Ａ,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,3,77.71,77.71,public-disclosure-v4,official_annual_direct_consistent
000539.SZ,粤电力Ａ,2025,Q_G_ROE,auto_confirmed,1,2.59,2.59,public-disclosure-v4,official_annual_direct_consistent
000539.SZ,粤电力Ａ,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.02,0.02,public-disclosure-v4,official_annual_direct_consistent
000543.SZ,皖能电力,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,62.72,62.72,public-disclosure-v4,official_annual_direct_consistent
000543.SZ,皖能电力,2025,Q_G_ROE,auto_confirmed,1,12.95,12.95,public-disclosure-v4,official_annual_direct_consistent
000543.SZ,皖能电力,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.379,0.379,public-disclosure-v4,official_annual_direct_consistent
000543.SZ,皖能电力,2025,Q_S_RD_RATE,manual_required,1,0.78,,public-disclosure-v4,conflicting_or_ineligible_sources
000554.SZ,泰山石油,2025,Q_G_ROE,auto_confirmed,1,14.22,14.22,public-disclosure-v4,official_annual_direct_consistent
000554.SZ,泰山石油,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,4,0.023|0.085|72.119,0.085,public-disclosure-v4,official_annual_direct_consistent
000591.SZ,太阳能,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,53.89,53.89,public-disclosure-v4,official_annual_direct_consistent
000591.SZ,太阳能,2025,Q_G_ROE,auto_confirmed,1,3.47,3.47,public-disclosure-v4,official_annual_direct_consistent
000591.SZ,太阳能,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.013,0.013,public-disclosure-v4,official_annual_direct_consistent
000593.SZ,德龙汇能,2025,Q_G_ROE,auto_confirmed,1,2.37,2.37,public-disclosure-v4,official_annual_direct_consistent
000600.SZ,建投能源,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,23.1092,23.1092,public-disclosure-v4,official_annual_direct_consistent
000600.SZ,建投能源,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,3,59.18|29512.3,29512.3,public-disclosure-v4,consolidated_statement_year_end_derived
000600.SZ,建投能源,2025,Q_G_ROE,auto_confirmed,1,16.58,16.58,public-disclosure-v4,official_annual_direct_consistent
000600.SZ,建投能源,2025,Q_G_TWO_FUNDS_RATE,auto_confirmed,1,3024.71,3024.71,public-disclosure-v4,official_annual_direct_consistent
000600.SZ,建投能源,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.32,0.32,public-disclosure-v4,official_annual_direct_consistent
000601.SZ,韶能股份,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,65.94,65.94,public-disclosure-v4,official_annual_direct_consistent
000601.SZ,韶能股份,2025,Q_G_ROE,auto_confirmed,1,2.61,2.61,public-disclosure-v4,official_annual_direct_consistent
000601.SZ,韶能股份,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.05,0.05,public-disclosure-v4,official_annual_direct_consistent
00061.HK,GREEN LEADER,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,28.0312,28.0312,public-disclosure-v4,official_annual_direct_consistent
000637.SZ,茂化实华,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,69.03,69.03,public-disclosure-v4,official_annual_direct_consistent
000637.SZ,茂化实华,2025,Q_G_ROE,auto_confirmed,1,24.66,24.66,public-disclosure-v4,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,-27.3758,-27.3758,public-disclosure-v4,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_CASH_CURRENT_LIABILITY,auto_confirmed,1,-14.4056,-14.4056,public-disclosure-v4,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,1.4553,1.4553,public-disclosure-v4,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_QUICK_RATIO,auto_confirmed,1,139.118,139.118,public-disclosure-v4,strict_extraction_evidence_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-10.7122,-10.7122,public-disclosure-v4,official_annual_direct_consistent
00065.HK,GRAND OCEAN AR,2025,Q_G_ROE,auto_confirmed,1,-47.0432,-47.0432,public-disclosure-v4,official_annual_direct_consistent
000682.SZ,东方电子,2025,Q_G_ROE,auto_confirmed,1,16.5,16.5,public-disclosure-v4,official_annual_direct_consistent
000682.SZ,东方电子,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.05,0.05,public-disclosure-v4,official_annual_direct_consistent
000690.SZ,宝新能源,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,4.5888,4.5888,public-disclosure-v4,official_annual_direct_consistent
000690.SZ,宝新能源,2025,Q_G_TWO_FUNDS_RATE,auto_confirmed,1,19.422,19.422,public-disclosure-v4,official_annual_direct_consistent
000690.SZ,宝新能源,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.2,0.2,public-disclosure-v4,official_annual_direct_consistent
000692.SZ,惠天热电,2025,Q_G_ROE,auto_confirmed,1,32.15,32.15,public-disclosure-v4,official_annual_direct_consistent
000703.SZ,恒逸石化,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,2,72.28,72.28,public-disclosure-v4,official_annual_direct_consistent
000703.SZ,恒逸石化,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.05,0.05,public-disclosure-v4,official_annual_direct_consistent
000720.SZ,新能泰山,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,58.27,58.27,public-disclosure-v4,official_annual_direct_consistent
000720.SZ,新能泰山,2025,Q_G_ROE,auto_confirmed,1,21.54,21.54,public-disclosure-v4,official_annual_direct_consistent
000722.SZ,湖南发展,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,10.09,10.09,public-disclosure-v4,official_annual_direct_consistent
000722.SZ,湖南发展,2025,Q_G_ROE,auto_confirmed,1,2.31,2.31,public-disclosure-v4,official_annual_direct_consistent
000722.SZ,湖南发展,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,3,0.05,0.05,public-disclosure-v4,official_annual_direct_consistent
000723.SZ,美锦能源,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,65.15,65.15,public-disclosure-v4,official_annual_direct_consistent
000723.SZ,美锦能源,2025,Q_G_ROE,auto_confirmed,1,8.13,8.13,public-disclosure-v4,official_annual_direct_consistent
000767.SZ,晋控电力,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,81.37,81.37,public-disclosure-v4,official_annual_direct_consistent
000767.SZ,晋控电力,2025,Q_G_ROE,auto_confirmed,1,0.65,0.65,public-disclosure-v4,official_annual_direct_consistent
000791.SZ,甘肃能源,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,52.35,52.35,public-disclosure-v4,official_annual_direct_consistent
000791.SZ,甘肃能源,2025,Q_G_ROE,auto_confirmed,1,14.4,14.4,public-disclosure-v4,official_annual_direct_consistent
000791.SZ,甘肃能源,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.23,0.23,public-disclosure-v4,official_annual_direct_consistent
000791.SZ,甘肃能源,2025,Q_S_RD_RATE,manual_required,1,0.06,,public-disclosure-v4,conflicting_or_ineligible_sources
000862.SZ,银星能源,2025,Q_G_ROE,auto_confirmed,1,1.04,1.04,public-disclosure-v4,official_annual_direct_consistent
000875.SZ,电投绿能,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,69.57,69.57,public-disclosure-v4,official_annual_direct_consistent
000875.SZ,电投绿能,2025,Q_G_ROE,auto_confirmed,1,3.03,3.03,public-disclosure-v4,official_annual_direct_consistent
000875.SZ,电投绿能,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.016,0.016,public-disclosure-v4,official_annual_direct_consistent
000883.SZ,湖北能源,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,55.84,55.84,public-disclosure-v4,official_annual_direct_consistent
000883.SZ,湖北能源,2025,Q_G_ROE,auto_confirmed,1,5.34,5.34,public-disclosure-v4,official_annual_direct_consistent
000883.SZ,湖北能源,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.15,0.15,public-disclosure-v4,official_annual_direct_consistent
000899.SZ,赣能股份,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,2,65.33,65.33,public-disclosure-v4,official_annual_direct_consistent
000899.SZ,赣能股份,2025,Q_G_ROE,auto_confirmed,1,16.5,16.5,public-disclosure-v4,official_annual_direct_consistent
000899.SZ,赣能股份,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.567,0.567,public-disclosure-v4,official_annual_direct_consistent
000922.SZ,佳电股份,2025,Q_G_ROE,auto_confirmed,1,5.85,5.85,public-disclosure-v4,official_annual_direct_consistent
000922.SZ,佳电股份,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.11,0.11,public-disclosure-v4,official_annual_direct_consistent
000937.SZ,冀中能源,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,59.54,59.54,public-disclosure-v4,official_annual_direct_consistent
000937.SZ,冀中能源,2025,Q_G_ROE,auto_confirmed,1,3.07,3.07,public-disclosure-v4,official_annual_direct_consistent
000937.SZ,冀中能源,2025,Q_S_DIVIDEND_PER_SHARE,manual_required,3,0|0.1,,public-disclosure-v4,conflicting_or_ineligible_sources
000966.SZ,长源电力,2025,Q_G_ROE,auto_confirmed,1,0.49,0.49,public-disclosure-v4,official_annual_direct_consistent
000968.SZ,蓝焰控股,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,43.4,43.4,public-disclosure-v4,official_annual_direct_consistent
000968.SZ,蓝焰控股,2025,Q_G_ROE,auto_confirmed,1,5.5,5.5,public-disclosure-v4,official_annual_direct_consistent
000968.SZ,蓝焰控股,2025,Q_S_DIVIDEND_PER_SHARE,manual_required,3,0|0.05,,public-disclosure-v4,conflicting_or_ineligible_sources
000993.SZ,闽东电力,2025,Q_G_ROE,auto_confirmed,1,2.32,2.32,public-disclosure-v4,official_annual_direct_consistent
000993.SZ,闽东电力,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.18,0.18,public-disclosure-v4,official_annual_direct_consistent
001208.SZ,华菱线缆,2025,Q_G_ROE,auto_confirmed,1,5.93,5.93,public-disclosure-v4,official_annual_direct_consistent
