batch_task_rank,batch_action,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority,diagnostic_category,diagnostic_excerpt,text_file_count,diagnostic_text_files,scoring_authorized
11,inspect_esg_tables,13,99.340278,140,306,166,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00182.HK,CONCORD NE,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,"025 Direct GHG Emissions (Scope 1) Tonnes CO2e 277.43 664.81 446.39 Indirect GHG Emissions (Scope 2 – location-based) Tonnes CO2e 9,392.27 10,999.01 12,257.41 Indirect GHG Emissions (Scope 2 – market-based) Tonnes CO2e / 12,497.41 10,915.45 Indirect GHG Emissions (Scope 3) Tonnes CO2e 230,088.99 263,329.21 227,397.45 GHG Emissions (Scope 1 and 2) Tonnes CO2e / 13,162.22 11,361.85 GHG Emission Intensity (Scope 1 and 2) gCO2e/kWh / 1.75 1.52 Total Hazardous Waste Tonnes 7.14 1.54 0.69 Hazardous Wa",2,data/text/hkex_reports/00182.HK/2025/annual_report.txt|data/text/hkex_reports/00182.HK/2025/esg_report.txt,False
12,inspect_esg_tables,14,99.340278,51,216,165,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002028.SZ,思源电气,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,disclosed_non_revenue_denominator,"间气候变化专门委员会（IPCC）国家温室气体清单指南推荐值。 9范围2基于位置产生的温室气体排放是指：公司外购电力的消耗及外购蒸汽消耗产生的间接温室气体排放，2025年外购电力排放计算系数选用国家生态环境部、国家统计局联合最新发布的全国电网平均二氧化碳排放因子0.5306 tCO2/MWh，2024年与2023年外购电力排放计算系数选用国家生态环境部、国家统计 局联合最新发布的全国电网平均二氧化碳排放因子0.5366 tCO2/MWh；外购蒸汽碳排放因子选取国家发展与改革委员会（NDRC）《企业温室气体排放核算和报告指南（试行）》0.11 tCO2/GJ。 指标索引 === PAGE 70 === 70 2025 年度可持续发展报告 指标 单位 2025 2024 2023 - 能源间接 GHGs 排放（范围 3）10 tCO2e / 68,438.03 34,402.78 走进思源 单位营收温室气体排放强度（范围 1、2） tCO2e/ 百万元 3.41 3.82 2.92 能源 综合能源消耗量 吉焦 604,341.39 353,946.87 266,487.23 可持续发展管理 ",2,data/text/002028.SZ/2025/annual_report.txt|data/text/002028.SZ/2025/esg_report.txt,False
13,inspect_esg_tables,15,99.340278,9,278,269,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002039.SZ,黔源电力,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,no_matching_disclosure_in_text,,1,data/text/002039.SZ/2025/annual_report.txt,False
14,inspect_esg_tables,16,99.340278,8,409,401,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002056.SZ,横店东磁,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,possible_total_plus_rmb_revenue_derivation,"69 32,144.39 使用权资产处置收益 482,646.74 合 计 1,447,731.69 514,791.13 74、营业外收入 单位：元 项目 本期发生额 上期发生额 计入当期非经常性损益的金 额 保险赔款 3,046,631.89 4,820,686.45 3,046,631.89 碳排放权收益 2,991,973.58 非流动资产毁损报废利得 1,521,900.28 2,173,525.71 1,521,900.28 违约金及赔偿收入 3,386,816.44 3,386,816.44 其他 464,210.94 2,307,026.24 464,210.94 合计 8,419,559.55 12,293,211.98 8,419,559.55 75、营业外支出 单位：元 项目 本期发生额 上期发生额 计入当期非经常性损益的金 额 对外捐赠 158,421.41 120,000.00 158,421.41 非流动资产毁损报废损失 4,601,832.81 4,655,345.97 4,601,832.81 地方水利建设基金 64,472.74 62,068.01 其",1,data/text/002056.SZ/2025/annual_report.txt,False
15,inspect_esg_tables,17,99.340278,123,404,281,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00206.HK,CM-ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,"ntal and social responsibilities, the Group has formally integrated carbon reduction into its overall sustainable development strategy. Accordingly, the Group has systematically formulated and strictly implemented a series of scientific and feasible GHG emission control measures to effectively reduce both the intensity and total volume of our emissions. These specific measures are as follows: Factory Manufacturing 工廠製造 綠動未來，低碳領航 （續） 排放物與廢棄物 （續） 溫室氣體 本集團深刻認識到，溫室氣體排放是引發全球氣候 變暖的主要驅動因素之一，而能源消耗則是溫室氣 ",1,data/text/hkex_reports/00206.HK/2025/annual_report.txt,False
16,inspect_esg_tables,18,99.340278,180,284,104,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002074.SZ,国轩高科,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,no_matching_disclosure_in_text,,1,data/text/002074.SZ/2025/annual_report.txt,False
17,inspect_esg_tables,19,99.340278,82,389,307,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002128.SZ,电投能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,峰的动态需求。根据《东北区域省间电力中长期交易实 施细则(试行）》和《东北电力互济交易实施细则（试行）》，按照效益最大 化原则动态优化机组出力策略，并统筹协调中长期电量交易与辅助服务和容 量市场参与，在保障中长期交易电量占比与价格处于合理水平的同时，全力 推动省间互济、省间现货、滚动撮合，持续提升机组综合盈利能力与市场竞 争力。 3、铝业：以节能减排为工作重点，积极研究与应用碳减排技术，增强节 能减排管控力度，优化工艺路线、调节能源结构、加速低碳技术研发推广、 开展节能降耗项目，多措并举持续降低碳排放强度和水平。保持电解槽长期 平稳高效运行，提高电流效率，同时持续稳步降低铝液综合交流电耗。 4、加快建设电力交易与风险管理体系，组建专业交易团队，引入功率预 测与交易决策工具，开展高频模拟与复盘。推动“新能源+”资源整合，探索 与火电、储能、用户侧负荷等多类型主体合作，提升整体交易抗风险能力。 加强政策与市场研判，密切关注内蒙古自治区等地方实施细则、竞价上限、 消纳权重等政策动态，提前布局项目申报与交易策略。优化项目全周期管理， 31 === PAGE 32 === 内蒙古电投能源股份有限,1,data/text/002128.SZ/2025/annual_report.txt,False
18,inspect_esg_tables,20,99.340278,115,223,108,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002249.SZ,大洋电机,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,规模化应用的核心。在技术路径上，质子交换膜燃料电池（PEMFC）凭借零排放、长续航及轻量化 优势，在中重型运输等领域潜力巨大；高温固体氧化物燃料电池（SOC）则以其低能耗、高效率的特性，在分布式能源与 电解水制氢领域表现突出。当前，行业正通过技术创新与场景拓展，推动氢能在更多领域实现商业化落地。 （1）质子交换膜燃料电池（PEMFC） 质子交换膜燃料电池（PEMFC）技术是一种以氢气为燃料、空气或氧气为氧化剂的清洁能源发电技术，通过电化学反 应将氢气的化学能转化为电能，具有较高的能量转化效率、零碳排放等特点。PEMFC 采用质子交换膜作为电解质，通过阳 极分解氢气释放电子、阴极结合氧气生成水的电化学反应实现发电，其核心部件包括质子交换膜、催化剂层、气体扩散层 和双极板，通过模块化设计提升系统效率和稳定性。 凭借零排放、高能量转换效率、快速冷启动、低噪音、高功率密度及优异的动态响应能力，质子交换膜燃料电池已成 为清洁能源技术中的重要方向。其主要应用场景已从交通领域，如重卡、公交、物流车、船舶和轨道交通等不断拓展至固 定式发电领域发展，并在可再生能源消纳、微电网构建及特种便携电源等领域逐步,1,data/text/002249.SZ/2025/annual_report.txt,False
19,inspect_esg_tables,21,99.340278,133,305,172,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002267.SZ,陕天然气,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,no_matching_disclosure_in_text,,1,data/text/002267.SZ/2025/annual_report.txt,False
20,inspect_esg_tables,22,99.340278,111,320,209,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,002276.SZ,万马股份,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,possible_total_plus_rmb_revenue_derivation,行业节能减排；节能改造上，推进厂区设备与环保工艺 节能升级，有效降低能耗成本；运营管理上，常态化开展节能低碳活动，引导员工绿色办公、低碳生活； 数字化建设上，依托 PLM 系统实现产品全生命周期数字化管理，搭建碳资产管理平台，构建“监测-核 算-分析-减排”全链路碳治理闭环，实现从园区到产品的全方位碳排放管控。报告期内，公司未发生环 境污染事故及环境违法事件，凭借在绿色制造、节能降碳等方面的突出成效，成功入选工信部 2025 年 度国家级绿色工厂，达成了公司绿色低碳事业的里程碑式跨越，标志公司绿色制造水平跻身国家第一梯 队，为行业树立了绿色标杆。 坚守绿色发展初心，万马股份将以此荣耀为新起点，把绿色理念深植生产经营全环节，以更坚定的 行动践行可持续发展之路，用点滴之力汇聚行业绿色发展的磅礴动能，携手各界同仁共绘工业绿色高质 量发展新画卷！ 6．公共关系、社会公益事业 公司积极投身社会公益事业，以回馈社会。成立临安区首家企业级“助残共富基地” ，每年积极开 展爱心接力活动。2025 年度，公司开展了为环卫工撑起爱心伞全国百城公益行动、志愿服务走进金岫 村活动、助残共富爱心义卖等公益活动，,1,data/text/002276.SZ/2025/annual_report.txt,False
