company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
00002.HK,CLP HOLDINGS,2025,X_S_CAREER,员工职业发展,1.6,2,evidence_missing,locate_additional_public_evidence
00002.HK,CLP HOLDINGS,2025,X_S_FEEDBACK,员工沟通与反馈,1.6,2,evidence_missing,locate_additional_public_evidence
00002.HK,CLP HOLDINGS,2025,X_S_PRODUCT_QUALITY,产品质量,2.0,2,evidence_missing,locate_additional_public_evidence
00002.HK,CLP HOLDINGS,2025,X_G_GOVERNANCE_MECHANISM,治理机制,2.0,2,evidence_missing,locate_additional_public_evidence
00002.HK,CLP HOLDINGS,2025,X_G_CORPORATE_STRUCTURE,公司架构,2.0,2,evidence_missing,locate_additional_public_evidence
00002.HK,CLP HOLDINGS,2025,X_G_MANAGEMENT,管理层机制,2.0,2,evidence_missing,locate_additional_public_evidence
00002.HK,CLP HOLDINGS,2025,X_G_DISCLOSURE,信息披露,5.0,1,evidence_missing,locate_additional_public_evidence
00002.HK,CLP HOLDINGS,2025,X_G_SAFETY,安全生产,2.0,2,evidence_missing,locate_additional_public_evidence
00002.HK,CLP HOLDINGS,2025,X_G_TAX,纳税情况,4.0,1,evidence_missing,locate_additional_public_evidence
000027.SZ,深圳能源,2025,X_E_EMERGENCY,应急管理,1.5,2,evidence_missing,locate_additional_public_evidence
000027.SZ,深圳能源,2025,X_E_TRAINING,环保培训,1.5,2,evidence_missing,locate_additional_public_evidence
000027.SZ,深圳能源,2025,X_E_GREEN_SUPPLY_CHAIN,绿色供应链,1.5,2,evidence_missing,locate_additional_public_evidence
000027.SZ,深圳能源,2025,X_E_GREEN_FINANCE,绿色融资,1.5,2,evidence_missing,locate_additional_public_evidence
000027.SZ,深圳能源,2025,X_S_JUST_TRANSITION,公正转型,2.0,2,evidence_missing,locate_additional_public_evidence
000027.SZ,深圳能源,2025,X_G_CORPORATE_STRUCTURE,公司架构,2.0,2,evidence_missing,locate_additional_public_evidence
000027.SZ,深圳能源,2025,X_G_MANAGEMENT,管理层机制,2.0,2,evidence_missing,locate_additional_public_evidence
000027.SZ,深圳能源,2025,X_G_ESG_MANAGEMENT,可持续发展管理,3.0,1,evidence_missing,locate_additional_public_evidence
000027.SZ,深圳能源,2025,X_G_PERFORMANCE,经营表现,3.0,1,evidence_missing,locate_additional_public_evidence
000027.SZ,深圳能源,2025,X_G_AUDIT,会计审计,3.0,1,evidence_missing,locate_additional_public_evidence
00003.HK,HK & CHINA GAS,2025,X_E_ENV_SYSTEM,环保体系,1.5,2,evidence_missing,locate_additional_public_evidence
00003.HK,HK & CHINA GAS,2025,X_E_EMERGENCY,应急管理,1.5,2,evidence_missing,locate_additional_public_evidence
00003.HK,HK & CHINA GAS,2025,X_E_TRAINING,环保培训,1.5,2,evidence_missing,locate_additional_public_evidence
00003.HK,HK & CHINA GAS,2025,X_E_OTHER_RESOURCE,其他资源,2.25,2,evidence_missing,locate_additional_public_evidence
