company_code,company_name,indicator_code,value,source,abs_indicator,abs_value,revenue,unit
301358.SZ,湖南裕能,Q_E_NOX_INTENSITY,3.696775637197507,calculated,Q_E_NOX_EMISSION,128.0,34624768328.39,克/万元
301358.SZ,湖南裕能,Q_E_SOLID_WASTE_INTENSITY,0.03407965040541452,calculated,Q_E_SOLID_WASTE_GENERATION,118.0,34624768328.39,千克/万元
301587.SZ,中瑞股份,Q_E_ENERGY_INTENSITY,0.20245085489445977,calculated,Q_E_ENERGY_CONSUMPTION,14.0,691525852.4,千克/万元
600098.SH,广州发展,Q_E_SO2_INTENSITY,0.004297659475881251,calculated,Q_E_SO2_EMISSION,0.2185,50841626989.35,克/万元
600101.SH,明星电力,Q_E_GHG_INTENSITY,0.4247258500864201,calculated,Q_E_GHG_EMISSION,33.0,776971780.58,千克/万元
600101.SH,明星电力,Q_E_WASTEWATER_INTENSITY,14.221880737742248,calculated,Q_E_WASTEWATER_DISCHARGE,1105.0,776971780.58,千克/万元
600157.SH,永泰能源,Q_E_NOX_INTENSITY,1.2176036373642674,calculated,Q_E_NOX_EMISSION,29.0,23817274448.01,克/万元
600157.SH,永泰能源,Q_E_SO2_INTENSITY,1.2176036373642674,calculated,Q_E_SO2_EMISSION,29.0,23817274448.01,克/万元
600167.SH,联美控股,Q_E_ENERGY_INTENSITY,0.35327029163588564,calculated,Q_E_ENERGY_CONSUMPTION,60.0,1698416238.8,千克/万元
600236.SH,桂冠电力,Q_E_NOX_INTENSITY,63.75287111859705,calculated,Q_E_NOX_EMISSION,124.0,1945010441.48,克/万元
600256.SH,广汇能源,Q_E_ENERGY_INTENSITY,0.34823889970768307,calculated,Q_E_ENERGY_CONSUMPTION,310.0,8901934857.37,千克/万元
600475.SH,华光环能,Q_E_NOX_INTENSITY,27.793445009660132,calculated,Q_E_NOX_EMISSION,254.0,9138845505.18,克/万元
600475.SH,华光环能,Q_E_SOLID_WASTE_INTENSITY,0.27793445009660134,calculated,Q_E_SOLID_WASTE_GENERATION,254.0,9138845505.18,千克/万元
600482.SH,中国动力,Q_E_SO2_INTENSITY,0.9688587488736827,calculated,Q_E_SO2_EMISSION,56.0,57799963168.11,克/万元
600483.SH,福能股份,Q_E_GHG_INTENSITY,0.07126916321668295,calculated,Q_E_GHG_EMISSION,98.0,13750687615.35,千克/万元
600483.SH,福能股份,Q_E_ENERGY_INTENSITY,0.07126916321668295,calculated,Q_E_ENERGY_CONSUMPTION,98.0,13750687615.35,千克/万元
600483.SH,福能股份,Q_E_NOX_INTENSITY,15.053792638625888,calculated,Q_E_NOX_EMISSION,207.0,13750687615.35,克/万元
600483.SH,福能股份,Q_E_SO2_INTENSITY,2.7634981655448487,calculated,Q_E_SO2_EMISSION,38.0,13750687615.35,克/万元
600483.SH,福能股份,Q_E_SOLID_WASTE_INTENSITY,0.07272363593539076,calculated,Q_E_SOLID_WASTE_GENERATION,100.0,13750687615.35,千克/万元
600508.SH,上海能源,Q_E_SOLID_WASTE_INTENSITY,0.10942349779733226,calculated,Q_E_SOLID_WASTE_GENERATION,84.0,7676596132.54,千克/万元
600508.SH,上海能源,Q_E_WASTEWATER_INTENSITY,0.10942349779733226,calculated,Q_E_WASTEWATER_DISCHARGE,84.0,7676596132.54,千克/万元
600509.SH,天富能源,Q_E_NOX_INTENSITY,25.761215677129762,calculated,Q_E_NOX_EMISSION,216.0,8384697473.41,克/万元
600509.SH,天富能源,Q_E_SO2_INTENSITY,25.761215677129762,calculated,Q_E_SO2_EMISSION,216.0,8384697473.41,克/万元
600635.SH,大众公用,Q_E_GHG_INTENSITY,0.13448283960402288,calculated,Q_E_GHG_EMISSION,81.0,6023073296.08,千克/万元
600635.SH,大众公用,Q_E_WATER_INTENSITY,0.13448283960402288,calculated,Q_E_WATER_CONSUMPTION,81.0,6023073296.08,千克/万元
600635.SH,大众公用,Q_E_WASTEWATER_INTENSITY,247755.35289786378,calculated,Q_E_WASTEWATER_DISCHARGE,149224865.0,6023073296.08,千克/万元
600642.SH,申能股份,Q_E_NOX_INTENSITY,36.388614201455745,calculated,Q_E_NOX_EMISSION,267.0,7337459968.16,克/万元
600642.SH,申能股份,Q_E_SO2_INTENSITY,36.388614201455745,calculated,Q_E_SO2_EMISSION,267.0,7337459968.16,克/万元
600688.SH,上海石化,Q_E_GHG_INTENSITY,1360.4508417630777,calculated,Q_E_GHG_EMISSION,10280.0,75563186.0,千克/万元
600688.SH,上海石化,Q_E_ENERGY_INTENSITY,0.01588074912563904,calculated,Q_E_ENERGY_CONSUMPTION,0.12,75563186.0,千克/万元
600688.SH,上海石化,Q_E_NOX_INTENSITY,1.588074912563904,calculated,Q_E_NOX_EMISSION,0.12,75563186.0,克/万元
600688.SH,上海石化,Q_E_SO2_INTENSITY,1.588074912563904,calculated,Q_E_SO2_EMISSION,0.12,75563186.0,克/万元
600732.SH,爱旭股份,Q_E_SOLID_WASTE_INTENSITY,0.0826174534318972,calculated,Q_E_SOLID_WASTE_GENERATION,129.0,15614134137.69,千克/万元
600777.SH,*ST新潮,Q_E_GHG_INTENSITY,295.6083833749793,calculated,Q_E_GHG_EMISSION,215030.0,7274150940.68,千克/万元
