company_code,company_name,report_year,document_type,source_url
000539.SZ,粤电力Ａ,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/07735727-f60a-4a65-b45a-d3bedb3a8192.PDF
000543.SZ,皖能电力,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/3b3f544c-c39a-4da0-8493-880d50c9247f.PDF
000543.SZ,皖能电力,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/07509de1-a0fd-43c0-b1fd-9c9d001f4d73.PDF
000554.SZ,泰山石油,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/f1293baa-82c3-4def-b2ce-2df13ac2a987.PDF
000554.SZ,泰山石油,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/ea8fc224-cd29-440d-9cc5-01f843455242.PDF
000591.SZ,太阳能,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/e4246dbf-16d3-426d-853d-fb06a648fc88.PDF
000593.SZ,德龙汇能,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/8f7b360b-3f11-4214-8d16-a78f575d9aa1.PDF
000600.SZ,建投能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/c569a305-bce8-4d42-9786-6f96640344f6.PDF
000600.SZ,建投能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/ba6a9b6c-0794-4a84-90c5-1a1ebb80389c.PDF
000601.SZ,韶能股份,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/57934b65-1290-4228-a299-cc9b02ac080e.PDF
00061.HK,GREEN LEADER,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0428/2025042801367.pdf
00061.HK,GREEN LEADER,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0428/2025042801433.pdf
00061.HK,GREEN LEADER,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400838.pdf
00061.HK,GREEN LEADER,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0424/2026042400920.pdf
000637.SZ,茂化实华,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/9ee7b32c-9375-494b-a7df-e1467b8af59b.PDF
00065.HK,GRAND OCEAN AR,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0729/2025072900863.pdf
00065.HK,GRAND OCEAN AR,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802772.pdf
000682.SZ,东方电子,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/a512cf37-75dd-4d0d-96e8-76bf6eb22bdf.PDF
000690.SZ,宝新能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/4f9ccb95-957e-40e2-bc29-c80aed851941.PDF
000690.SZ,宝新能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/baccaf84-357b-41d7-9726-747eb93b7683.PDF
000692.SZ,惠天热电,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/a0c3e46c-096c-4bae-b85e-34d7a86f0fde.PDF
000703.SZ,恒逸石化,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/d1cf3d86-3007-4b83-80d3-0b837413c84e.PDF
000720.SZ,新能泰山,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/59929986-3982-402a-922b-c4fa8af50167.PDF
000722.SZ,湖南发展,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-04/50851f44-a53c-4649-9e1f-666e4ccf3b4f.PDF
000723.SZ,美锦能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/90902e19-f604-493b-bcde-74396cf3858a.PDF
000723.SZ,美锦能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/2570c948-eec5-4e4c-83c4-5f9c46e5f50f.PDF
000767.SZ,晋控电力,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/2acf2511-82ce-4e87-8469-75e628a11616.PDF
000767.SZ,晋控电力,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/f72cd14a-6dfe-4039-9446-c09fd8e88366.PDF
000791.SZ,甘肃能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/10221d94-7e0e-445d-b125-c8ae644724cc.PDF
000791.SZ,甘肃能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/003b10b9-e971-4620-a1de-7a6c8394afc1.PDF
000819.SZ,岳阳兴长,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/a6eb81b5-6e76-4f83-a670-06d97439595d.PDF
000819.SZ,岳阳兴长,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-05-07/a252f237-c704-4a63-94af-7d46e95aaa54.PDF
000819.SZ,岳阳兴长,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/5229fe4f-ff77-41be-b90a-fc9f3e290f67.PDF
000862.SZ,银星能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-26/30eecae4-5a04-406a-840b-f367bb859c3c.PDF
000862.SZ,银星能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-26/435c0b5b-7f7d-4e94-9262-7d78ffb4b7b5.PDF
000875.SZ,电投绿能,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/64af4bfa-5ad4-4edf-b789-beb9eee1d5e4.PDF
000883.SZ,湖北能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/7cb29321-483e-4cc9-82de-4ecc59dbb3b6.PDF
000899.SZ,赣能股份,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/a7f2febb-f881-4856-b224-636c65c34b6f.PDF
000899.SZ,赣能股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/d7844979-1d4e-4f50-9c26-9bfafa049d6e.PDF
000922.SZ,佳电股份,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/be00e823-5d01-4cb9-a50c-35ecc85e0f97.PDF
000922.SZ,佳电股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/7f01451a-549d-4f35-a16c-8fab1627581e.PDF
000922.SZ,佳电股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/cab02453-b984-402a-8d4c-3305d426bc8f.PDF
000937.SZ,冀中能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/e44b0814-6036-40c4-a477-98173145ea75.PDF
