stock_code,universe_name,snapshot_name,included,status,source_action,date_action,entity_action,reason
00639.HK,SHOUGANG RES,SHOUGANG RES,True,matched,filled,filled,preserved,证券代码及名称匹配
03668.HK,YANCOAL AUS,YANCOAL AUS,True,matched,filled,filled,preserved,证券代码及名称匹配
600885.SH,宏发股份,宏发股份,True,matched,filled,filled,preserved,证券代码及名称匹配
01250.HK,SDHS NEW ENERGY,SDHS NEW ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
600028.SH,中国石化,中国石化,True,matched,filled,filled,preserved,证券代码及名称匹配
300882.SZ,万胜智能,万胜智能,True,matched,filled,filled,preserved,证券代码及名称匹配
600098.SH,广州发展,广州发展,True,matched,filled,filled,preserved,证券代码及名称匹配
601985.SH,中国核电,中国核电,True,matched,filled,filled,preserved,证券代码及名称匹配
000883.SZ,湖北能源,湖北能源,True,matched,filled,filled,preserved,证券代码及名称匹配
600871.SH,石化油服,石化油服,True,matched,filled,filled,preserved,证券代码及名称匹配
300105.SZ,龙源技术,龙源技术,True,matched,filled,filled,preserved,证券代码及名称匹配
688032.SH,禾迈股份,禾迈股份,True,matched,filled,filled,preserved,证券代码及名称匹配
600635.SH,大众公用,大众公用,True,matched,filled,filled,preserved,证券代码及名称匹配
600032.SH,浙江新能,浙江新能,True,matched,filled,filled,preserved,证券代码及名称匹配
00206.HK,CM-ENERGY,CM-ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
00467.HK,UNITEDENERGY GP,UNITEDENERGY GP,True,matched,filled,filled,preserved,证券代码及名称匹配
603659.SH,璞泰来,璞泰来,True,matched,filled,filled,preserved,证券代码及名称匹配
002493.SZ,荣盛石化,荣盛石化,True,matched,filled,filled,preserved,证券代码及名称匹配
600236.SH,桂冠电力,桂冠电力,True,matched,filled,filled,preserved,证券代码及名称匹配
300316.SZ,晶盛机电,晶盛机电,True,matched,filled,filled,preserved,证券代码及名称匹配
600475.SH,华光环能,华光环能,True,matched,filled,filled,preserved,证券代码及名称匹配
600886.SH,国投电力,国投电力,True,matched,filled,filled,preserved,证券代码及名称匹配
000922.SZ,佳电股份,佳电股份,True,matched,filled,filled,preserved,证券代码及名称匹配
02380.HK,CHINA POWER,CHINA POWER,True,matched,filled,filled,preserved,证券代码及名称匹配
600905.SH,三峡能源,三峡能源,True,matched,filled,filled,preserved,证券代码及名称匹配
002479.SZ,富春环保,富春环保,True,matched,filled,filled,preserved,证券代码及名称匹配
01921.HK,DALIPAL HLDG,DALIPAL HLDG,True,matched,filled,filled,preserved,证券代码及名称匹配
002267.SZ,陕天然气,陕天然气,True,matched,filled,filled,preserved,证券代码及名称匹配
600151.SH,航天机电,航天机电,True,matched,filled,filled,preserved,证券代码及名称匹配
601179.SH,中国西电,中国西电,True,matched,filled,filled,preserved,证券代码及名称匹配
600021.SH,上海电力,上海电力,True,matched,filled,filled,preserved,证券代码及名称匹配
00934.HK,SINOPEC KANTONS,SINOPEC KANTONS,True,matched,filled,filled,preserved,证券代码及名称匹配
00554.HK,HANS GP HLDGS,HANS GP HLDGS,True,matched,filled,filled,preserved,证券代码及名称匹配
01193.HK,CHINA RES GAS,CHINA RES GAS,True,matched,filled,filled,preserved,证券代码及名称匹配
688223.SH,晶科能源,晶科能源,True,matched,filled,filled,preserved,证券代码及名称匹配
688472.SH,阿特斯,阿特斯,True,matched,filled,filled,preserved,证券代码及名称匹配
603185.SH,弘元绿能,弘元绿能,True,matched,filled,filled,preserved,证券代码及名称匹配
603806.SH,福斯特,福斯特,True,matched,filled,filled,preserved,证券代码及名称匹配
002709.SZ,天赐材料,天赐材料,True,matched,filled,filled,preserved,证券代码及名称匹配
600379.SH,宝光股份,宝光股份,True,matched,filled,filled,preserved,证券代码及名称匹配
600995.SH,南网储能,南网储能,True,matched,filled,filled,preserved,证券代码及名称匹配
00182.HK,CONCORD NE,CONCORD NE,True,matched,filled,filled,preserved,证券代码及名称匹配
600310.SH,广西能源,广西能源,True,matched,filled,filled,preserved,证券代码及名称匹配
00332.HK,YUANHENGGAS-NEW,YUANHENGGAS-NEW,True,matched,filled,filled,preserved,证券代码及名称匹配
601225.SH,陕西煤业,陕西煤业,True,matched,filled,filled,preserved,证券代码及名称匹配
00632.HK,CHK OIL,CHK OIL,True,matched,filled,filled,preserved,证券代码及名称匹配
00061.HK,GREEN LEAD-NEW,GREEN LEAD-NEW,True,matched,filled,filled,preserved,证券代码及名称匹配
600525.SH,ST长园,ST长园,False,matched,filled,filled,preserved,证券代码及名称匹配
02386.HK,SINOPEC SEG,SINOPEC SEG,True,matched,filled,filled,preserved,证券代码及名称匹配
002911.SZ,佛燃能源,佛燃能源,True,matched,filled,filled,preserved,证券代码及名称匹配
00836.HK,CHINA RES POWER,CHINA RES POWER,True,matched,filled,filled,preserved,证券代码及名称匹配
002608.SZ,江苏国信,江苏国信,True,matched,filled,filled,preserved,证券代码及名称匹配
08347.HK,F8 ENT,F8 ENT,True,matched,filled,filled,preserved,证券代码及名称匹配
002074.SZ,国轩高科,国轩高科,True,matched,filled,filled,preserved,证券代码及名称匹配
00228.HK,CHINA ENERGY,CHINA ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
03337.HK,ANTON OILFIELD,ANTON OILFIELD,True,matched,filled,filled,preserved,证券代码及名称匹配
01713.HK,SICHUAN EN INV,SICHUAN EN INV,True,matched,filled,filled,preserved,证券代码及名称匹配
002531.SZ,天顺风能,天顺风能,True,matched,filled,filled,preserved,证券代码及名称匹配
600089.SH,特变电工,特变电工,True,matched,filled,filled,preserved,证券代码及名称匹配
000723.SZ,美锦能源,美锦能源,True,matched,filled,filled,preserved,证券代码及名称匹配
08631.HK,SUN KONG HLDGS,SUN KONG HLDGS,True,matched,filled,filled,preserved,证券代码及名称匹配
688006.SH,杭可科技,杭可科技,True,matched,filled,filled,preserved,证券代码及名称匹配
000875.SZ,电投绿能,电投绿能,True,matched,filled,filled,preserved,证券代码及名称匹配
300626.SZ,华瑞股份,华瑞股份,True,matched,filled,filled,preserved,证券代码及名称匹配
688778.SH,厦钨新能,厦钨新能,True,matched,filled,filled,preserved,证券代码及名称匹配
00353.HK,ENERGY INTINV,ENERGY INTINV,True,matched,filled,filled,preserved,证券代码及名称匹配
600537.SH,*ST亿晶,*ST亿晶,False,matched,filled,filled,preserved,证券代码及名称匹配
01205.HK,CITIC RESOURCES,CITIC RESOURCES,True,matched,filled,filled,preserved,证券代码及名称匹配
300185.SZ,通裕重工,通裕重工,True,matched,filled,filled,preserved,证券代码及名称匹配
00346.HK,YANCHANG PETRO,YANCHANG PETRO,True,matched,filled,filled,preserved,证券代码及名称匹配
00295.HK,KONG SUN HOLD,KONG SUN HOLD,True,matched,filled,filled,preserved,证券代码及名称匹配
600011.SH,华能国际,华能国际,True,matched,filled,filled,preserved,证券代码及名称匹配
00607.HK,FULLSHARE,FULLSHARE,True,matched,filled,filled,preserved,证券代码及名称匹配
01381.HK,粤丰环保电力有限公司,,False,unmatched,unchanged,unchanged,unchanged,证券代码未匹配官方快照
688707.SH,振华新材,振华新材,True,matched,filled,filled,preserved,证券代码及名称匹配
09689.HK,JTF INTL,JTF INTL,True,matched,filled,filled,preserved,证券代码及名称匹配
688567.SH,孚能科技,孚能科技,True,matched,filled,filled,preserved,证券代码及名称匹配
