company_code,company_name,company_impact_score,gap_count,high_impact_gap_count,top_indicator_codes
002074.SZ,国轩高科,143.346875,20,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
002090.SZ,金智科技,143.346875,24,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
002276.SZ,万马股份,143.346875,16,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
00228.HK,CHINA ENERGY,143.346875,30,9,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_DIVIDEND_PER_SHARE|Q_S_RD_RATE|Q_E_GHG_REDUCTION_RATE
002335.SZ,科华数据,143.346875,27,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
002479.SZ,富春环保,143.346875,17,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
002487.SZ,大金重工,143.346875,23,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
002506.SZ,协鑫集成,143.346875,24,8,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_DIVIDEND_PER_SHARE|Q_S_RD_RATE|Q_G_DEBT_ASSET_RATE|Q_E_HAZ_WASTE_INTENSITY
002531.SZ,天顺风能,143.346875,26,8,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_DIVIDEND_PER_SHARE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY
002608.SZ,江苏国信,143.346875,30,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
002692.SZ,远程股份,143.346875,14,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
002709.SZ,天赐材料,143.346875,15,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
