client_rank_approx,company_code,company_name,our_rank,our_score,disclosure_rate,category
39,600236.SH,桂冠电力,1,55.81,71.25,stable_like
40,002534.SZ,西子洁能,228,25.14,36.25,client_top50_to_outside_our_top200
41,003035.SZ,南网能源,38,38.74,50.0,stable_like
42,601727.SH,上海电气,274,22.51,53.75,client_top50_to_outside_our_top200
43,02727.HK,,,,,missing_from_our_universe
44,300316.SZ,晶盛机电,108,31.15,38.75,stable_like
45,00384.HK,CHINA GAS HOLD,382,16.5,55.0,client_top50_to_outside_our_top200
46,300693.SZ,盛弘股份,302,20.81,28.75,client_top50_to_outside_our_top200
47,002202.SZ,金风科技,334,18.55,35.0,client_top50_to_outside_our_top200
48,02208.HK,,,,,missing_from_our_universe
49,600938.SH,中国海油,527,7.94,21.25,client_top50_to_outside_our_top200
50,00883.HK,,,,,missing_from_our_universe
51,003816.SZ,中国广核,364,17.23,28.75,stable_like
52,601088.SH,中国神华,368,17.11,46.25,stable_like
53,01088.HK,,,,,missing_from_our_universe
54,00182.HK,CONCORD NE,318,19.75,53.75,stable_like
55,03899.HK,CIMC ENRIC,86,32.86,63.75,stable_like
56,688349.SH,三一重能,454,13.46,27.5,client_top200_to_our_bottom_half
57,300763.SZ,锦浪科技,260,23.25,32.5,stable_like
58,603063.SH,禾望电气,11,44.84,70.0,stable_like
59,000819.SZ,岳阳兴长,105,31.28,53.75,stable_like
60,300820.SZ,英杰电气,63,35.68,43.75,stable_like
61,600482.SH,中国动力,6,47.46,71.25,stable_like
62,600032.SH,浙江新能,53,36.93,61.25,stable_like
63,002518.SZ,科士达,75,33.93,41.25,stable_like
64,300001.SZ,特锐德,64,35.25,58.75,stable_like
65,601898.SH,中煤能源,488,10.83,18.75,client_top200_to_our_bottom_half
66,01898.HK,,,,,missing_from_our_universe
67,301291.SZ,明阳电气,293,21.41,30.0,stable_like
68,300037.SZ,新宙邦,328,18.96,32.5,stable_like
69,600905.SH,三峡能源,26,40.66,68.75,stable_like
70,688516.SH,奥特维,166,28.07,38.75,stable_like
71,600580.SH,卧龙电驱,113,30.79,41.25,stable_like
72,688717.SH,艾罗能源,180,27.37,36.25,stable_like
73,002128.SZ,电投能源,289,21.73,35.0,stable_like
74,601615.SH,明阳智能,84,33.03,62.5,stable_like
75,01798.HK,DATANG RENEW,70,34.56,65.0,stable_like
76,300390.SZ,天华新能,319,19.74,32.5,stable_like
77,300207.SZ,欣旺达,75,33.93,61.25,stable_like
78,603097.SH,江苏华辰,146,29.27,41.25,stable_like
79,601857.SH,中国石油,431,14.75,45.0,client_top200_to_our_bottom_half
80,00857.HK,,,,,missing_from_our_universe
81,600025.SH,华能水电,98,31.78,37.5,stable_like
82,300870.SZ,欧陆通,68,34.87,65.0,stable_like
83,00346.HK,YANCHANG PETRO,482,11.32,40.0,client_top200_to_our_bottom_half
84,603659.SH,璞泰来,120,30.5,36.25,stable_like
85,002056.SZ,横店东磁,425,15.25,22.5,client_top200_to_our_bottom_half
86,920167.BJ,同享科技,528,7.87,21.25,client_top200_to_our_bottom_half
87,600163.SH,中闽能源,72,34.52,53.75,stable_like
88,01621.HK,VICO INTL HLDGS,517,8.87,32.5,client_top200_to_our_bottom_half
89,002851.SZ,麦格米特,396,16.02,22.5,stable_like
90,002487.SZ,大金重工,205,26.09,32.5,stable_like
91,002267.SZ,陕天然气,248,23.85,27.5,stable_like
92,300750.SZ,宁德时代,460,13.06,21.25,client_top200_to_our_bottom_half
93,03750.HK,,,,,missing_from_our_universe
94,603556.SH,海兴电力,127,30.17,38.75,stable_like
95,01600.HK,TIAN LUN GAS,94,32.14,60.0,stable_like
96,600028.SH,中国石化,183,27.01,55.0,stable_like
97,00386.HK,,,,,missing_from_our_universe
98,01733.HK,E-COMMODITIES,283,22.08,55.0,stable_like
99,03337.HK,ANTON OILFIELD,325,19.3,51.25,stable_like
100,601225.SH,陕西煤业,4,49.49,70.0,stable_like
101,00228.HK,CHINA ENERGY,370,17.0,47.5,stable_like
102,002560.SZ,通达股份,54,36.74,41.25,stable_like
103,688348.SH,昱能科技,380,16.61,32.5,stable_like
104,688472.SH,阿特斯,40,38.33,67.5,stable_like
105,000922.SZ,佳电股份,22,41.84,60.0,stable_like
106,300514.SZ,友讯达,163,28.15,33.75,stable_like
107,01407.HK,JY GAS,190,26.78,45.0,stable_like
108,688681.SH,科汇股份,89,32.67,41.25,stable_like
109,300772.SZ,运达股份,356,17.65,33.75,stable_like
110,001289.SZ,龙源电力,493,10.39,23.75,client_top200_to_our_bottom_half
111,00916.HK,,,,,missing_from_our_universe
112,300014.SZ,亿纬锂能,69,34.65,48.75,stable_like
113,000533.SZ,顺钠股份,85,33.0,62.5,stable_like
114,300073.SZ,当升科技,29,40.23,52.5,stable_like
115,002692.SZ,远程股份,118,30.62,43.75,stable_like
116,600188.SH,兖矿能源,463,12.78,25.0,client_top200_to_our_bottom_half
117,01171.HK,,,,,missing_from_our_universe
118,603053.SH,成都燃气,88,32.7,52.5,stable_like
119,603628.SH,清源股份,191,26.76,35.0,stable_like
120,601808.SH,中海油服,516,8.93,17.5,client_top200_to_our_bottom_half
121,02883.HK,,,,,missing_from_our_universe
122,002121.SZ,科陆电子,423,15.27,27.5,client_top200_to_our_bottom_half
123,600101.SH,明星电力,36,39.02,65.0,stable_like
124,603806.SH,福斯特,274,22.51,32.5,stable_like
125,02386.HK,SINOPEC SEG,174,27.81,53.75,stable_like
126,300105.SZ,龙源技术,182,27.23,38.75,stable_like
127,688778.SH,厦钨新能,61,35.92,60.0,stable_like
128,601222.SH,林洋能源,215,25.62,40.0,stable_like
129,000155.SZ,川能动力,243,24.31,38.75,stable_like
130,002074.SZ,国轩高科,116,30.65,47.5,stable_like
131,688517.SH,金冠电气,43,37.96,63.75,stable_like
132,605222.SH,起帆电缆,187,26.89,36.25,stable_like
133,920185.BJ,贝特瑞,496,10.28,28.75,client_top200_to_our_bottom_half
134,600452.SH,涪陵电力,523,8.27,16.25,client_top200_to_our_bottom_half
135,002506.SZ,协鑫集成,140,29.49,61.25,stable_like
136,601985.SH,中国核电,60,35.98,61.25,stable_like
137,688005.SH,容百科技,78,33.63,63.75,stable_like
138,002358.SZ,森源电气,360,17.4,32.5,stable_like
139,301266.SZ,宇邦新材,333,18.61,27.5,stable_like
140,301386.SZ,未来电器,221,25.41,56.25,stable_like
141,600475.SH,华光环能,170,27.96,42.5,stable_like
142,300457.SZ,赢合科技,445,13.94,20.0,client_top200_to_our_bottom_half
143,603318.SH,水发燃气,195,26.49,37.5,stable_like
144,600379.SH,宝光股份,172,27.93,40.0,stable_like
145,603393.SH,新天然气,238,24.68,28.75,stable_like
146,601012.SH,隆基绿能,33,39.22,67.5,stable_like
147,002580.SZ,圣阳股份,324,19.49,31.25,stable_like
148,002364.SZ,中恒电气,386,16.3,23.75,stable_like
149,01250.HK,SDHS NEW ENERGY,235,24.76,62.5,stable_like
150,300450.SZ,先导智能,106,31.21,42.5,stable_like
151,688567.SH,孚能科技,154,28.63,45.0,stable_like
152,00003.HK,HK & CHINA GAS,379,16.63,46.25,stable_like
153,688147.SH,微导纳米,459,13.13,26.25,client_top200_to_our_bottom_half
154,002709.SZ,天赐材料,78,33.63,43.75,stable_like
155,00467.HK,UNITEDENERGY GP,401,15.92,45.0,client_top200_to_our_bottom_half
156,002823.SZ,凯中精密,245,24.24,33.75,stable_like
157,300491.SZ,通合科技,287,21.88,31.25,stable_like
158,002340.SZ,格林美,290,21.67,32.5,stable_like
159,300129.SZ,泰胜风能,326,19.23,30.0,stable_like
160,688772.SH,珠海冠宇,80,33.32,43.75,stable_like
161,603507.SH,振江股份,96,32.03,57.5,stable_like
162,600346.SH,恒力石化,52,37.06,68.75,stable_like
163,000883.SZ,湖北能源,394,16.04,27.5,stable_like
164,600635.SH,大众公用,133,29.82,56.25,stable_like
165,01635.HK,,,,,missing_from_our_universe
166,605162.SH,新中港,48,37.51,63.75,our_top50_but_client_lower
167,002533.SZ,金杯电工,226,25.22,38.75,stable_like
168,600268.SH,国电南自,150,28.96,37.5,stable_like
169,002245.SZ,蔚蓝锂芯,373,16.86,18.75,stable_like
170,600886.SH,国投电力,155,28.62,33.75,stable_like
171,688660.SH,电气风电,74,34.09,66.25,stable_like
172,03303.HK,JUTAL OIL SER,301,20.84,47.5,stable_like
173,00934.HK,SINOPEC KANTONS,461,12.87,48.75,client_top200_to_our_bottom_half
174,000682.SZ,东方电子,423,15.27,21.25,client_top200_to_our_bottom_half
175,300724.SZ,捷佳伟创,143,29.34,36.25,stable_like
176,688390.SH,固德威,125,30.23,61.25,stable_like
177,600903.SH,贵州燃气,37,38.87,68.75,our_top50_but_client_lower
178,03868.HK,XINYI ENERGY,344,18.05,48.75,stable_like
179,600871.SH,石化油服,301,20.84,45.0,stable_like
180,01033.HK,,,,,missing_from_our_universe
181,600116.SH,三峡水利,151,28.86,41.25,stable_like
182,600151.SH,航天机电,267,23.03,32.5,stable_like
183,600089.SH,特变电工,34,39.19,65.0,our_top50_but_client_lower
184,600925.SH,苏能股份,141,29.41,40.0,stable_like
185,00836.HK,CHINA RES POWER,346,17.98,48.75,stable_like
186,688733.SH,壹石通,209,25.93,41.25,stable_like
187,603689.SH,皖天然气,16,43.89,62.5,our_top50_but_client_lower
188,000937.SZ,冀中能源,366,17.18,33.75,stable_like
189,002493.SZ,荣盛石化,244,24.29,38.75,stable_like
190,601311.SH,骆驼股份,105,31.28,35.0,stable_like
191,001283.SZ,豪鹏科技,342,18.09,26.25,stable_like
192,605011.SH,杭州热电,25,41.01,66.25,our_top50_but_client_lower
193,600688.SH,上海石化,519,8.71,23.75,client_top200_to_our_bottom_half
194,00338.HK,,,,,missing_from_our_universe
195,688303.SH,大全能源,44,37.72,72.5,our_top50_but_client_lower
196,300510.SZ,金冠股份,511,9.09,22.5,client_top200_to_our_bottom_half
197,603396.SH,金辰股份,7,46.82,68.75,our_top50_but_client_lower
198,601991.SH,大唐发电,243,24.31,51.25,stable_like
199,00991.HK,,,,,missing_from_our_universe
200,000554.SZ,泰山石油,417,15.54,42.5,client_top200_to_our_bottom_half
201,02728.HK,JINTAI ENERGY H,412,15.71,40.0,stable_like
202,01623.HK,HILONG,487,10.88,38.75,stable_like
203,300751.SZ,迈为股份,281,22.23,32.5,stable_like
204,600483.SH,福能股份,43,37.96,68.75,our_top50_but_client_lower
205,603218.SH,日月股份,515,8.96,20.0,stable_like
206,600795.SH,国电电力,71,34.54,62.5,stable_like
207,601918.SH,新集能源,169,27.97,35.0,stable_like
208,601868.SH,中国能建,484,11.22,28.75,stable_like
209,03996.HK,,,,,missing_from_our_universe
210,01303.HK,HUILI RES,329,18.88,42.5,stable_like
211,600642.SH,申能股份,148,29.17,35.0,stable_like
212,002608.SZ,江苏国信,462,12.8,23.75,stable_like
213,600098.SH,广州发展,18,42.85,66.25,our_top50_but_client_lower
214,601001.SH,晋控煤业,13,44.47,62.5,our_top50_but_client_lower
215,002479.SZ,富春环保,32,39.37,52.5,our_top50_but_client_lower
216,300569.SZ,天能重工,432,14.71,27.5,stable_like
217,002459.SZ,晶澳科技,265,23.07,56.25,stable_like
218,688032.SH,禾迈股份,55,36.62,71.25,stable_like
219,600027.SH,华电国际,529,7.84,17.5,stable_like
220,01071.HK,,,,,missing_from_our_universe
221,000862.SZ,银星能源,250,23.68,25.0,stable_like
222,000543.SZ,皖能电力,311,20.03,47.5,stable_like
223,600011.SH,华能国际,475,11.88,22.5,stable_like
224,00902.HK,,,,,missing_from_our_universe
225,688779.SH,五矿新能,145,29.3,43.75,stable_like
226,00975.HK,MONGOL MINING,355,17.72,38.75,stable_like
227,920985.BJ,海泰新能,552,2.42,11.25,stable_like
