company_code,company_name,official_domain,candidate_url,source_channel,evidence_file,evidence_snippet,evidence_count,verification_status,next_action
603318.SH,水发燃气,sdsf.com.cn,https://sdsf.com.cn/,document_text_website_field,data/text/ci_collection/603318.SH/2025/annual_report.txt,公司网址 www.sfps.sdsf.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
603333.SH,尚纬股份,sunwayint.com,https://sunwayint.com/,document_text_website_field,data/text/ci_collection/603333.SH/2025/annual_report.txt,公司网址 www.sunwayint.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
603530.SH,神马电力,shemar.com.cn,https://shemar.com.cn/,document_text_website_field,data/text/ci_collection/603530.SH/2025/annual_report.txt,公司网址 www.shemar.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
603556.SH,海兴电力,hxgroup.com,https://hxgroup.com/,document_text_website_field,data/text/ci_collection/603556.SH/2025/annual_report.txt,公司网址 www.hxgroup.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
603619.SH,中曼石油,zpec.com,https://zpec.com/,document_text_website_field,data/text/ci_collection/603619.SH/2025/annual_report.txt,公司网址 www.zpec.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
603727.SH,博迈科,bomesc.com,https://bomesc.com/,document_text_website_field,data/text/ci_collection/603727.SH/2025/annual_report.txt,公司网址 www.bomesc.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
603728.SH,鸣志电器,moons.com.cn,https://moons.com.cn/,document_text_website_field,data/text/ci_collection/603728.SH/2025/annual_report.txt,公司网址 www.moons.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
603798.SH,康普顿,copton.com.cn,https://copton.com.cn/,document_text_website_field,data/text/ci_collection/603798.SH/2025/annual_report.txt,公司网址 www.copton.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
603806.SH,福斯特,firstpvm.com,https://firstpvm.com/,document_text_website_field,data/text/ci_collection/603806.SH/2025/annual_report.txt,公司网址 www.firstpvm.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
603819.SH,神力股份,czshenli.com,https://czshenli.com/,document_text_website_field,data/text/ci_collection/603819.SH/2025/annual_report.txt,公司网址 www.czshenli.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
603897.SH,长城科技,grandwall.com.cn,https://grandwall.com.cn/,document_text_website_field,data/text/ci_collection/603897.SH/2025/annual_report.txt,公司网址 www.grandwall.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
603985.SH,恒润股份,hrflanges.com,https://hrflanges.com/,document_text_website_field,data/text/ci_collection/603985.SH/2025/annual_report.txt,公司网址 www.hrflanges.com,4,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
605066.SH,天正电气,tengen.com,https://tengen.com/,document_text_website_field,data/text/ci_collection/605066.SH/2025/annual_report.txt,公司网址 www.tengen.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
