company_code,company_name,indicator_code,in_v23_obs,direct_extract,derived_now,text_signal,has_revenue_signal,doc_count,text_chars,failure_reason,extract_values
002911.SZ,佛燃能源,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,True,1,278911,no_text_signal,
002911.SZ,佛燃能源,Q_S_SAFETY_INVEST_RATE,False,False,False,False,True,1,278911,no_text_signal,
00686.HK,BJ ENERGY INTL,Q_E_GHG_INTENSITY,False,False,False,False,False,2,955579,no_text_signal,
00686.HK,BJ ENERGY INTL,Q_E_ENERGY_INTENSITY,False,False,False,False,False,2,955579,no_text_signal,
00686.HK,BJ ENERGY INTL,Q_E_NOX_INTENSITY,False,False,False,True,False,2,955579,text_signal_but_rules_miss,
00686.HK,BJ ENERGY INTL,Q_E_SO2_INTENSITY,False,False,False,True,False,2,955579,text_signal_but_rules_miss,
00686.HK,BJ ENERGY INTL,Q_E_WATER_INTENSITY,False,False,False,False,False,2,955579,no_text_signal,
00686.HK,BJ ENERGY INTL,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,False,2,955579,no_text_signal,
00686.HK,BJ ENERGY INTL,Q_S_SAFETY_INVEST_RATE,False,False,False,False,False,2,955579,no_text_signal,
688676.SH,金盘科技,Q_E_GHG_INTENSITY,True,True,False,True,True,2,413819,ok_confirmed,2.6
688676.SH,金盘科技,Q_E_ENERGY_INTENSITY,True,True,False,True,True,2,413819,ok_confirmed,8.4;8.4
688676.SH,金盘科技,Q_E_NOX_INTENSITY,False,False,False,True,True,2,413819,text_signal_but_rules_miss,
688676.SH,金盘科技,Q_E_SO2_INTENSITY,False,False,False,True,True,2,413819,text_signal_but_rules_miss,
688676.SH,金盘科技,Q_E_WATER_INTENSITY,False,False,False,True,True,2,413819,text_signal_but_rules_miss,
688676.SH,金盘科技,Q_E_SOLID_WASTE_INTENSITY,False,False,False,True,True,2,413819,text_signal_but_rules_miss,
688676.SH,金盘科技,Q_S_SAFETY_INVEST_RATE,False,False,False,False,True,2,413819,no_text_signal,
600339.SH,中油工程,Q_E_GHG_INTENSITY,False,False,False,False,True,1,207146,no_text_signal,
600339.SH,中油工程,Q_E_ENERGY_INTENSITY,False,False,False,False,True,1,207146,no_text_signal,
600339.SH,中油工程,Q_E_NOX_INTENSITY,False,False,False,False,True,1,207146,no_text_signal,
600339.SH,中油工程,Q_E_SO2_INTENSITY,False,False,False,False,True,1,207146,no_text_signal,
600339.SH,中油工程,Q_E_WATER_INTENSITY,False,False,False,True,True,1,207146,text_signal_but_rules_miss,
600339.SH,中油工程,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,True,1,207146,no_text_signal,
600339.SH,中油工程,Q_S_SAFETY_INVEST_RATE,False,False,False,False,True,1,207146,no_text_signal,
688408.SH,中信博,Q_E_GHG_INTENSITY,False,False,False,False,True,1,246110,no_text_signal,
688408.SH,中信博,Q_E_ENERGY_INTENSITY,False,False,False,False,True,1,246110,no_text_signal,
