company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,recommended_value,review_reason
000049.SZ,德赛电池,2025,Q_G_REVENUE_GROWTH,1,7.38366,7,7.38366,single_or_consistent
000049.SZ,德赛电池,2025,Q_G_ROE,1,4.4,7,4.4,single_or_consistent
000049.SZ,德赛电池,2025,Q_S_DIVIDEND_PER_SHARE,1,0.23,38,0.23,single_or_consistent
000049.SZ,德赛电池,2025,Q_S_RD_RATE,1,4.6,18,4.6,single_or_consistent
00006.HK,POWER ASSETS,2025,Q_G_EBITDA_INTEREST,1,29.307,80,29.307,single_or_consistent
00006.HK,POWER ASSETS,2025,Q_G_REVENUE_GROWTH,1,-16.1045,80,-16.1045,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_AR_TURNOVER,1,41.5457,61,41.5457,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_ASSET_TURNOVER,1,0.408286,62,0.408286,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_CAPITAL_ACCUMULATION,1,-2.12223,63,-2.12223,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_CASH_CURRENT_LIABILITY,1,-4.56322,69,-4.56322,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_CASH_REALIZATION,1,145.99,69,145.99,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_COST_REVENUE_RATE,1,94.4887,65,94.4887,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_CURRENT_ASSET_TURNOVER,1,0.99688,61,0.99688,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_DEBT_ASSET_RATE,1,25.3628,63,25.3628,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_EBITDA_INTEREST,1,109.218,66,109.218,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_EBITDA_MARGIN,1,11.7301,66,11.7301,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_OPERATING_MARGIN,1,10.322,66,10.322,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_OPERATING_PROFIT_GROWTH,1,10.4287,66,10.4287,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_QUICK_RATIO,1,153.923,62,153.923,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_REVENUE_GROWTH,1,-30.906,7,-30.906,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_ROA,1,4.23506,66,4.23506,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_ROE,1,4.14,8,4.14,single_or_consistent
000096.SZ,广聚能源,2025,Q_G_TWO_FUNDS_RATE,1,3.2885,61,3.2885,single_or_consistent
000096.SZ,广聚能源,2025,Q_S_BENEFIT_PER_EMPLOYEE,1,3.66413,141,3.66413,single_or_consistent
000096.SZ,广聚能源,2025,Q_S_DIVIDEND_PER_SHARE,1,0.075,37,0.075,single_or_consistent
000096.SZ,广聚能源,2025,Q_S_EDU_PER_EMPLOYEE,1,0.126115,141,0.126115,single_or_consistent
000096.SZ,广聚能源,2025,Q_S_PAY_PER_EMPLOYEE,1,16.7182,141,16.7182,single_or_consistent
000096.SZ,广聚能源,2025,Q_S_RD_RATE,1,0,66,0,single_or_consistent
000155.SZ,川能动力,2025,Q_G_AR_TURNOVER,1,36.3526,116,36.3526,single_or_consistent
000155.SZ,川能动力,2025,Q_G_ASSET_TURNOVER,1,0.135528,116,0.135528,single_or_consistent
000155.SZ,川能动力,2025,Q_G_CAPITAL_ACCUMULATION,1,3.92254,116,3.92254,single_or_consistent
000155.SZ,川能动力,2025,Q_G_CASH_REALIZATION,1,128.685,122,128.685,single_or_consistent
000155.SZ,川能动力,2025,Q_G_COST_REVENUE_RATE,1,76.5976,118,76.5976,single_or_consistent
000155.SZ,川能动力,2025,Q_G_DEBT_ASSET_RATE,2,52.94|52.94,110|116,,conflicting_candidates
000155.SZ,川能动力,2025,Q_G_EBITDA_INTEREST,1,3.94042,119,3.94042,single_or_consistent
000155.SZ,川能动力,2025,Q_G_EBITDA_MARGIN,1,52.7366,119,52.7366,single_or_consistent
000155.SZ,川能动力,2025,Q_G_OPERATING_MARGIN,1,23.0355,119,23.0355,single_or_consistent
000155.SZ,川能动力,2025,Q_G_OPERATING_PROFIT_GROWTH,1,4.79163,119,4.79163,single_or_consistent
000155.SZ,川能动力,2025,Q_G_REVENUE_GROWTH,1,17.8315,9,17.8315,single_or_consistent
000155.SZ,川能动力,2025,Q_G_ROE,2,4.81,9|219,4.81,single_or_consistent
000155.SZ,川能动力,2025,Q_S_DONATION_RATE,1,0.0001399,185,0.0001399,single_or_consistent
000155.SZ,川能动力,2025,Q_S_RD_RATE,1,0.82,30,0.82,single_or_consistent
000400.SZ,许继电气,2025,Q_E_GHG_INTENSITY,1,19.6773,25,19.6773,single_or_consistent
000400.SZ,许继电气,2025,Q_E_GHG_REDUCTION_RATE,1,-1.72414,28,-1.72414,single_or_consistent
000400.SZ,许继电气,2025,Q_E_NOX_INTENSITY,1,0.940507,31,0.940507,single_or_consistent
000400.SZ,许继电气,2025,Q_E_PM_INTENSITY,1,0.578979,31,0.578979,single_or_consistent
000400.SZ,许继电气,2025,Q_E_WASTEWATER_INTENSITY,1,12.354,31,12.354,single_or_consistent
000400.SZ,许继电气,2025,Q_G_AR_TURNOVER,1,2.64812,84,2.64812,single_or_consistent
000400.SZ,许继电气,2025,Q_G_ASSET_TURNOVER,1,0.582029,84,0.582029,single_or_consistent
000400.SZ,许继电气,2025,Q_G_CAPITAL_ACCUMULATION,1,8.06282,84,8.06282,single_or_consistent
000400.SZ,许继电气,2025,Q_G_DEBT_ASSET_RATE,1,49.0307,84,49.0307,single_or_consistent
000400.SZ,许继电气,2025,Q_G_REVENUE_GROWTH,1,-12.2723,7,-12.2723,single_or_consistent
000400.SZ,许继电气,2025,Q_G_ROE,2,9.94,7|199,9.94,single_or_consistent
000400.SZ,许继电气,2025,Q_S_BENEFIT_PER_EMPLOYEE,1,4.25559,160,4.25559,single_or_consistent
000400.SZ,许继电气,2025,Q_S_DIVIDEND_PER_SHARE,2,0.221,48|189,0.221,single_or_consistent
000400.SZ,许继电气,2025,Q_S_EDU_PER_EMPLOYEE,1,0.699942,160,0.699942,single_or_consistent
000400.SZ,许继电气,2025,Q_S_ENV_INVEST_RATE,1,0.03,41,0.03,single_or_consistent
000400.SZ,许继电气,2025,Q_S_PAY_PER_EMPLOYEE,1,19.511,160,19.511,single_or_consistent
000400.SZ,许继电气,2025,Q_S_RD_RATE,2,5.71,10|25,5.71,single_or_consistent
000407.SZ,胜利股份,2025,Q_G_ROE,1,5.14,6,5.14,single_or_consistent
000407.SZ,胜利股份,2025,Q_S_DIVIDEND_PER_SHARE,1,0.06,41,0.06,single_or_consistent
00042.HK,NE ELECTRIC,2025,Q_G_EBITDA_INTEREST,1,-281.322,135,-281.322,single_or_consistent
00042.HK,NE ELECTRIC,2025,Q_G_EBITDA_MARGIN,1,-43.9642,141,-43.9642,single_or_consistent
00042.HK,NE ELECTRIC,2025,Q_G_REVENUE_GROWTH,1,4.94052,135,4.94052,single_or_consistent
000421.SZ,南京公用,2025,Q_G_ASSET_TURNOVER,1,0.569936,97,0.569936,single_or_consistent
000421.SZ,南京公用,2025,Q_G_CAPITAL_ACCUMULATION,1,-0.962124,97,-0.962124,single_or_consistent
000421.SZ,南京公用,2025,Q_G_DEBT_ASSET_RATE,1,61.9661,97,61.9661,single_or_consistent
000421.SZ,南京公用,2025,Q_G_REVENUE_GROWTH,1,6.26951,8,6.26951,single_or_consistent
000421.SZ,南京公用,2025,Q_G_ROE,1,1.76,8,1.76,single_or_consistent
000421.SZ,南京公用,2025,Q_S_DIVIDEND_PER_SHARE,2,0.06,60|214,0.06,single_or_consistent
000421.SZ,南京公用,2025,Q_S_RD_RATE,1,0.28,29,0.28,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_ENERGY_INTENSITY,2,5920,34|58,5920,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_GHG_INTENSITY,2,18790,24|58,18790,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_HAZ_WASTE_INTENSITY,2,0.6,31|58,0.6,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_NOX_INTENSITY,1,2075.52,30,2075.52,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_PM_INTENSITY,1,175.686,30,175.686,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_SO2_INTENSITY,1,852.74,30,852.74,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_AR_TURNOVER,1,22.0269,58,22.0269,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_ASSET_TURNOVER,1,0.312607,58,0.312607,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_CAPITAL_ACCUMULATION,1,3.80473,58,3.80473,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_CASH_REALIZATION,1,118.885,62,118.885,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_COST_REVENUE_RATE,1,98.5502,59,98.5502,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_CURRENT_ASSET_TURNOVER,1,3.00289,58,3.00289,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_EBITDA_INTEREST,1,2.21133,60,2.21133,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_EBITDA_MARGIN,1,25.9882,60,25.9882,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_OPERATING_MARGIN,1,12.9311,60,12.9311,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_OPERATING_PROFIT_GROWTH,1,100.96,60,100.96,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_REVENUE_GROWTH,1,-3.65944,7,-3.65944,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_ROA,1,4.31656,60,4.31656,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_ROE,1,4.47,7,4.47,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_TWO_FUNDS_RATE,1,47.7441,58,47.7441,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_S_DIVIDEND_PER_SHARE,2,0.05|1,37|136,,conflicting_candidates
000531.SZ,穗恒运Ａ,2025,Q_S_DONATION_RATE,1,0.08025,119,0.08025,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_S_ENV_INVEST_RATE,1,1.003,9,1.003,single_or_consistent
