batch_task_rank,batch_action,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority,diagnostic_category,diagnostic_excerpt,text_file_count,diagnostic_text_files,scoring_authorized
1,inspect_esg_tables,1,99.322917,70,219,149,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,00002.HK,CLP HOLDINGS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,disclosed_non_revenue_denominator,"in progress 2024 : >30 2,565 EV chargers under management4 2024 : 1,496 30,546RT* Total cooling capacity under CaaS5 2024 : 18,811RT* * refrigeration tonnes 12,133kWp# Total solar capacity under SaaS5 2024 : 8,311kWp# # kilowatt peak 0.50kg CO2e/kWh Greenhouse gas emissions intensity 2024 : 0.53kg CO2e/kWh 71% Operating earnings from non-carbon generation assets, transmission, distribution and retail operations 2024 : 68% 77% Planned capital investments in non-carbon generation assets, transmiss",1,data/text/hkex_reports/00002.HK/2025/annual_report.txt,False
2,inspect_esg_tables,2,99.322917,48,355,307,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,00003.HK,HK & CHINA GAS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,disclosed_non_revenue_denominator,"r discharged - to marine water bodies (treated) (Hong Kong) Air Emissions NOx and SOx emissions (Hong Kong and Outside Hong Kong) Respirable suspended particulates (PM10) (Outside Hong Kong) Fuel Mix Natural gas, Naphtha and Landfill gas (Hong Kong) Greenhouse Gas (""GHG"") Emissions Direct GHG emissions (Scope 1) and Indirect GHG emissions (Scope 2 and Scope 3) (Group) Carbon intensity (Hong Kong Gas Production) Number of Employees Full time (by gender, age, employee category) (Hong Kong and Outs",2,data/text/00003.HK/2025/annual_report.txt|data/text/hkex_reports/00003.HK/2025/esg_report.txt,False
3,inspect_esg_tables,3,99.322917,53,433,380,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,00006.HK,POWER ASSETS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,". Beyond climate action, we also address broader environmental priorities including biodiversity, nature preservation, circular economy and the management of waste and water-related risks. 80 OVERVIEW OF 2025 ENVIRONMENTAL ACHIEVEMENTS Scope 1 and 2 GHG emissions intensity per attributable revenue1 vs. 2024 5%Decrease 81% of Group’s attributable revenues certified with ISO 14001 or other EMS certificates1 Renewable Energy Capacity and Generation Mix in 2025 Wind Power 369 MW (721 GWh) Energy-fro",2,data/text/hkex_reports/00006.HK/2025/annual_report.txt|data/text/hkex_reports/00006.HK/2025/esg_report.txt,False
4,inspect_esg_tables,4,99.322917,108,290,182,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,000096.SZ,广聚能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,提升能源使用效率，助力夯 实绿色低碳运营水平。 全资子公司广聚亿联的聚能南综合能源站于报告期内建成投运，站内光伏发电系统与储能装置 的投用，进一步完善站点绿色能源体系、增强运营韧性，站内铺设的 168 块 620Wp 高效光伏板，有 效利用清洁太阳能补充站内用电，年发电量约 13.5 万度，助力降低碳排放，提升能源供给的低碳化 与高效化水平，为构建智慧、可持续的综合能源服务体系提供了重要支撑。 十七、巩固拓展脱贫攻坚成果、乡村振兴的情况 公司积极响应党中央、国务院关于扶贫减贫、乡村振兴的各项政策方针，在公益扶贫方面努力 践行国企政治责任和使命担当。报告期内，公司开展消费扶贫，实现帮扶 40 万元。 42 === PAGE 43 === 深圳市广聚能源股份有限公司 2025 年年度报告全文 第五节 重要事项 一 、承诺事项履行情况 1、公司实际控制人、股东、关联方、收购人以及公司等承诺相关方在报告期内履行完毕及截至报告期末 尚未履行完毕的承诺事项 适用 □不适用 承诺事由 承诺方 承诺内容 承诺时间 承诺期限 履行情况 首次公开发行或再 融资时所作承诺 深圳市广聚 投资控股 （集团）有,1,data/text/000096.SZ/2025/annual_report.txt,False
5,inspect_esg_tables,6,99.322917,193,488,295,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,000554.SZ,泰山石油,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,理台账，形成油气回 收、污水处理、危废暂存间等设施的全流程闭环管理。 35 36 === PAGE 20 === 泰山石油 2025 年可持续发展报告 提高能源效率 优化用能结构 公司高度重视设备节能管理，通过全面排查、集中整治、动态管控等举措，全面提升设备能效，降低设备运行能耗，从运 营环节减少碳排放，同时降低企业运营成本。 公司组织开展高耗能淘汰型设备排查统计专项工作，对所有库站的加能设备、储油设备、照明设备、供暖设备等运营设备 进行全面排查，对高耗能淘汰型设备，采取“集中回收、合规处置”的方式及时淘汰，坚决杜绝高耗能淘汰型设备继续使用。 同时，推进现有设备节能升级，建设智慧微电网储能工程，完成柴改汽、汽油罐钢浮盘、工艺脱瓶颈等多项设备改造项目， 创新开发“加能站日管理溢耗预警及校验误差自动预警机器人”项目，提升设备运行效率与节能水平。 截至报告期末，公司所有库站均无在用高耗能设备，设备平均能效较上年提升 12.3%。通过设备节能升级与能耗管控，有 效降低了设备运行过程中的电力、燃油等能源消耗，减少了碳排放，实现环境效益与经济效益的双重提升。 泰山石油光伏项目 水资源管理 低碳转型,2,data/text/000554.SZ/2025/annual_report.txt|data/text/000554.SZ/2025/esg_report.txt,False
6,inspect_esg_tables,7,99.322917,151,413,262,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,000682.SZ,东方电子,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,9 2025SR0056258 统一计量计费研发平台 软件著作权 烟台东方威思顿电气有限公司 2 2025/1/9 2025SR0052337 东方威思顿基于标准传输协议的 软加密预付费管理系统 软件著作权 烟台东方威思顿电气有限公司 3 2025/1/9 2025SR0052358 东方威思顿电力碳排放监测与仿 真系统 软件著作权 烟台东方威思顿电气有限公司 4 2025/1/20 2025SR0128692 威思顿电力设备 DTU 分合闸录波 单元软件 软件著作权 烟台东方威思顿电力设备有限 公司 5 2025/1/20 2025SR0125633 威思顿电力设备配电终端单元电 源模块软件 软件著作权 烟台东方威思顿电力设备有限 公司 6 2025/1/20 2025SR0125566 威思顿电力设备环网柜公共单元 数据同步采集软件 软件著作权 烟台东方威思顿电力设备有限 公司 7 2025/1/20 2025SR0128665 威思顿电力设备 DTU 公共单元 M4 核心软件 软件著作权 烟台东方威思顿电力设备有限 公司 8 2025/1/20 2025SR0128599 威思顿,1,data/text/000682.SZ/2025/annual_report.txt,False
7,inspect_esg_tables,9,99.322917,136,319,183,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,001208.SZ,华菱线缆,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,no_matching_disclosure_in_text,,1,data/text/001208.SZ/2025/annual_report.txt,False
8,inspect_esg_tables,10,99.322917,122,258,136,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,001258.SZ,立新能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,发展 ；且明确目标到 2027 年，绿证市场制度体系基本完善 ；到 2030 年，绿证市场高质量发展，绿色电力消费需求快 速增长。 中共中央办公厅 国务院办公厅于 2025 年 8 月 25 日发布《关于推进绿色低碳转型加强全国碳市场建设的意见》，提出加 快建设全国统一碳市场。到 2027 年，全国碳排放权交易市场基本覆盖工业领域主要排放行业 ；到 2030 年，基本建成以配 额总量控制为基础、免费和有偿分配相结合的碳排放权交易市场，形成与国际接轨的自愿减排交易市场。 国家能源局于 2025 年 11 月 28 日印发《关于印发〈可再生能源绿色电力证书管理实施细则（试行）〉的通知》，明确了 核发、划转、核销、衔接的关键规则，同时建立异议处理机制和数据监管体系，确保权责清晰、数据可溯。 2. 新疆层面 新疆发改委于 2025 年 1 月 23 日发布《新疆独立储能容量租赁试点方案（征求意见稿）意见建议的函》，旨在规范独立 储能容量租赁，促进新能源消纳。并明确准入条件、交易与执行、租赁期原则、权益与限制。 新疆电力交易中心于 2025 年 2 月发布细则《新疆电力交易实施细则 3.0（征求,1,data/text/001258.SZ/2025/annual_report.txt,False
9,inspect_esg_tables,11,99.322917,112,240,128,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,001299.SZ,美能能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,"司业务转型升级的步伐。 二、报告期内公司所处行业情况 （一）所处行业基本情况 1.全国天然气行业发展态势 在“碳达峰、碳中和”国家双碳能源发展目标持续深入推进的大背景下，天然气作为优质清洁能源，在优化能源结 构、改善城市环境、加速城市现代化建设和提高人民群众生活水平等方面的重要性愈发凸显。高热值、低碳排放的天然 气已然成为我国向绿色低碳化产业转型的关键能源组成部分。 国家统计局数据显示，2025 年全年，我国天然气产量达 2,620.6 亿立方米，同比增长 6.3%，连续 9 年保持百亿立方 米增产势头，自主供应保障能力进一步增强。在消费端，根据国家发改委公布的数据，2025 年全国天然气表观消费量达 10 === PAGE 11 === 陕西美能清洁能源集团股份有限公司 2025 年年度报告全文 4,265.5 亿立方米，同比增长 0.1%。进口气方面，国家统计局数据显示，2025 年我国天然气进口量折算为 12,787 万吨， 同比下降 2.9%。总体而言，2025 年我国天然气市场供需关系有一定程度的缓和。 展望 2026 年，我国天然气行业供需两侧将继续协同发力。从供应侧来看，",1,data/text/001299.SZ/2025/annual_report.txt,False
10,inspect_esg_tables,12,99.322917,136,285,149,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,00182.HK,CONCORD NE,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,disclosed_non_revenue_denominator,"025 Direct GHG Emissions (Scope 1) Tonnes CO2e 277.43 664.81 446.39 Indirect GHG Emissions (Scope 2 – location-based) Tonnes CO2e 9,392.27 10,999.01 12,257.41 Indirect GHG Emissions (Scope 2 – market-based) Tonnes CO2e / 12,497.41 10,915.45 Indirect GHG Emissions (Scope 3) Tonnes CO2e 230,088.99 263,329.21 227,397.45 GHG Emissions (Scope 1 and 2) Tonnes CO2e / 13,162.22 11,361.85 GHG Emission Intensity (Scope 1 and 2) gCO2e/kWh / 1.75 1.52 Total Hazardous Waste Tonnes 7.14 1.54 0.69 Hazardous Wa",2,data/text/hkex_reports/00182.HK/2025/annual_report.txt|data/text/hkex_reports/00182.HK/2025/esg_report.txt,False
