impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,missing_esg_document,esg_status,company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
32,90.0,23,239,216,True,1.0,1.0,1.0,False,collected,00951.HK,CHAOWEI POWER,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
33,90.0,84,384,300,True,1.0,1.0,1.0,False,embedded_in_annual,01080.HK,SHENGLI PIPE,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
34,90.0,1,330,329,True,1.0,1.0,1.0,False,collected,01229.HK,NAN NAN RES,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
35,90.0,182,343,161,True,1.0,1.0,1.0,False,embedded_in_annual,01277.HK,KINETIC DEV,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
36,90.0,13,287,274,True,1.0,1.0,1.0,False,collected,01303.HK,HUILI RES,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
37,90.0,2,470,468,True,1.0,1.0,1.0,False,embedded_in_annual,01555.HK,MIE HOLDINGS,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
38,90.0,131,510,379,True,1.0,1.0,1.0,False,embedded_in_annual,01621.HK,VICO INTL HLDGS,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
39,90.0,40,422,382,True,1.0,1.0,1.0,False,collected,01623.HK,HILONG,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
40,90.0,136,407,271,True,1.0,1.0,1.0,False,embedded_in_annual,01938.HK,CHU KONG PIPE,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
41,90.0,84,306,222,True,1.0,1.0,1.0,False,collected,01940.HK,CGII HLDGS,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
42,90.0,124,379,255,True,1.0,1.0,1.0,False,embedded_in_annual,02178.HK,PETRO-KING,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
43,90.0,153,266,113,True,1.0,1.0,1.0,False,collected,03303.HK,JUTAL OIL SER,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
44,90.0,37,512,475,True,1.0,1.0,1.0,False,embedded_in_annual,03395.HK,JX ENERGY,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
45,90.0,183,429,246,True,1.0,1.0,1.0,False,embedded_in_annual,06885.HK,JINMA ENERGY,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
46,90.0,160,446,286,True,1.0,1.0,1.0,False,embedded_in_annual,08347.HK,F8 ENT,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
