priority,company_code,company_name,report_year,indicator_code,indicator_weight,tier,candidate_count,distinct_values,max_confidence,current_rank,best_rank,worst_rank,rank_span,crosses_top_200,conflict_risk,boundary_risk,instability_risk,weight_risk,confidence_risk,impact_score,baseline_confidence_rank,baseline_weight_rank,next_action
46,605222.SH,起帆电缆,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,66.6|68.4065|68.41,0.94,186,126,278,152,True,1.0,1.0,1.0,0.311111,0.06,84.966667,231,130,review_conflict_candidates
47,688063.SH,派能科技,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,30.3256|70,0.94,135,135,262,127,True,1.0,1.0,1.0,0.311111,0.06,84.966667,233,132,review_conflict_candidates
48,688116.SH,天奈科技,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,33.5961|33.6|42.33,0.94,163,135,247,112,True,1.0,1.0,1.0,0.311111,0.06,84.966667,234,133,review_conflict_candidates
49,688303.SH,大全能源,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,8.62|8.62095,0.94,423,130,477,347,True,1.0,1.0,1.0,0.311111,0.06,84.966667,239,138,review_conflict_candidates
50,688472.SH,阿特斯,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,63.65|63.6517,0.94,149,70,250,180,True,1.0,1.0,1.0,0.311111,0.06,84.966667,244,143,review_conflict_candidates
51,688599.SH,天合光能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,74.02|76.9296,0.94,272,194,366,172,True,1.0,1.0,1.0,0.311111,0.06,84.966667,253,152,review_conflict_candidates
52,688707.SH,振华新材,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,39.29|39.2902,0.94,254,179,349,170,True,1.0,1.0,1.0,0.311111,0.06,84.966667,257,156,review_conflict_candidates
53,688719.SH,爱科赛博,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,31.91|31.9131,0.94,212,176,302,126,True,1.0,1.0,1.0,0.311111,0.06,84.966667,258,157,review_conflict_candidates
54,688779.SH,五矿新能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,45.19|55.13|55.1327,0.94,184,146,272,126,True,1.0,1.0,1.0,0.311111,0.06,84.966667,261,160,review_conflict_candidates
55,920375.BJ,派诺科技,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,36.3079|36.31,0.94,236,195,446,251,True,1.0,1.0,1.0,0.311111,0.06,84.966667,264,163,review_conflict_candidates
56,600956.SH,新天绿能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,66.3|66.3042,0.94,163,145,243,98,True,1.0,1.0,0.98,0.311111,0.06,84.566667,200,100,review_conflict_candidates
57,688388.SH,嘉元科技,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,4,45.98|51.92|51.921|70,0.94,138,124,221,97,True,1.0,1.0,0.97,0.311111,0.06,84.366667,242,141,review_conflict_candidates
58,600151.SH,航天机电,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-32.5993|1.42796,0.91,219,189,311,122,True,1.0,1.0,1.0,0.233333,0.09,83.95,28,181,review_conflict_candidates
59,600167.SH,联美控股,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-7.7016|750.61,0.91,356,187,415,228,True,1.0,1.0,1.0,0.233333,0.09,83.95,29,182,review_conflict_candidates
60,600188.SH,兖矿能源,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-7.4929|3.01011,0.91,163,45,390,345,True,1.0,1.0,1.0,0.233333,0.09,83.95,30,183,review_conflict_candidates
61,600207.SH,安彩高科,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-32.7284|38.6969,0.91,372,76,418,342,True,1.0,1.0,1.0,0.233333,0.09,83.95,31,184,review_conflict_candidates
62,600468.SH,百利电气,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-7.32396|12.9735,0.91,177,159,264,105,True,1.0,1.0,1.0,0.233333,0.09,83.95,38,192,review_conflict_candidates
63,600780.SH,通宝能源,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,4.02306|27.5196,0.91,167,26,284,258,True,1.0,1.0,1.0,0.233333,0.09,83.95,48,203,review_conflict_candidates
64,600803.SH,新奥股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-3.22426|4.5489,0.91,168,133,316,183,True,1.0,1.0,1.0,0.233333,0.09,83.95,49,205,review_conflict_candidates
65,600875.SH,东方电气,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-23.6338|13.1062,0.91,187,29,455,426,True,1.0,1.0,1.0,0.233333,0.09,83.95,53,209,review_conflict_candidates
66,601218.SH,吉鑫科技,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,15.6057|204.056,0.91,366,198,427,229,True,1.0,1.0,1.0,0.233333,0.09,83.95,58,216,review_conflict_candidates
67,601666.SH,平煤股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-32.1962|14.4122,0.91,187,106,283,177,True,1.0,1.0,1.0,0.233333,0.09,83.95,60,218,review_conflict_candidates
68,601778.SH,晶科科技,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-18.3163|9.89884,0.91,144,60,244,184,True,1.0,1.0,1.0,0.233333,0.09,83.95,61,219,review_conflict_candidates
69,603318.SH,水发燃气,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-1.52975|12.1213,0.91,245,180,338,158,True,1.0,1.0,1.0,0.233333,0.09,83.95,71,229,review_conflict_candidates
70,603393.SH,新天然气,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,3.89077|9.14613,0.91,67,52,220,168,True,1.0,1.0,1.0,0.233333,0.09,83.95,73,231,review_conflict_candidates
71,605028.SH,世茂能源,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-10.1229|-3.15227,0.91,192,124,395,271,True,1.0,1.0,1.0,0.233333,0.09,83.95,80,238,review_conflict_candidates
72,605162.SH,新中港,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-18.8229|-8.5774,0.91,105,36,207,171,True,1.0,1.0,1.0,0.233333,0.09,83.95,81,239,review_conflict_candidates
73,688032.SH,禾迈股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-3.05602|35.2809,0.91,211,167,307,140,True,1.0,1.0,1.0,0.233333,0.09,83.95,83,241,review_conflict_candidates
74,688116.SH,天奈科技,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-10.4118|10.8609,0.91,163,135,247,112,True,1.0,1.0,1.0,0.233333,0.09,83.95,84,242,review_conflict_candidates
75,688147.SH,微导纳米,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-8.11856|-2.46665,0.91,193,130,388,258,True,1.0,1.0,1.0,0.233333,0.09,83.95,85,243,review_conflict_candidates
76,688303.SH,大全能源,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-34.7073|1.27089,0.91,423,130,477,347,True,1.0,1.0,1.0,0.233333,0.09,83.95,90,248,review_conflict_candidates
77,688599.SH,天合光能,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-16.6092|-11.9942,0.91,272,194,366,172,True,1.0,1.0,1.0,0.233333,0.09,83.95,101,260,review_conflict_candidates
78,688719.SH,爱科赛博,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-3.47831|28.9387,0.91,212,176,302,126,True,1.0,1.0,1.0,0.233333,0.09,83.95,107,266,review_conflict_candidates
79,688779.SH,五矿新能,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-31.6667|68.6209,0.91,184,146,272,126,True,1.0,1.0,1.0,0.233333,0.09,83.95,109,268,review_conflict_candidates
80,600795.SH,国电电力,2025,Q_G_ROE,2.1,manual_signature_required,2,10|12.283,0.92,232,144,330,186,True,1.0,1.0,1.0,0.233333,0.08,83.9,114,204,review_conflict_candidates
81,601012.SH,隆基绿能,2025,Q_G_ROE,2.1,manual_signature_required,2,-11.15|35,0.92,206,140,308,168,True,1.0,1.0,1.0,0.233333,0.08,83.9,116,215,review_conflict_candidates
82,920496.BJ,许昌智能,2025,Q_G_ROE,2.1,manual_signature_required,2,1.91|9,0.94,213,4,513,509,True,1.0,1.0,1.0,0.233333,0.06,83.8,265,270,review_conflict_candidates
83,920779.BJ,武汉蓝电,2025,Q_G_ROE,2.1,manual_signature_required,4,11.46|12.59|158,0.94,266,138,519,381,True,1.0,1.0,1.0,0.233333,0.06,83.8,266,271,review_conflict_candidates
84,688388.SH,嘉元科技,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,15.2381|47.8526,0.91,138,124,221,97,True,1.0,1.0,0.97,0.233333,0.09,83.35,95,253,review_conflict_candidates
85,603032.SH,德新科技,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,4,23.297|23.3|29.78,0.94,267,206,358,152,False,1.0,0.892857,1.0,0.311111,0.06,82.288095,213,112,review_conflict_candidates
86,301291.SZ,明阳电气,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,46.6574|46.66,0.94,121,121,205,84,True,1.0,1.0,0.84,0.311111,0.06,81.766667,167,67,review_conflict_candidates
87,601808.SH,中海油服,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-13.7773|4.10111,0.91,251,205,478,273,False,1.0,0.909091,1.0,0.233333,0.09,81.677273,62,220,review_conflict_candidates
88,603032.SH,德新科技,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-36.4678|53.2924,0.91,267,206,358,152,False,1.0,0.892857,1.0,0.233333,0.09,81.271429,69,227,review_conflict_candidates
89,301266.SZ,宇邦新材,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,43.26|43.2627,0.94,185,185,266,81,True,1.0,1.0,0.81,0.311111,0.06,81.166667,165,66,review_conflict_candidates
90,688005.SH,容百科技,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-18.6917|22.4199,0.91,177,171,257,86,True,1.0,1.0,0.86,0.233333,0.09,81.15,82,240,review_conflict_candidates
91,600379.SH,宝光股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,60.9176|60.92,0.94,178,178,255,77,True,1.0,1.0,0.77,0.311111,0.06,80.366667,182,81,review_conflict_candidates
92,002364.SZ,中恒电气,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,2,0.1|0.3,0.94,213,213,340,127,False,1.0,0.793651,1.0,0.333333,0.06,80.14127,136,11,review_conflict_candidates
93,688680.SH,海优新材,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,56.2|56.2016,0.94,343,212,410,198,False,1.0,0.806452,1.0,0.311111,0.06,80.127957,256,155,review_conflict_candidates
