priority,company_code,company_name,report_year,indicator_code,indicator_weight,tier,candidate_count,distinct_values,max_confidence,current_rank,best_rank,worst_rank,rank_span,crosses_top_200,conflict_risk,boundary_risk,instability_risk,weight_risk,confidence_risk,impact_score,baseline_confidence_rank,baseline_weight_rank,next_action
134,600312.SH,平高电气,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-21.1887|0.929883,0.91,122,122,191,69,False,1.0,0.847458,0.69,0.233333,0.09,73.936441,34,187,review_conflict_candidates
135,600116.SH,三峡水利,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-13.4698|-1.44078,0.91,118,118,189,71,False,1.0,0.819672,0.71,0.233333,0.09,73.641803,27,180,review_conflict_candidates
136,688148.SH,芳源股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,4,70|83.77|83.7747,0.94,399,242,468,226,False,1.0,0.543478,1.0,0.311111,0.06,73.553623,235,134,review_conflict_candidates
137,600726.SH,华电能源,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-8.22279|64.8522,0.91,59,59,163,104,False,1.0,0.574713,1.0,0.233333,0.09,73.317816,46,201,review_conflict_candidates
138,600416.SH,湘电股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,43.183|51.04,0.94,120,120,187,67,False,1.0,0.793651,0.67,0.311111,0.06,73.207937,184,83,review_conflict_candidates
139,688638.SH,誉辰智能,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,4.30309|42.4747,0.91,307,238,390,152,False,1.0,0.568182,1.0,0.233333,0.09,73.154545,104,263,review_conflict_candidates
140,600192.SH,长城电工,2025,Q_S_RD_RATE,3.0,manual_signature_required,3,5|5.29,0.96,404,247,470,223,False,1.0,0.515464,1.0,0.333333,0.04,73.086598,272,24,review_conflict_candidates
141,600152.SH,维科技术,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,43.0969|43.1,0.94,98,98,177,79,False,1.0,0.684932,0.79,0.311111,0.06,72.889954,175,74,review_conflict_candidates
142,601001.SH,晋控煤业,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,23|23.17|23.1719,0.94,25,5,151,146,False,1.0,0.505051,1.0,0.311111,0.06,72.592929,204,104,review_conflict_candidates
143,688148.SH,芳源股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-17.2804|5.38809,0.91,399,242,468,226,False,1.0,0.543478,1.0,0.233333,0.09,72.536957,86,244,review_conflict_candidates
144,603031.SH,安孚科技,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,2.93866|31.2051,0.91,39,11,157,146,False,1.0,0.537634,1.0,0.233333,0.09,72.39086,68,226,review_conflict_candidates
145,00196.HK,HONGHUA GROUP,2025,Q_S_RD_RATE,3.0,manual_signature_required,3,2.97765|5.2,0.93,223,223,297,74,False,1.0,0.684932,0.74,0.333333,0.07,72.273288,118,9,review_conflict_candidates
146,688275.SH,万润新能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,4,68.39|73.56|73.5621,0.94,387,252,459,207,False,1.0,0.490196,1.0,0.311111,0.06,72.221569,238,137,review_conflict_candidates
147,600416.SH,湘电股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-9.39496|3.97199,0.91,120,120,187,67,False,1.0,0.793651,0.67,0.233333,0.09,72.19127,36,190,review_conflict_candidates
148,688660.SH,电气风电,2025,Q_S_RD_RATE,3.0,manual_signature_required,3,4.36|4.4,0.96,371,255,437,182,False,1.0,0.47619,1.0,0.333333,0.04,72.104762,275,28,review_conflict_candidates
149,688353.SH,华盛锂电,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,16.87|19.54|19.5427,0.94,393,254,464,210,False,1.0,0.480769,1.0,0.311111,0.06,71.985897,241,140,review_conflict_candidates
150,600028.SH,中国石化,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,22.1|54.08,0.9,257,257,420,163,False,1.0,0.46729,1.0,0.311111,0.1,71.84891,12,71,review_conflict_candidates
151,600578.SH,京能电力,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,64.25|64.2521,0.94,256,256,401,145,False,1.0,0.471698,1.0,0.311111,0.06,71.759119,190,89,review_conflict_candidates
152,601001.SH,晋控煤业,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-31.5408|-12.7959,0.91,25,5,151,146,False,1.0,0.505051,1.0,0.233333,0.09,71.576263,57,214,review_conflict_candidates
153,688275.SH,万润新能,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-35.9649|52.7636,0.91,387,252,459,207,False,1.0,0.490196,1.0,0.233333,0.09,71.204902,89,247,review_conflict_candidates
154,601865.SH,福莱特,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-16.6776|11.5249,0.91,118,118,184,66,False,1.0,0.757576,0.66,0.233333,0.09,71.089394,63,221,review_conflict_candidates
155,688353.SH,华盛锂电,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-26.6913|72.2103,0.91,393,254,464,210,False,1.0,0.480769,1.0,0.233333,0.09,70.969231,94,252,review_conflict_candidates
156,002882.SZ,金龙羽,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,3,0|0.1,0.94,268,268,459,191,False,1.0,0.423729,1.0,0.333333,0.06,70.89322,144,14,review_conflict_candidates
157,688660.SH,电气风电,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-26.9682|31.0708,0.91,371,255,437,182,False,1.0,0.47619,1.0,0.233333,0.09,70.854762,105,264,review_conflict_candidates
158,600578.SH,京能电力,2025,Q_G_ROE,2.1,manual_signature_required,2,3.45|14.46,0.92,256,256,401,145,False,1.0,0.471698,1.0,0.233333,0.08,70.692453,113,195,review_conflict_candidates
159,603212.SH,赛伍技术,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,39.1551|39.16,0.94,375,268,443,175,False,1.0,0.423729,1.0,0.311111,0.06,70.559887,219,118,review_conflict_candidates
160,688819.SH,天能股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,60.9869|60.99,0.94,26,10,131,121,False,1.0,0.420168,1.0,0.311111,0.06,70.470868,262,161,review_conflict_candidates
161,300776.SZ,帝尔激光,2025,Q_S_RD_RATE,3.0,manual_signature_required,3,11.28|11.2826,0.94,15,2,127,125,False,1.0,0.406504,1.0,0.333333,0.06,70.462602,160,19,review_conflict_candidates
162,601908.SH,京运通,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-32.198|-18.8769,0.91,390,260,463,203,False,1.0,0.454545,1.0,0.233333,0.09,70.313636,65,223,review_conflict_candidates
163,600212.SH,绿能慧充,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,65.89|76.7496|76.75,0.94,272,272,442,170,False,1.0,0.409836,1.0,0.311111,0.06,70.212568,178,77,review_conflict_candidates
164,603489.SH,八方股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-12.2184|-1.47067,0.91,369,261,439,178,False,1.0,0.45045,1.0,0.233333,0.09,70.211261,74,232,review_conflict_candidates
165,003816.SZ,中国广核,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,2,0|0.086,0.94,250,250,337,87,False,1.0,0.5,0.87,0.333333,0.06,70.2,150,17,review_conflict_candidates
166,300776.SZ,帝尔激光,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,41.1|41.1046,0.94,15,2,127,125,False,1.0,0.406504,1.0,0.311111,0.06,70.129268,159,60,review_conflict_candidates
167,600725.SH,云维股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,4,25.4793|25.48,0.94,414,273,496,223,False,1.0,0.406504,1.0,0.311111,0.06,70.129268,191,91,review_conflict_candidates
168,600868.SH,梅雁吉祥,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-19.3263|3.39954,0.91,282,264,371,107,False,1.0,0.438596,1.0,0.233333,0.09,69.914912,51,207,review_conflict_candidates
169,688819.SH,天能股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-2.64423|1.66637,0.91,26,10,131,121,False,1.0,0.420168,1.0,0.233333,0.09,69.454202,110,269,review_conflict_candidates
170,688556.SH,高测股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,48.05|48.0522|52.53,0.94,242,242,321,79,False,1.0,0.543478,0.79,0.311111,0.06,69.353623,249,148,review_conflict_candidates
171,603333.SH,尚纬股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,37.0924|43.89,0.94,248,248,331,83,False,1.0,0.510204,0.83,0.311111,0.06,69.321769,221,120,review_conflict_candidates
172,601868.SH,中国能建,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-10.1593|3.71339,0.91,272,272,419,147,False,1.0,0.409836,1.0,0.233333,0.09,69.195902,64,222,review_conflict_candidates
173,600725.SH,云维股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-27.6515|-15.8267,0.91,414,273,496,223,False,1.0,0.406504,1.0,0.233333,0.09,69.112602,45,200,review_conflict_candidates
174,688330.SH,宏力达,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-98.3432|-33.5479,0.91,116,116,178,62,False,1.0,0.694444,0.62,0.233333,0.09,68.711111,91,249,review_conflict_candidates
175,03337.HK,ANTON OILFIELD,2025,Q_E_ALTERNATIVE_WATER_RATE,2.46,consistent_multi_review,2,8.53,0.93,139,19,395,376,True,0.55,1.0,1.0,0.273333,0.07,68.7,120,172,manual_spot_check
176,600405.SH,动力源,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,95.9068|95.91,0.94,430,295,524,229,False,1.0,0.344828,1.0,0.311111,0.06,68.587356,183,82,review_conflict_candidates
177,688556.SH,高测股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-18.4254|-6.84685,0.91,242,242,321,79,False,1.0,0.543478,0.79,0.233333,0.09,68.336957,98,257,review_conflict_candidates
178,600982.SH,宁波能源,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,61.6299|61.63,0.94,119,119,176,57,False,1.0,0.675676,0.57,0.311111,0.06,68.258559,202,102,review_conflict_candidates
179,600847.SH,万里股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-12.3866|3.88662,0.91,420,293,509,216,False,1.0,0.34965,1.0,0.233333,0.09,67.691259,50,206,review_conflict_candidates
180,000692.SZ,惠天热电,2025,Q_G_ROE,2.1,manual_signature_required,3,-179.78|-32.15,0.94,291,291,416,125,False,1.0,0.35461,1.0,0.233333,0.06,67.665248,125,173,review_conflict_candidates
181,688517.SH,金冠电气,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,39.4193|39.42,0.94,93,93,161,68,False,1.0,0.561798,0.68,0.311111,0.06,67.61161,247,146,review_conflict_candidates
182,688597.SH,煜邦电力,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,55.47|55.5215,0.94,56,56,138,82,False,1.0,0.446429,0.82,0.311111,0.06,67.527381,251,150,review_conflict_candidates
183,600027.SH,华电国际,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-10.9466|27.9078,0.91,296,296,494,198,False,1.0,0.342466,1.0,0.233333,0.09,67.511644,25,178,review_conflict_candidates
184,002706.SZ,良信股份,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,3,0.2|0.22,0.94,343,324,431,107,False,1.0,0.287356,1.0,0.333333,0.06,67.483908,142,13,review_conflict_candidates
185,600982.SH,宁波能源,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-10.7168|8.44302,0.91,119,119,176,57,False,1.0,0.675676,0.57,0.233333,0.09,67.241892,56,213,review_conflict_candidates
186,688223.SH,晶科能源,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,77.1988|77.2,0.94,364,323,453,130,False,1.0,0.289017,1.0,0.311111,0.06,67.1921,236,135,review_conflict_candidates
187,002245.SZ,蔚蓝锂芯,2025,Q_G_ROE,2.1,manual_signature_required,4,9.77|9.93,0.94,299,299,488,189,False,1.0,0.33557,1.0,0.233333,0.06,67.189262,133,174,review_conflict_candidates
188,301439.SZ,泓淋电力,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,3,0|0.2,0.94,265,265,345,80,False,1.0,0.434783,0.8,0.333333,0.06,67.169565,169,23,review_conflict_candidates
189,002606.SZ,大连电瓷,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,40.25|40.2524,0.94,274,274,359,85,False,1.0,0.403226,0.85,0.311111,0.06,67.047312,140,45,review_conflict_candidates
190,301157.SZ,华塑科技,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,2,0.15|1,0.94,337,337,481,144,False,1.0,0.26738,1.0,0.333333,0.06,66.984492,163,20,review_conflict_candidates
191,688676.SH,金盘科技,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,53.76|57.86|57.8641,0.94,9,3,97,94,False,1.0,0.326797,0.94,0.311111,0.06,66.936601,255,154,review_conflict_candidates
192,603798.SH,康普顿,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-10.8412|69.7139,0.91,417,309,510,201,False,1.0,0.314465,1.0,0.233333,0.09,66.811635,77,235,review_conflict_candidates
193,301217.SZ,铜冠铜箔,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,29.59|29.59,0.94,239,239,302,63,False,1.0,0.561798,0.63,0.311111,0.06,66.61161,164,65,review_conflict_candidates
194,600688.SH,上海石化,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,41.67|100,0.9,348,348,540,192,False,1.0,0.252525,1.0,0.311111,0.1,66.479798,13,90,review_conflict_candidates
195,002616.SZ,长青集团,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,5,62.35|73.23,0.9,349,349,469,120,False,1.0,0.251256,1.0,0.311111,0.1,66.448074,6,46,review_conflict_candidates
196,600241.SH,时代万恒,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,10.41|10.4117,0.94,432,343,536,193,False,1.0,0.259067,1.0,0.311111,0.06,66.443351,180,79,review_conflict_candidates
197,920809.BJ,安达科技,2025,Q_G_ROE,2.1,manual_signature_required,3,-16.16|-15.24,0.94,315,315,543,228,False,1.0,0.30303,1.0,0.233333,0.06,66.375758,267,272,review_conflict_candidates
198,301002.SZ,崧盛股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,30|49.51,0.9,353,353,476,123,False,1.0,0.246305,1.0,0.311111,0.1,66.324302,11,63,review_conflict_candidates
199,000937.SZ,冀中能源,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,3,0|0.1,0.94,359,359,460,101,False,1.0,0.239234,1.0,0.333333,0.06,66.280861,127,6,review_conflict_candidates
200,301386.SZ,未来电器,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,3,0|0.5,0.94,340,340,436,96,False,1.0,0.263158,0.96,0.333333,0.06,66.078947,168,22,review_conflict_candidates
201,600886.SH,国投电力,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,60.52|60.5241|80,0.94,92,92,156,64,False,1.0,0.531915,0.64,0.311111,0.06,66.064539,196,96,review_conflict_candidates
202,002706.SZ,良信股份,2025,Q_G_ROE,2.1,manual_signature_required,2,5.45|6.29,0.94,343,324,431,107,False,1.0,0.287356,1.0,0.233333,0.06,65.983908,141,175,review_conflict_candidates
203,000554.SZ,泰山石油,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,4,0.023|0.085|72.119,0.94,378,378,530,152,False,1.0,0.219298,1.0,0.333333,0.06,65.782456,123,4,review_conflict_candidates
204,920985.BJ,海泰新能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,86.89|129.996,0.94,366,366,550,184,False,1.0,0.231481,1.0,0.311111,0.06,65.753704,268,164,review_conflict_candidates
205,688772.SH,珠海冠宇,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,5,65.32|68.185|68.19,0.94,69,68,140,72,False,1.0,0.454545,0.72,0.311111,0.06,65.730303,259,158,review_conflict_candidates
206,600241.SH,时代万恒,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-8.31296|-4.39441,0.91,432,343,536,193,False,1.0,0.259067,1.0,0.233333,0.09,65.426684,33,186,review_conflict_candidates
207,600886.SH,国投电力,2025,Q_G_ROE,2.1,manual_signature_required,3,5|10|11.35,0.92,92,92,156,64,False,1.0,0.531915,0.64,0.233333,0.08,64.997872,115,210,review_conflict_candidates
208,920110.BJ,雷特科技,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,7.49|7.49427,0.94,403,403,523,120,False,1.0,0.197628,1.0,0.311111,0.06,64.907378,263,162,review_conflict_candidates
209,601991.SH,大唐发电,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-1.79651|11.9295,0.91,351,351,449,98,False,1.0,0.248756,0.98,0.233333,0.09,64.768905,67,225,review_conflict_candidates
210,688681.SH,科汇股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-2.26087|20.312,0.91,73,73,143,70,False,1.0,0.46729,0.7,0.233333,0.09,64.632243,106,265,review_conflict_candidates
211,600577.SH,精达股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-12.6601|10.5323,0.91,70,70,141,71,False,1.0,0.458716,0.71,0.233333,0.09,64.61789,40,194,review_conflict_candidates
212,688560.SH,明冠新材,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-16.7014|-0.421941,0.91,431,374,539,165,False,1.0,0.223214,1.0,0.233333,0.09,64.530357,99,258,review_conflict_candidates
213,601619.SH,嘉泽新能,2025,Q_S_RD_RATE,3.0,single_candidate_review,1,0,0.9,230,188,320,132,True,0.4,1.0,1.0,0.333333,0.1,64.5,20,35,manual_spot_check
214,688611.SH,杭州柯林,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-61.8285|161.076,0.91,74,74,143,69,False,1.0,0.46729,0.69,0.233333,0.09,64.432243,102,261,review_conflict_candidates
215,003021.SZ,兆威机电,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-12.2919|12.5237,0.91,282,282,362,80,False,1.0,0.378788,0.8,0.233333,0.09,64.419697,24,176,review_conflict_candidates
216,301040.SZ,中环海陆,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,46.1799|46.18,0.94,333,333,421,88,False,1.0,0.273224,0.88,0.311111,0.06,64.397268,162,64,review_conflict_candidates
217,03337.HK,ANTON OILFIELD,2025,Q_S_DONATION_RATE,3.0,single_candidate_review,1,0.03,0.94,139,19,395,376,True,0.4,1.0,1.0,0.333333,0.06,64.3,271,33,manual_spot_check
218,003021.SZ,兆威机电,2025,Q_G_ROE,2.1,manual_signature_required,2,7.6|7.66,0.94,282,282,362,80,False,1.0,0.378788,0.8,0.233333,0.06,64.269697,148,177,review_conflict_candidates
219,600871.SH,石化油服,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-7.03175|-0.473512,0.91,412,412,541,129,False,1.0,0.19084,1.0,0.233333,0.09,63.720992,52,208,review_conflict_candidates
220,601666.SH,平煤股份,2025,Q_S_SAFETY_INVEST_RATE,2.5,single_candidate_review,1,9.23,0.9,187,106,283,177,True,0.4,1.0,1.0,0.277778,0.1,63.666667,21,169,manual_spot_check
221,600207.SH,安彩高科,2025,Q_E_WASTEWATER_INTENSITY,2.48,single_candidate_review,1,2400.8,0.9,372,76,418,342,True,0.4,1.0,1.0,0.275556,0.1,63.633333,18,171,manual_spot_check
222,688345.SH,博力威,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,60.85|61.1769|61.18,0.94,108,108,158,50,False,1.0,0.543478,0.5,0.311111,0.06,63.553623,240,139,review_conflict_candidates
223,01250.HK,SDHS NEW ENERGY,2025,Q_S_SAFETY_INVEST_RATE,2.5,single_candidate_review,1,1.77,0.94,154,91,331,240,True,0.4,1.0,1.0,0.277778,0.06,63.466667,269,167,manual_spot_check
224,603050.SH,科林电气,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,62.03|62.0326|67.36,0.94,75,75,136,61,False,1.0,0.438596,0.61,0.311111,0.06,63.131579,214,113,review_conflict_candidates
225,300014.SZ,亿纬锂能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,64.1783|64.18,0.94,57,57,122,65,False,1.0,0.390625,0.65,0.311111,0.06,62.732292,151,51,review_conflict_candidates
226,688345.SH,博力威,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-26.4463|48.3321,0.91,108,108,158,50,False,1.0,0.543478,0.5,0.233333,0.09,62.536957,93,251,review_conflict_candidates
227,688567.SH,孚能科技,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,59.3688|59.37,0.94,108,108,155,47,False,1.0,0.526316,0.47,0.311111,0.06,62.524561,250,149,review_conflict_candidates
228,688778.SH,厦钨新能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,4,37.98|56.29|56.2919,0.94,80,80,137,57,False,1.0,0.442478,0.57,0.311111,0.06,62.428614,260,159,review_conflict_candidates
229,688567.SH,孚能科技,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-21.9484|14.6617,0.91,108,108,155,47,False,1.0,0.526316,0.47,0.233333,0.09,61.507895,100,259,review_conflict_candidates
230,688778.SH,厦钨新能,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-33.68|46.7036,0.91,80,80,137,57,False,1.0,0.442478,0.57,0.233333,0.09,61.411947,108,267,review_conflict_candidates
231,002893.SZ,京能热力,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,3,0|0.091,0.94,34,34,98,64,False,1.0,0.328947,0.64,0.333333,0.06,61.323684,146,15,review_conflict_candidates
232,603619.SH,中曼石油,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,63.0777|63.08,0.94,45,45,107,62,False,1.0,0.34965,0.62,0.311111,0.06,61.107925,222,121,review_conflict_candidates
233,002893.SZ,京能热力,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,52.908|52.91,0.94,34,34,98,64,False,1.0,0.328947,0.64,0.311111,0.06,60.990351,145,49,review_conflict_candidates
234,601918.SH,新集能源,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,63.5274|63.53,0.94,63,63,119,56,False,1.0,0.381679,0.56,0.311111,0.06,60.708651,212,111,review_conflict_candidates
235,600458.SH,时代新材,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-18.4251|7.05827,0.91,79,79,132,53,False,1.0,0.423729,0.53,0.233333,0.09,60.14322,37,191,review_conflict_candidates
236,601918.SH,新集能源,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-3.51154|0.28666,0.91,63,63,119,56,False,1.0,0.381679,0.56,0.233333,0.09,59.691985,66,224,review_conflict_candidates
237,300409.SZ,道氏技术,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,40.9294|40.93,0.94,22,22,83,61,False,1.0,0.299401,0.61,0.311111,0.06,59.651697,155,54,review_conflict_candidates
238,688392.SH,骄成超声,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,24.1566|24.16,0.94,62,62,113,51,False,1.0,0.364964,0.51,0.311111,0.06,59.290754,243,142,review_conflict_candidates
239,600025.SH,华能水电,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,61.13|61.1345,0.94,33,33,90,57,False,1.0,0.3125,0.57,0.311111,0.06,59.179167,172,70,review_conflict_candidates
240,600900.SH,长江电力,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,58.2695|58.27,0.94,6,4,66,62,False,1.0,0.271739,0.62,0.311111,0.06,59.160145,197,97,review_conflict_candidates
241,01798.HK,DATANG RENEW,2025,Q_S_SAFETY_INVEST_RATE,2.5,single_candidate_review,1,4.41,0.94,133,132,209,77,True,0.4,1.0,0.77,0.277778,0.06,58.866667,270,168,manual_spot_check
242,603105.SH,芯能科技,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,49.6696|49.67,0.94,42,42,94,52,False,1.0,0.320513,0.52,0.311111,0.06,58.379487,216,115,review_conflict_candidates
243,603659.SH,璞泰来,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,52.9254|53,0.94,44,44,95,51,False,1.0,0.322581,0.51,0.311111,0.06,58.231183,224,123,review_conflict_candidates
244,600236.SH,桂冠电力,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,54.2174|54.22,0.94,1,1,57,56,False,1.0,0.259067,0.56,0.311111,0.06,57.643351,179,78,review_conflict_candidates
245,603344.SH,星德胜,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-18.4128|4.83525,0.91,66,66,112,46,False,1.0,0.362319,0.46,0.233333,0.09,57.207971,72,230,review_conflict_candidates
246,603706.SH,东方环宇,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-7.77422|97.1675,0.91,52,52,101,49,False,1.0,0.33557,0.49,0.233333,0.09,57.139262,76,234,review_conflict_candidates
247,600681.SH,百川能源,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,2.25227|144.573,0.91,28,28,81,53,False,1.0,0.295858,0.53,0.233333,0.09,56.94645,44,199,review_conflict_candidates
248,688503.SH,聚和材料,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,41.8|58.2576,0.94,38,38,85,47,False,1.0,0.30303,0.47,0.311111,0.06,56.942424,246,145,review_conflict_candidates
249,601233.SH,桐昆股份,2025,Q_S_DIVIDEND_PER_SHARE,3.0,manual_signature_required,2,0|0.12,0.94,50,50,93,43,False,1.0,0.318471,0.43,0.333333,0.06,56.861783,207,26,review_conflict_candidates
250,600236.SH,桂冠电力,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-11.9741|8.27805,0.91,1,1,57,56,False,1.0,0.259067,0.56,0.233333,0.09,56.626684,32,185,review_conflict_candidates
251,000600.SZ,建投能源,2025,Q_S_SAFETY_INVEST_RATE,2.5,single_candidate_review,1,0.65,0.9,176,176,239,63,True,0.4,1.0,0.63,0.277778,0.1,56.266667,16,166,manual_spot_check
252,600885.SH,宏发股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,31.47|31.4741,0.94,12,12,59,47,False,1.0,0.26178,0.47,0.311111,0.06,55.911169,195,95,review_conflict_candidates
253,603897.SH,长城科技,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-3.13778|-3.07203,0.91,31,31,78,47,False,1.0,0.290698,0.47,0.233333,0.09,55.617442,78,236,review_conflict_candidates
254,601233.SH,桐昆股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-21.4975|-7.31969,0.91,50,50,93,43,False,1.0,0.318471,0.43,0.233333,0.09,55.511783,59,217,review_conflict_candidates
255,600101.SH,明星电力,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,4.03028|6.29321,0.91,49,49,92,43,False,1.0,0.316456,0.43,0.233333,0.09,55.461392,26,179,review_conflict_candidates
