impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
1,99.270833,67,232,165,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,00002.HK,CLP HOLDINGS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
2,99.270833,45,372,327,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,00003.HK,HK & CHINA GAS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
3,99.270833,51,450,399,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,00006.HK,POWER ASSETS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
4,99.270833,108,287,179,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,000096.SZ,广聚能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
5,99.270833,169,401,232,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,000543.SZ,皖能电力,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
6,99.270833,191,474,283,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,000554.SZ,泰山石油,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
7,99.270833,157,427,270,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,000682.SZ,东方电子,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
8,99.270833,134,316,182,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,000791.SZ,甘肃能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
9,99.270833,141,335,194,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,001208.SZ,华菱线缆,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
10,99.270833,125,251,126,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,001258.SZ,立新能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
11,99.270833,113,236,123,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,001299.SZ,美能能源,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
12,99.270833,133,299,166,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,00182.HK,CONCORD NE,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
13,99.270833,11,291,280,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002039.SZ,黔源电力,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
14,99.270833,25,386,361,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,002056.SZ,横店东磁,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
15,99.270833,113,366,253,True,1.0,1.0,1.0,1.0,0.927083,42,3.6,00206.HK,CM-ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
