client_rank_approx,company_code,company_name,our_rank,our_score,disclosure_rate,category
1,600900.SH,长江电力,12,45.27,66.25,stable_like
2,600995.SH,南网储能,18,43.97,65.0,stable_like
3,02688.HK,ENN ENERGY,80,34.06,61.25,stable_like
4,300274.SZ,阳光电源,28,41.88,65.0,stable_like
5,601567.SH,三星电气,63,36.05,61.25,stable_like
6,00135.HK,KUNLUN ENERGY,172,28.12,63.75,stable_like
7,002911.SZ,佛燃能源,226,25.56,35.0,client_top50_to_outside_our_top200
8,00686.HK,BJ ENERGY INTL,315,20.58,58.75,client_top50_to_outside_our_top200
9,688676.SH,金盘科技,3,52.21,71.25,stable_like
10,600339.SH,中油工程,186,27.55,37.5,stable_like
11,688408.SH,中信博,258,23.86,40.0,client_top50_to_outside_our_top200
12,600406.SH,国电南瑞,109,31.31,40.0,stable_like
13,000400.SZ,许继电气,53,37.89,62.5,stable_like
14,688248.SH,南网科技,33,40.49,65.0,stable_like
15,600968.SH,海油发展,30,41.11,60.0,stable_like
16,603031.SH,安孚科技,8,48.0,71.25,stable_like
17,603606.SH,东方电缆,67,35.69,51.25,stable_like
18,01193.HK,CHINA RES GAS,323,19.96,51.25,client_top50_to_outside_our_top200
19,301327.SZ,华宝新能,471,12.24,25.0,client_top50_to_outside_our_top200
20,601877.SH,正泰电器,10,45.82,72.5,stable_like
21,002706.SZ,良信股份,86,33.29,61.25,stable_like
22,601126.SH,四方股份,57,37.28,62.5,stable_like
23,600885.SH,宏发股份,13,44.95,68.75,stable_like
24,600956.SH,新天绿能,46,38.67,70.0,stable_like
25,00956.HK,,,,,missing_from_our_universe
26,601179.SH,中国西电,425,15.29,22.5,client_top50_to_outside_our_top200
27,603050.SH,科林电气,167,28.33,32.5,stable_like
28,01083.HK,TG SMART ENERGY,455,13.41,42.5,client_top50_to_outside_our_top200
29,600821.SH,金开新能,42,39.05,65.0,stable_like
30,600875.SH,东方电气,479,11.51,23.75,client_top50_to_outside_our_top200
31,01072.HK,,,,,missing_from_our_universe
32,01713.HK,SICHUAN EN INV,229,25.44,52.5,client_top50_to_outside_our_top200
33,605117.SH,德业股份,21,43.46,63.75,stable_like
34,601666.SH,平煤股份,56,37.38,63.75,stable_like
35,001208.SZ,华菱线缆,367,17.57,25.0,client_top50_to_outside_our_top200
36,688155.SH,先惠技术,133,30.12,42.5,stable_like
37,600803.SH,新奥股份,246,24.71,53.75,client_top50_to_outside_our_top200
38,601616.SH,广电电气,245,24.74,37.5,client_top50_to_outside_our_top200
39,600236.SH,桂冠电力,1,56.18,72.5,stable_like
40,002534.SZ,西子洁能,238,25.15,36.25,client_top50_to_outside_our_top200
41,003035.SZ,南网能源,26,42.21,51.25,stable_like
42,601727.SH,上海电气,291,22.2,53.75,client_top50_to_outside_our_top200
43,02727.HK,,,,,missing_from_our_universe
44,300316.SZ,晶盛机电,113,31.15,38.75,stable_like
45,00384.HK,CHINA GAS HOLD,387,16.5,55.0,client_top50_to_outside_our_top200
46,300693.SZ,盛弘股份,313,20.81,28.75,client_top50_to_outside_our_top200
47,002202.SZ,金风科技,345,18.54,35.0,client_top50_to_outside_our_top200
48,02208.HK,,,,,missing_from_our_universe
49,600938.SH,中国海油,525,7.94,21.25,client_top50_to_outside_our_top200
50,00883.HK,,,,,missing_from_our_universe
51,003816.SZ,中国广核,372,17.24,28.75,stable_like
52,601088.SH,中国神华,368,17.5,47.5,stable_like
53,01088.HK,,,,,missing_from_our_universe
54,00182.HK,CONCORD NE,330,19.75,53.75,stable_like
55,03899.HK,CIMC ENRIC,91,32.87,63.75,stable_like
56,688349.SH,三一重能,454,13.46,27.5,client_top200_to_our_bottom_half
57,300763.SZ,锦浪科技,268,23.25,32.5,stable_like
58,603063.SH,禾望电气,14,44.62,70.0,stable_like
59,000819.SZ,岳阳兴长,76,34.46,56.25,stable_like
60,300820.SZ,英杰电气,39,39.74,46.25,stable_like
61,600482.SH,中国动力,7,48.07,72.5,stable_like
62,600032.SH,浙江新能,60,36.93,61.25,stable_like
63,002518.SZ,科士达,81,33.93,41.25,stable_like
64,300001.SZ,特锐德,51,38.27,61.25,stable_like
65,601898.SH,中煤能源,488,10.84,18.75,client_top200_to_our_bottom_half
66,01898.HK,,,,,missing_from_our_universe
