company_code,prior_value,value,raw_disclosed,evidence
002927.SZ,640.0,6.4,0.64,Chinese single-year environmental table row: 能源消耗强度 吨标准煤/百万元营收 0.64 [auto-confirm:public-disclosure-v6] [research-only:exchange-zero-v1;not-formal]
603031.SH,1160.0,11.6,1.16,Chinese single-year environmental table row: 能源消耗强度 吨标准煤 / 百万元营收 1.16 [auto-confirm:public-disclosure-v6] [research-only:exchange-zero-v1;not-formal]
