company_code,company_name,best_rank,worst_rank,rank_span,score_span,disclosure_rate,credibility_grade,stability_priority_score,next_action
603906.SH,龙蟠科技,227,379,152,35.84,20.0,D,76.0,优先补证并复核缺失策略敏感性
605222.SH,起帆电缆,126,278,152,32.96,23.75,D,76.0,优先补证并复核缺失策略敏感性
688638.SH,誉辰智能,238,390,152,36.12,20.0,D,76.0,优先补证并复核缺失策略敏感性
000922.SZ,佳电股份,20,171,151,28.45,21.25,D,75.5,优先补证并复核缺失策略敏感性
002700.SZ,万憬能源,326,477,151,45.72,6.25,D,75.5,优先补证并复核缺失策略敏感性
002560.SZ,通达股份,345,495,150,40.04,13.75,D,75.0,优先补证并复核缺失策略敏感性
600869.SH,远东股份,190,340,150,34.72,21.25,D,75.0,优先补证并复核缺失策略敏感性
603396.SH,金辰股份,8,158,150,26.27,27.5,D,75.0,优先补证并复核缺失策略敏感性
000767.SZ,晋控电力,358,507,149,45.8,6.25,D,74.5,优先补证并复核缺失策略敏感性
002927.SZ,泰永长征,221,370,149,35.56,21.25,D,74.5,优先补证并复核缺失策略敏感性
920167.BJ,同享科技,359,508,149,45.8,6.25,D,74.5,优先补证并复核缺失策略敏感性
688339.SH,亿华通,225,373,148,35.84,20.0,D,74.0,优先补证并复核缺失策略敏感性
920556.BJ,雅达股份,373,521,148,45.8,6.25,D,74.0,优先补证并复核缺失策略敏感性
002487.SZ,大金重工,104,251,147,39.64,15.0,D,73.5,优先补证并复核缺失策略敏感性
300763.SZ,锦浪科技,116,263,147,39.96,13.75,D,73.5,优先补证并复核缺失策略敏感性
600089.SH,特变电工,67,214,147,31.82,18.75,D,73.5,优先补证并复核缺失策略敏感性
601868.SH,中国能建,272,419,147,44.44,6.25,D,73.5,优先补证并复核缺失策略敏感性
603063.SH,禾望电气,22,169,147,28.61,28.75,D,73.5,优先补证并复核缺失策略敏感性
00332.HK,YUANHENGGAS-NEW,380,526,146,45.68,5.0,D,73.0,优先补证并复核缺失策略敏感性
00346.HK,YANCHANG PETRO,339,485,146,45.8,6.25,D,73.0,优先补证并复核缺失策略敏感性
00650.HK,PRODUCTIVE TECH,278,424,146,44.6,7.5,D,73.0,优先补证并复核缺失策略敏感性
600438.SH,通威股份,218,364,146,35.32,21.25,D,73.0,优先补证并复核缺失策略敏感性
601001.SH,晋控煤业,5,151,146,24.53,27.5,D,73.0,优先补证并复核缺失策略敏感性
603031.SH,安孚科技,11,157,146,26.62,26.25,D,73.0,优先补证并复核缺失策略敏感性
300842.SZ,帝科股份,271,416,145,37.52,18.75,D,72.5,优先补证并复核缺失策略敏感性
600578.SH,京能电力,256,401,145,43.96,7.5,D,72.5,优先补证并复核缺失策略敏感性
000703.SZ,恒逸石化,354,498,144,45.44,6.25,D,72.0,优先补证并复核缺失策略敏感性
002451.SZ,摩恩电气,319,463,144,45.16,7.5,D,72.0,优先补证并复核缺失策略敏感性
300510.SZ,金冠股份,324,468,144,45.44,6.25,D,72.0,优先补证并复核缺失策略敏感性
301157.SZ,华塑科技,337,481,144,45.72,6.25,D,72.0,优先补证并复核缺失策略敏感性
600310.SH,广西能源,143,287,144,33.52,22.5,D,72.0,优先补证并复核缺失策略敏感性
603507.SH,振江股份,172,316,144,34.36,21.25,D,72.0,优先补证并复核缺失策略敏感性
300617.SZ,安靠智电,248,391,143,36.48,20.0,D,71.5,优先补证并复核缺失策略敏感性
600979.SH,广安爱众,233,376,143,36.2,20.0,D,71.5,优先补证并复核缺失策略敏感性
688663.SH,新风光,116,259,143,32.96,23.75,D,71.5,优先补证并复核缺失策略敏感性
603727.SH,博迈科,112,254,142,32.96,23.75,D,71.0,优先补证并复核缺失策略敏感性
000690.SZ,宝新能源,115,256,141,39.56,16.25,D,70.5,优先补证并复核缺失策略敏感性
002857.SZ,三晖电气,388,529,141,45.16,7.5,D,70.5,优先补证并复核缺失策略敏感性
300432.SZ,富临精工,280,421,141,44.52,7.5,D,70.5,优先补证并复核缺失策略敏感性
002452.SZ,长高电新,109,249,140,39.48,15.0,D,70.0,优先补证并复核缺失策略敏感性
002911.SZ,佛燃能源,76,216,140,38.64,16.25,D,70.0,优先补证并复核缺失策略敏感性
601985.SH,中国核电,86,226,140,32.63,23.75,D,70.0,优先补证并复核缺失策略敏感性
688032.SH,禾迈股份,167,307,140,34.25,22.5,D,70.0,优先补证并复核缺失策略敏感性
01251.HK,SPT ENERGY,260,399,139,43.84,8.75,D,69.5,优先补证并复核缺失策略敏感性
600339.SH,中油工程,162,301,139,34.08,22.5,D,69.5,优先补证并复核缺失策略敏感性
00065.HK,GRAND OCEAN AR,361,499,138,44.96,7.5,D,69.0,优先补证并复核缺失策略敏感性
002527.SZ,新时达,270,408,138,44.04,8.75,D,69.0,优先补证并复核缺失策略敏感性
688006.SH,杭可科技,108,246,138,32.96,23.75,D,69.0,优先补证并复核缺失策略敏感性
300933.SZ,中辰股份,362,499,137,40.52,12.5,D,68.5,优先补证并复核缺失策略敏感性
301179.SZ,泽宇智能,294,431,137,38.92,15.0,D,68.5,优先补证并复核缺失策略敏感性
001258.SZ,立新能源,66,201,135,32.0,26.25,D,67.5,优先补证并复核缺失策略敏感性
00182.HK,CONCORD NE,269,404,135,43.84,8.75,D,67.5,优先补证并复核缺失策略敏感性
002709.SZ,天赐材料,32,167,135,30.8,27.5,D,67.5,优先补证并复核缺失策略敏感性
00639.HK,SHOUGANG RES,382,517,135,40.48,13.75,D,67.5,优先补证并复核缺失策略敏感性
600917.SH,重庆燃气,19,154,135,28.78,27.5,D,67.5,优先补证并复核缺失策略敏感性
688551.SH,科威尔,33,168,135,30.87,26.25,D,67.5,优先补证并复核缺失策略敏感性
002255.SZ,海陆重工,363,497,134,44.52,7.5,D,67.0,优先补证并复核缺失策略敏感性
01608.HK,VPOWER GROUP,319,453,134,44.96,7.5,D,67.0,优先补证并复核缺失策略敏感性
300265.SZ,通光线缆,340,474,134,45.44,6.25,D,67.0,优先补证并复核缺失策略敏感性
300283.SZ,温州宏丰,298,432,134,44.52,7.5,D,67.0,优先补证并复核缺失策略敏感性
000155.SZ,川能动力,94,227,133,38.92,16.25,D,66.5,优先补证并复核缺失策略敏感性
001299.SZ,美能能源,54,187,133,31.64,26.25,D,66.5,优先补证并复核缺失策略敏感性
002339.SZ,积成电子,381,514,133,44.04,8.75,D,66.5,优先补证并复核缺失策略敏感性
001283.SZ,豪鹏科技,170,302,132,41.6,11.25,D,66.0,优先补证并复核缺失策略敏感性
002366.SZ,融发核电,402,534,132,44.6,7.5,D,66.0,优先补证并复核缺失策略敏感性
600617.SH,国新能源,141,273,132,33.6,23.75,D,66.0,优先补证并复核缺失策略敏感性
601619.SH,嘉泽新能,188,320,132,34.8,22.5,D,66.0,优先补证并复核缺失策略敏感性
002350.SZ,北京科锐,357,488,131,44.6,7.5,D,65.5,优先补证并复核缺失策略敏感性
300332.SZ,天壕能源,375,506,131,40.8,12.5,D,65.5,优先补证并复核缺失策略敏感性
603988.SH,中电电机,162,293,131,34.16,22.5,D,65.5,优先补证并复核缺失策略敏感性
688429.SH,时创能源,163,294,131,34.16,22.5,D,65.5,优先补证并复核缺失策略敏感性
000883.SZ,湖北能源,221,351,130,42.92,10.0,D,65.0,优先补证并复核缺失策略敏感性
603693.SH,江苏新能,136,266,130,33.6,23.75,D,65.0,优先补证并复核缺失策略敏感性
688223.SH,晶科能源,323,453,130,39.84,13.75,D,65.0,优先补证并复核缺失策略敏感性
002733.SZ,雄韬股份,365,494,129,44.04,8.75,D,64.5,优先补证并复核缺失策略敏感性
300153.SZ,科泰电源,304,433,129,39.2,15.0,D,64.5,优先补证并复核缺失策略敏感性
600871.SH,石化油服,412,541,129,44.65,6.25,D,64.5,优先补证并复核缺失策略敏感性
300118.SZ,东方日升,399,527,128,44.04,8.75,D,64.0,优先补证并复核缺失策略敏感性
300340.SZ,科恒股份,288,416,128,38.72,16.25,D,64.0,优先补证并复核缺失策略敏感性
600969.SH,郴电国际,113,241,128,33.16,23.75,D,64.0,优先补证并复核缺失策略敏感性
002364.SZ,中恒电气,213,340,127,42.64,10.0,D,63.5,优先补证并复核缺失策略敏感性
688063.SH,派能科技,135,262,127,39.76,13.75,D,63.5,优先补证并复核缺失策略敏感性
002531.SZ,天顺风能,376,502,126,43.44,10.0,D,63.0,优先补证并复核缺失策略敏感性
00295.HK,KONG SUN HOLD,303,429,126,44.4,7.5,D,63.0,优先补证并复核缺失策略敏感性
06885.HK,JINMA ENERGY,364,490,126,40.93,10.0,D,63.0,优先补证并复核缺失策略敏感性
08270.HK,CHINA CBM,421,547,126,44.96,7.5,D,63.0,优先补证并复核缺失策略敏感性
300062.SZ,中能电气,215,341,126,35.56,20.0,D,63.0,优先补证并复核缺失策略敏感性
688719.SH,爱科赛博,176,302,126,34.64,21.25,D,63.0,优先补证并复核缺失策略敏感性
688779.SH,五矿新能,146,272,126,33.8,22.5,D,63.0,优先补证并复核缺失策略敏感性
000692.SZ,惠天热电,291,416,125,44.12,8.75,D,62.5,优先补证并复核缺失策略敏感性
002218.SZ,拓日新能,403,528,125,40.12,13.75,D,62.5,优先补证并复核缺失策略敏感性
300776.SZ,帝尔激光,2,127,125,23.87,31.25,D,62.5,优先补证并复核缺失策略敏感性
002459.SZ,晶澳科技,392,516,124,43.08,8.75,D,62.0,优先补证并复核缺失策略敏感性
300376.SZ,易事特,152,276,124,34.0,22.5,D,62.0,优先补证并复核缺失策略敏感性
002479.SZ,富春环保,71,194,123,32.4,25.0,D,61.5,优先补证并复核缺失策略敏感性
002490.SZ,山东墨龙,168,291,123,34.44,22.5,D,61.5,优先补证并复核缺失策略敏感性
300141.SZ,和顺电气,415,538,123,43.92,8.75,D,61.5,优先补证并复核缺失策略敏感性
301002.SZ,崧盛股份,353,476,123,44.04,8.75,D,61.5,优先补证并复核缺失策略敏感性
002129.SZ,TCL中环,344,466,122,40.64,13.75,D,61.0,优先补证并复核缺失策略敏感性
002980.SZ,华盛昌,329,451,122,40.24,13.75,D,61.0,优先补证并复核缺失策略敏感性
600151.SH,航天机电,189,311,122,35.0,21.25,D,61.0,优先补证并复核缺失策略敏感性
002112.SZ,三变科技,397,518,121,42.84,10.0,D,60.5,优先补证并复核缺失策略敏感性
688819.SH,天能股份,10,131,121,27.13,28.75,D,60.5,优先补证并复核缺失策略敏感性
000537.SZ,绿发电力,145,265,120,39.76,13.75,D,60.0,优先补证并复核缺失策略敏感性
001331.SZ,胜通能源,335,455,120,44.52,7.5,D,60.0,优先补证并复核缺失策略敏感性
002576.SZ,通达动力,347,467,120,44.16,7.5,D,60.0,优先补证并复核缺失策略敏感性
002616.SZ,长青集团,349,469,120,44.32,7.5,D,60.0,优先补证并复核缺失策略敏感性
300051.SZ,琏升科技,383,503,120,42.64,11.25,D,60.0,优先补证并复核缺失策略敏感性
603191.SH,望变电气,64,184,120,37.8,16.25,D,60.0,优先补证并复核缺失策略敏感性
920110.BJ,雷特科技,403,523,120,43.0,10.0,D,60.0,优先补证并复核缺失策略敏感性
002623.SZ,亚玛顿,371,490,119,41.16,12.5,D,59.5,优先补证并复核缺失策略敏感性
002090.SZ,金智科技,183,300,117,41.44,12.5,D,58.5,优先补证并复核缺失策略敏感性
002851.SZ,麦格米特,267,384,117,43.4,8.75,D,58.5,优先补证并复核缺失策略敏感性
002892.SZ,科力尔,327,444,117,44.52,7.5,D,58.5,优先补证并复核缺失策略敏感性
01393.HK,HIDILI INDUSTRY,309,426,117,44.28,7.5,D,58.5,优先补证并复核缺失策略敏感性
000875.SZ,电投绿能,309,425,116,44.24,7.5,D,58.0,优先补证并复核缺失策略敏感性
00934.HK,SINOPEC KANTONS,429,545,116,41.88,11.25,D,58.0,优先补证并复核缺失策略敏感性
002358.SZ,森源电气,386,501,115,42.0,11.25,D,57.5,优先补证并复核缺失策略敏感性
01407.HK,JY GAS,81,196,115,37.72,13.75,D,57.5,优先补证并复核缺失策略敏感性
300670.SZ,大烨智能,418,533,115,42.44,11.25,D,57.5,优先补证并复核缺失策略敏感性
301210.SZ,金杨精密,397,512,115,41.24,12.5,D,57.5,优先补证并复核缺失策略敏感性
600925.SH,苏能股份,83,198,115,32.96,23.75,D,57.5,优先补证并复核缺失策略敏感性
603628.SH,清源股份,156,271,115,34.16,22.5,D,57.5,优先补证并复核缺失策略敏感性
002270.SZ,华明装备,123,237,114,38.84,15.0,D,57.0,优先补证并复核缺失策略敏感性
300619.SZ,金银河,284,398,114,38.84,15.0,D,57.0,优先补证并复核缺失策略敏感性
301587.SZ,中瑞股份,367,481,114,42.44,11.25,D,57.0,优先补证并复核缺失策略敏感性
600478.SH,科力远,132,246,114,39.0,15.0,D,57.0,优先补证并复核缺失策略敏感性
00686.HK,BJ ENERGY INTL,252,365,113,43.0,10.0,D,56.5,优先补证并复核缺失策略敏感性
300724.SZ,捷佳伟创,69,182,113,32.4,25.0,D,56.5,优先补证并复核缺失策略敏感性
003035.SZ,南网能源,63,175,112,32.2,25.0,D,56.0,优先补证并复核缺失策略敏感性
600509.SH,天富能源,128,240,112,33.6,23.75,D,56.0,优先补证并复核缺失策略敏感性
601179.SH,中国西电,199,311,112,41.64,11.25,D,56.0,优先补证并复核缺失策略敏感性
688116.SH,天奈科技,135,247,112,33.8,22.5,D,56.0,优先补证并复核缺失策略敏感性
603097.SH,江苏华辰,134,245,111,33.8,22.5,D,55.5,优先补证并复核缺失策略敏感性
688408.SH,中信博,229,339,110,36.36,20.0,D,55.0,优先补证并复核缺失策略敏感性
02386.HK,SINOPEC SEG,84,193,109,37.58,11.25,D,54.5,优先补证并复核缺失策略敏感性
002506.SZ,协鑫集成,342,450,108,40.81,13.75,D,54.0,优先补证并复核缺失策略敏感性
03868.HK,XINYI ENERGY,258,366,108,42.92,10.0,D,54.0,优先补证并复核缺失策略敏感性
002706.SZ,良信股份,324,431,107,40.21,10.0,D,53.5,优先补证并复核缺失策略敏感性
301152.SZ,天力锂能,424,531,107,41.24,12.5,D,53.5,优先补证并复核缺失策略敏感性
600868.SH,梅雁吉祥,264,371,107,37.6,17.5,D,53.5,优先补证并复核缺失策略敏感性
00975.HK,MONGOL MINING,226,332,106,42.16,11.25,D,53.0,优先补证并复核缺失策略敏感性
301327.SZ,华宝新能,334,440,106,43.52,8.75,D,53.0,优先补证并复核缺失策略敏感性
000966.SZ,长源电力,343,448,105,42.84,10.0,D,52.5,优先补证并复核缺失策略敏感性
301238.SZ,瑞泰新材,304,409,105,43.68,8.75,D,52.5,优先补证并复核缺失策略敏感性
600468.SH,百利电气,159,264,105,34.44,22.5,D,52.5,优先补证并复核缺失策略敏感性
301063.SZ,海锅股份,342,446,104,42.84,10.0,D,52.0,优先补证并复核缺失策略敏感性
600726.SH,华电能源,59,163,104,37.04,18.75,D,52.0,优先补证并复核缺失策略敏感性
300317.SZ,珈伟新能,324,427,103,43.4,8.75,D,51.5,优先补证并复核缺失策略敏感性
300870.SZ,欧陆通,192,295,103,35.24,20.0,D,51.5,优先补证并复核缺失策略敏感性
600508.SH,上海能源,43,146,103,31.74,25.0,D,51.5,优先补证并复核缺失策略敏感性
605196.SH,华通线缆,120,222,102,33.6,23.75,D,51.0,优先补证并复核缺失策略敏感性
000937.SZ,冀中能源,359,460,101,41.8,11.25,D,50.5,优先补证并复核缺失策略敏感性
300919.SZ,中伟新材,107,208,101,37.72,17.5,D,50.5,优先补证并复核缺失策略敏感性
301361.SZ,众智科技,264,365,101,42.84,10.0,D,50.5,优先补证并复核缺失策略敏感性
301456.SZ,盘古智能,313,414,101,40.04,13.75,D,50.5,优先补证并复核缺失策略敏感性
001896.SZ,豫能控股,226,326,100,36.4,20.0,D,50.0,优先补证并复核缺失策略敏感性
300593.SZ,新雷能,322,422,100,43.4,8.75,D,50.0,优先补证并复核缺失策略敏感性
300772.SZ,运达股份,362,462,100,41.72,11.25,D,50.0,优先补证并复核缺失策略敏感性
003022.SZ,联泓新科,301,400,99,43.4,8.75,D,49.5,优先补证并复核缺失策略敏感性
300427.SZ,红相股份,333,432,99,42.56,10.0,D,49.5,优先补证并复核缺失策略敏感性
301012.SZ,扬电科技,355,454,99,41.24,12.5,D,49.5,优先补证并复核缺失策略敏感性
301120.SZ,新特电气,353,452,99,41.24,12.5,D,49.5,优先补证并复核缺失策略敏感性
301325.SZ,曼恩斯特,291,389,98,39.37,11.25,D,49.0,优先补证并复核缺失策略敏感性
600956.SH,新天绿能,145,243,98,34.16,22.5,D,49.0,优先补证并复核缺失策略敏感性
601991.SH,大唐发电,351,449,98,41.86,8.75,D,49.0,优先补证并复核缺失策略敏感性
603829.SH,洛凯股份,127,225,98,33.8,22.5,D,49.0,优先补证并复核缺失策略敏感性
300018.SZ,中元股份,225,322,97,41.72,12.5,D,48.5,优先补证并复核缺失策略敏感性
688388.SH,嘉元科技,124,221,97,33.8,22.5,D,48.5,优先补证并复核缺失策略敏感性
000791.SZ,甘肃能源,237,333,96,42.07,10.0,D,48.0,优先补证并复核缺失策略敏感性
300129.SZ,泰胜风能,316,412,96,43.32,8.75,D,48.0,优先补证并复核缺失策略敏感性
301386.SZ,未来电器,340,436,96,42.59,10.0,D,48.0,优先补证并复核缺失策略敏感性
000543.SZ,皖能电力,325,420,95,42.72,8.75,D,47.5,优先补证并复核缺失策略敏感性
603728.SH,鸣志电器,102,197,95,33.6,23.75,D,47.5,优先补证并复核缺失策略敏感性
300660.SZ,江苏雷利,310,404,94,43.32,8.75,D,47.0,优先补证并复核缺失策略敏感性
688676.SH,金盘科技,3,97,94,25.19,28.75,D,47.0,优先补证并复核缺失策略敏感性
001269.SZ,欧晶科技,345,438,93,41.52,12.5,D,46.5,优先补证并复核缺失策略敏感性
002202.SZ,金风科技,284,377,93,42.92,10.0,D,46.5,优先补证并复核缺失策略敏感性
002300.SZ,太阳电缆,329,422,93,42.0,11.25,D,46.5,优先补证并复核缺失策略敏感性
300360.SZ,炬华科技,312,405,93,40.12,13.75,D,46.5,优先补证并复核缺失策略敏感性
02728.HK,JINTAI ENERGY H,249,341,92,42.16,11.25,D,46.0,优先补证并复核缺失策略敏感性
01738.HK,FS ANTHRACITE,303,393,90,42.44,10.0,D,45.0,优先补证并复核缺失策略敏感性
03303.HK,JUTAL OIL SER,214,304,90,41.07,11.25,D,45.0,优先补证并复核缺失策略敏感性
301163.SZ,宏德股份,290,380,90,40.04,13.75,D,45.0,优先补证并复核缺失策略敏感性
301516.SZ,中远通,344,434,90,41.24,12.5,D,45.0,优先补证并复核缺失策略敏感性
002493.SZ,荣盛石化,283,372,89,42.84,10.0,D,44.5,优先补证并复核缺失策略敏感性
301082.SZ,久盛电气,311,400,89,42.08,11.25,D,44.5,优先补证并复核缺失策略敏感性
002309.SZ,中利集团,306,394,88,40.12,15.0,D,44.0,优先补证并复核缺失策略敏感性
002580.SZ,圣阳股份,311,399,88,42.0,11.25,D,44.0,优先补证并复核缺失策略敏感性
300390.SZ,天华新能,290,378,88,40.6,13.75,D,44.0,优先补证并复核缺失策略敏感性
301040.SZ,中环海陆,333,421,88,40.88,12.5,D,44.0,优先补证并复核缺失策略敏感性
002121.SZ,科陆电子,330,417,87,40.72,12.5,D,43.5,优先补证并复核缺失策略敏感性
002498.SZ,汉缆股份,283,370,87,40.88,12.5,D,43.5,优先补证并复核缺失策略敏感性
002879.SZ,长缆科技,287,374,87,41.72,11.25,D,43.5,优先补证并复核缺失策略敏感性
003816.SZ,中国广核,250,337,87,42.08,11.25,D,43.5,优先补证并复核缺失策略敏感性
300185.SZ,通裕重工,333,420,87,40.88,12.5,D,43.5,优先补证并复核缺失策略敏感性
300713.SZ,英可瑞,223,310,87,36.48,20.0,D,43.5,优先补证并复核缺失策略敏感性
600973.SH,宝胜股份,171,258,87,35.0,21.25,D,43.5,优先补证并复核缺失策略敏感性
300491.SZ,通合科技,250,336,86,37.24,17.5,D,43.0,优先补证并复核缺失策略敏感性
300932.SZ,三友联众,277,363,86,38.84,15.0,D,43.0,优先补证并复核缺失策略敏感性
688005.SH,容百科技,171,257,86,35.0,21.25,D,43.0,优先补证并复核缺失策略敏感性
000593.SZ,德龙汇能,225,310,85,41.24,13.75,D,42.5,优先补证并复核缺失策略敏感性
002606.SZ,大连电瓷,274,359,85,38.84,15.0,D,42.5,优先补证并复核缺失策略敏感性
600021.SH,上海电力,96,181,85,33.56,23.75,D,42.5,优先补证并复核缺失策略敏感性
688717.SH,艾罗能源,46,131,85,36.2,20.0,D,42.5,优先补证并复核缺失策略敏感性
300648.SZ,星云股份,269,353,84,40.24,13.75,D,42.0,优先补证并复核缺失策略敏感性
301291.SZ,明阳电气,121,205,84,37.24,17.5,D,42.0,优先补证并复核缺失策略敏感性
01799.HK,XINTE ENERGY,254,337,83,37.88,17.5,D,41.5,优先补证并复核缺失策略敏感性
603333.SH,尚纬股份,248,331,83,38.36,16.25,D,41.5,优先补证并复核缺失策略敏感性
002125.SZ,湘潭电化,192,274,82,39.6,13.75,D,41.0,优先补证并复核缺失策略敏感性
002471.SZ,中超控股,236,318,82,36.96,18.75,D,41.0,优先补证并复核缺失策略敏感性
688597.SH,煜邦电力,56,138,82,36.12,20.0,D,41.0,优先补证并复核缺失策略敏感性
002074.SZ,国轩高科,205,286,81,35.76,20.0,D,40.5,优先补证并复核缺失策略敏感性
002823.SZ,凯中精密,202,283,81,40.04,15.0,D,40.5,优先补证并复核缺失策略敏感性
002953.SZ,日丰股份,275,356,81,40.24,13.75,D,40.5,优先补证并复核缺失策略敏感性
300001.SZ,特锐德,153,234,81,34.64,18.75,D,40.5,优先补证并复核缺失策略敏感性
301266.SZ,宇邦新材,185,266,81,39.04,15.0,D,40.5,优先补证并复核缺失策略敏感性
605368.SH,蓝天燃气,40,121,81,36.2,20.0,D,40.5,优先补证并复核缺失策略敏感性
000009.SZ,中国宝安,275,355,80,41.0,12.5,D,40.0,优先补证并复核缺失策略敏感性
003021.SZ,兆威机电,282,362,80,41.72,11.25,D,40.0,优先补证并复核缺失策略敏感性
301439.SZ,泓淋电力,265,345,80,40.04,13.75,D,40.0,优先补证并复核缺失策略敏感性
301511.SZ,德福科技,274,354,80,41.24,12.5,D,40.0,优先补证并复核缺失策略敏感性
002629.SZ,仁智股份,270,349,79,41.24,13.75,D,39.5,优先补证并复核缺失策略敏感性
600152.SH,维科技术,98,177,79,36.76,18.75,D,39.5,优先补证并复核缺失策略敏感性
600758.SH,辽宁能源,181,260,79,35.64,21.25,D,39.5,优先补证并复核缺失策略敏感性
688556.SH,高测股份,242,321,79,37.6,17.5,D,39.5,优先补证并复核缺失策略敏感性
002249.SZ,大洋电机,45,123,78,32.32,25.0,D,39.0,优先补证并复核缺失策略敏感性
688348.SH,昱能科技,249,327,78,39.0,15.0,D,39.0,优先补证并复核缺失策略敏感性
688616.SH,西力科技,171,249,78,35.28,21.25,D,39.0,优先补证并复核缺失策略敏感性
01798.HK,DATANG RENEW,132,209,77,34.19,17.5,D,38.5,优先补证并复核缺失策略敏感性
600379.SH,宝光股份,178,255,77,35.28,21.25,D,38.5,优先补证并复核缺失策略敏感性
600644.SH,乐山电力,162,239,77,34.92,21.25,D,38.5,优先补证并复核缺失策略敏感性
000720.SZ,新能泰山,268,344,76,41.52,12.5,D,38.0,优先补证并复核缺失策略敏感性
301121.SZ,紫建电子,148,224,76,37.8,17.5,D,38.0,优先补证并复核缺失策略敏感性
600110.SH,诺德股份,128,203,75,37.04,18.75,D,37.5,优先补证并复核缺失策略敏感性
600884.SH,杉杉股份,155,230,75,34.8,22.5,D,37.5,优先补证并复核缺失策略敏感性
00196.HK,HONGHUA GROUP,223,297,74,37.71,13.75,D,37.0,优先补证并复核缺失策略敏感性
301295.SZ,美硕科技,245,319,74,38.84,15.0,D,37.0,优先补证并复核缺失策略敏感性
600475.SH,华光环能,160,234,74,35.28,21.25,D,37.0,优先补证并复核缺失策略敏感性
601669.SH,中国电建,134,208,74,34.44,22.5,D,37.0,优先补证并复核缺失策略敏感性
688191.SH,智洋创新,127,199,72,34.64,21.25,D,36.0,优先补证并复核缺失策略敏感性
688772.SH,珠海冠宇,68,140,72,32.96,23.75,D,36.0,优先补证并复核缺失策略敏感性
600116.SH,三峡水利,118,189,71,34.64,21.25,D,35.5,优先补证并复核缺失策略敏感性
600577.SH,精达股份,70,141,71,33.24,23.75,D,35.5,优先补证并复核缺失策略敏感性
600580.SH,卧龙电驱,82,153,71,33.6,23.75,D,35.5,优先补证并复核缺失策略敏感性
603312.SH,西典新能,145,216,71,35.0,21.25,D,35.5,优先补证并复核缺失策略敏感性
002533.SZ,金杯电工,193,263,70,37.44,17.5,D,35.0,优先补证并复核缺失策略敏感性
688681.SH,科汇股份,73,143,70,33.24,23.75,D,35.0,优先补证并复核缺失策略敏感性
002812.SZ,恩捷股份,201,270,69,39.2,16.25,D,34.5,优先补证并复核缺失策略敏感性
300751.SZ,迈为股份,212,281,69,37.24,17.5,D,34.5,优先补证并复核缺失策略敏感性
600256.SH,广汇能源,99,168,69,33.8,22.5,D,34.5,优先补证并复核缺失策略敏感性
600312.SH,平高电气,122,191,69,35.0,21.25,D,34.5,优先补证并复核缺失策略敏感性
600396.SH,华电辽能,105,174,69,36.56,20.0,D,34.5,优先补证并复核缺失策略敏感性
688390.SH,固德威,196,265,69,37.32,17.5,D,34.5,优先补证并复核缺失策略敏感性
688611.SH,杭州柯林,74,143,69,35.84,20.0,D,34.5,优先补证并复核缺失策略敏感性
300514.SZ,友讯达,109,177,68,34.16,22.5,D,34.0,优先补证并复核缺失策略敏感性
688226.SH,威腾电气,150,218,68,35.84,20.0,D,34.0,优先补证并复核缺失策略敏感性
688516.SH,奥特维,97,165,68,33.8,22.5,D,34.0,优先补证并复核缺失策略敏感性
688517.SH,金冠电气,93,161,68,34.08,22.5,D,34.0,优先补证并复核缺失策略敏感性
600416.SH,湘电股份,120,187,67,35.0,21.25,D,33.5,优先补证并复核缺失策略敏感性
601865.SH,福莱特,118,184,66,35.0,21.25,D,33.0,优先补证并复核缺失策略敏感性
000533.SZ,顺钠股份,209,274,65,37.8,17.5,D,32.5,优先补证并复核缺失策略敏感性
300014.SZ,亿纬锂能,57,122,65,33.6,23.75,D,32.5,优先补证并复核缺失策略敏感性
603053.SH,成都燃气,91,156,65,34.16,22.5,D,32.5,优先补证并复核缺失策略敏感性
002893.SZ,京能热力,34,98,64,35.64,21.25,D,32.0,优先补证并复核缺失策略敏感性
600268.SH,国电南自,86,150,64,34.08,22.5,D,32.0,优先补证并复核缺失策略敏感性
600886.SH,国投电力,92,156,64,34.36,21.25,D,32.0,优先补证并复核缺失策略敏感性
000600.SZ,建投能源,176,239,63,37.91,16.25,D,31.5,优先补证并复核缺失策略敏感性
300222.SZ,科大智能,223,286,63,40.04,13.75,D,31.5,优先补证并复核缺失策略敏感性
301217.SZ,铜冠铜箔,239,302,63,40.04,13.75,D,31.5,优先补证并复核缺失策略敏感性
603185.SH,弘元绿能,130,193,63,35.48,20.0,D,31.5,优先补证并复核缺失策略敏感性
02236.HK,WISON ENGRG,32,94,62,35.63,15.0,D,31.0,优先补证并复核缺失策略敏感性
600505.SH,西昌电力,151,213,62,36.2,20.0,D,31.0,优先补证并复核缺失策略敏感性
600635.SH,大众公用,144,206,62,35.6,20.0,D,31.0,优先补证并复核缺失策略敏感性
600900.SH,长江电力,4,66,62,26.67,27.5,D,31.0,优先补证并复核缺失策略敏感性
603619.SH,中曼石油,45,107,62,32.96,23.75,D,31.0,优先补证并复核缺失策略敏感性
688330.SH,宏力达,116,178,62,35.2,21.25,D,31.0,优先补证并复核缺失策略敏感性
01600.HK,TIAN LUN GAS,102,163,61,34.49,16.25,D,30.5,优先补证并复核缺失策略敏感性
300409.SZ,道氏技术,22,83,61,31.2,26.25,D,30.5,优先补证并复核缺失策略敏感性
