company_code,company_name,best_rank,worst_rank,rank_span,score_span,disclosure_rate,credibility_grade,stability_priority_score,next_action
300769.SZ,德方纳米,185,483,298,30.8,27.5,D,149.0,优先补证并复核缺失策略敏感性
300037.SZ,新宙邦,85,380,295,44.93,7.5,D,147.5,优先补证并复核缺失策略敏感性
02178.HK,PETRO-KING,108,401,293,44.88,7.5,D,146.5,优先补证并复核缺失策略敏感性
920627.BJ,力王股份,207,500,293,47.48,3.75,D,146.5,优先补证并复核缺失策略敏感性
000968.SZ,蓝焰控股,92,381,289,44.7,7.5,D,144.5,优先补证并复核缺失策略敏感性
300953.SZ,震裕科技,89,378,289,44.75,7.5,D,144.5,优先补证并复核缺失策略敏感性
920239.BJ,长虹能源,179,467,288,46.36,5.0,D,144.0,优先补证并复核缺失策略敏感性
920062.BJ,科润智控,235,522,287,48.6,2.5,D,143.5,优先补证并复核缺失策略敏感性
01303.HK,HUILI RES,10,293,283,53.61,8.75,D,141.5,优先补证并复核缺失策略敏感性
00951.HK,CHAOWEI POWER,26,307,281,48.26,10.0,D,140.5,优先补证并复核缺失策略敏感性
603861.SH,白云电器,61,342,281,29.62,26.25,D,140.5,优先补证并复核缺失策略敏感性
00666.HK,REPT BATTERO,42,322,280,46.23,8.75,D,140.0,优先补证并复核缺失策略敏感性
002060.SZ,广东建工,164,440,276,45.72,6.25,D,138.0,优先补证并复核缺失策略敏感性
300105.SZ,龙源技术,96,372,276,30.8,27.5,D,138.0,优先补证并复核缺失策略敏感性
600732.SH,爱旭股份,27,303,276,28.08,27.5,D,138.0,优先补证并复核缺失策略敏感性
300490.SZ,华自科技,183,457,274,31.84,25.0,D,137.0,优先补证并复核缺失策略敏感性
301349.SZ,信德新材,240,513,273,32.12,25.0,D,136.5,优先补证并复核缺失策略敏感性
601808.SH,中海油服,205,478,273,46.76,3.75,D,136.5,优先补证并复核缺失策略敏感性
920914.BJ,远航精密,173,445,272,45.8,6.25,D,136.0,优先补证并复核缺失策略敏感性
605028.SH,世茂能源,124,395,271,44.56,6.25,D,135.5,优先补证并复核缺失策略敏感性
300080.SZ,易成新能,214,484,270,32.0,26.25,D,135.0,优先补证并复核缺失策略敏感性
002335.SZ,科华数据,23,292,269,48.11,10.0,D,134.5,优先补证并复核缺失策略敏感性
300423.SZ,昇辉科技,210,479,269,32.04,25.0,D,134.5,优先补证并复核缺失策略敏感性
300568.SZ,星源材质,55,324,269,29.6,28.75,D,134.5,优先补证并复核缺失策略敏感性
301023.SZ,奕帆传动,197,465,268,32.04,25.0,D,134.0,优先补证并复核缺失策略敏感性
300191.SZ,潜能恒信,36,298,262,46.85,10.0,D,131.0,优先补证并复核缺失策略敏感性
605378.SH,野马电池,238,500,262,32.96,23.75,D,131.0,优先补证并复核缺失策略敏感性
600780.SH,通宝能源,26,284,258,27.85,28.75,D,129.0,优先补证并复核缺失策略敏感性
688147.SH,微导纳米,130,388,258,44.44,6.25,D,129.0,优先补证并复核缺失策略敏感性
002169.SZ,智光电气,237,492,255,47.12,3.75,D,127.5,优先补证并复核缺失策略敏感性
300827.SZ,上能电气,105,360,255,43.96,8.75,D,127.5,优先补证并复核缺失策略敏感性
600481.SH,双良节能,217,472,255,32.62,22.5,D,127.5,优先补证并复核缺失策略敏感性
01940.HK,CGII HLDGS,96,350,254,43.76,8.75,D,127.0,优先补证并复核缺失策略敏感性
