序号,证券代码,公司简称,数值类别,披露率%,定量分,定性分,温室气体排放强度,综合能源消耗强度,氮氧化物排放强度,二氧化硫排放强度,水资源使用强度,一般固体废物排放强度,安全生产投入占比,研发费用占比,现金分红,资产负债率,可持续发展(ESG)分值
13,688517.SH,金冠电气,指标分值,,,,6.003,4.4042,,,1.4165,2.5815,,1.2369,2.6422,2.3357,
14,600995.SH,南网储能,指标数值,67.5,42.37,50.55,30,525.8,10,,,1.5874,,1.18,0.1171,54.61,44
14,600995.SH,南网储能,指标分值,,,,6.0811,3.6725,1.8611,,,2.5849,,0.6029,1.0446,2.761,
15,600905.SH,三峡能源,指标数值,75.0,39.09,60.07,95.6277,3.2,,,66,,,1.95,0.041,71.91,43.28
15,600905.SH,三峡能源,指标分值,,,,6.0332,4.4382,,,1.4203,,,0.7782,0.7164,1.6233,
16,000027.SZ,深圳能源,指标数值,77.5,38.66,60.35,6893.5898,2510,2269.58,500.2599,12840,,,0.83,0.16,61.99,43
16,000027.SZ,深圳能源,指标分值,,,,1.2499,0.9868,0.1336,1.0907,1.356,,,0.5317,1.251,2.4182,
17,605117.SH,德业股份,指标数值,65.0,40.31,53.35,43,10.2703,,,,,0.12,4.6,1.8,48.1115,42.92
17,605117.SH,德业股份,指标分值,,,,6.0716,4.4285,,,,,0.6563,1.5227,3,2.7636,
18,600346.SH,恒力石化,指标数值,73.75,39.95,54.6,2286.2,820.6,,,,170.9307,0.2756,0.81,0.29,74.53,42.88
18,600346.SH,恒力石化,指标分值,,,,4.3172,3.2166,,,,2.3411,0.7563,0.5278,1.8962,1.4008,
19,688032.SH,禾迈股份,指标数值,76.25,36.44,66.35,22.2,6.5,,,172.3,,,18.06,,31.6672,42.43
19,688032.SH,禾迈股份,指标分值,,,,6.0867,4.4337,,,1.4198,,,2.999,,1.7068,
20,600900.SH,长江电力,指标数值,66.25,39.15,53.84,6.5977,2,,,810,,,2.85,1,58.27,42.09
20,600900.SH,长江电力,指标分值,,,,6.098,4.4399,,,1.4166,,,1.0121,2.9987,2.6309,
21,300820.SZ,英杰电气,指标数值,48.75,47.58,17.51,0.293,4.5106,,,10.4395,,0.034,9.49,0.4,34.1354,41.56
21,300820.SZ,英杰电气,指标分值,,,,6.1026,4.4364,,,1.4206,,0.6041,2.6801,2.3645,1.9179,
22,000922.SZ,佳电股份,指标数值,61.25,38.51,49.8,73.2906,25.6727,,,,22.0726,0.2398,3.44,0.11,48.4327,40.77
