stock_code,company_name,exchange,industry,entity_id,st_status,listing_status,energy_eligible,source_url,as_of_date
600066.SH,宇通客车,SSE,制造业,600066.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600067.SH,冠城新材,SSE,制造业,600067.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600071.SH,凤凰光学,SSE,制造业,600071.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600072.SH,中船科技,SSE,建筑业,600072.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600073.SH,光明肉业,SSE,制造业,600073.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600075.SH,新疆天业,SSE,制造业,600075.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600076.SH,康欣新材,SSE,制造业,600076.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600078.SH,澄星股份,SSE,制造业,600078.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600079.SH,ST人福,SSE,制造业,600079.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600080.SH,ST金花,SSE,制造业,600080.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600081.SH,东风科技,SSE,制造业,600081.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600082.SH,ST海泰,SSE,批发和零售业,600082.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600084.SH,*ST尼雅,SSE,制造业,600084.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600085.SH,同仁堂,SSE,制造业,600085.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600088.SH,中视传媒,SSE,文化、体育和娱乐业,600088.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600089.SH,特变电工,SSE,制造业,600089.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600094.SH,大名城,SSE,房地产业,600094.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600095.SH,湘财股份,SSE,金融业,600095.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600096.SH,云天化,SSE,制造业,600096.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600097.SH,开创国际,SSE,农、林、牧、渔业,600097.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600098.SH,广州发展,SSE,电力、热力、燃气及水生产和供应业,600098.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600099.SH,林海股份,SSE,制造业,600099.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600100.SH,同方股份,SSE,制造业,600100.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600101.SH,明星电力,SSE,电力、热力、燃气及水生产和供应业,600101.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600103.SH,青山纸业,SSE,制造业,600103.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600104.SH,上汽集团,SSE,制造业,600104.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600105.SH,永鼎股份,SSE,制造业,600105.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
600106.SH,重庆路桥,SSE,交通运输、仓储和邮政业,600106.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
