stock_code,company_name,exchange,industry,entity_id,st_status,listing_status,energy_eligible,source_url,as_of_date
00041.HK,GREAT EAGLE H,HKEX,待分类,00041.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00042.HK,NE ELECTRIC,HKEX,待分类,00042.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00045.HK,HK&S HOTELS,HKEX,待分类,00045.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00046.HK,COMPUTER & TECH,HKEX,待分类,00046.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00048.HK,C AUTO INT DECO,HKEX,待分类,00048.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00050.HK,HK FERRY (HOLD),HKEX,待分类,00050.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00051.HK,HARBOUR CENTRE,HKEX,待分类,00051.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00052.HK,FAIRWOOD HOLD,HKEX,待分类,00052.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00053.HK,GUOCO GROUP,HKEX,待分类,00053.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00055.HK,NEWAY GROUP,HKEX,待分类,00055.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00057.HK,CHEN HSONG HOLD,HKEX,待分类,00057.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00058.HK,SUNWAY INT'L,HKEX,待分类,00058.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00059.HK,SKYFAME REALTY,HKEX,待分类,00059.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00060.HK,HK FOOD INV,HKEX,待分类,00060.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
00061.HK,GREEN LEAD-NEW,HKEX,待分类,00061.HK,,上市,,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
