stock_code,company_name,exchange,industry,entity_id,st_status,listing_status,energy_eligible,source_url,as_of_date
688059.SH,华锐精密,SSE,制造业,688059.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688060.SH,云涌科技,SSE,信息传输、软件和信息技术服务业,688060.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688061.SH,灿瑞科技,SSE,信息传输、软件和信息技术服务业,688061.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688062.SH,迈威生物,SSE,制造业,688062.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688063.SH,派能科技,SSE,制造业,688063.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688065.SH,凯赛生物,SSE,制造业,688065.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688066.SH,*ST航图,SSE,信息传输、软件和信息技术服务业,688066.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688067.SH,爱威科技,SSE,制造业,688067.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688068.SH,热景生物,SSE,制造业,688068.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688069.SH,德林海,SSE,水利、环境和公共设施管理业,688069.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688070.SH,纵横股份,SSE,制造业,688070.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688071.SH,华依科技,SSE,制造业,688071.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688072.SH,拓荆科技,SSE,制造业,688072.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688073.SH,毕得医药,SSE,科学研究和技术服务业,688073.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688075.SH,安旭生物,SSE,制造业,688075.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688076.SH,ST诺泰,SSE,制造业,688076.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688077.SH,大地熊,SSE,制造业,688077.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688078.SH,龙软科技,SSE,信息传输、软件和信息技术服务业,688078.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688079.SH,美迪凯,SSE,制造业,688079.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688080.SH,映翰通,SSE,制造业,688080.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688081.SH,兴图新科,SSE,制造业,688081.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688082.SH,盛美上海,SSE,制造业,688082.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688083.SH,中望软件,SSE,信息传输、软件和信息技术服务业,688083.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688084.SH,晶品特装,SSE,制造业,688084.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688085.SH,三友医疗,SSE,制造业,688085.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688087.SH,英科再生,SSE,制造业,688087.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688088.SH,虹软科技,SSE,信息传输、软件和信息技术服务业,688088.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688089.SH,嘉必优,SSE,制造业,688089.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688090.SH,瑞松科技,SSE,制造业,688090.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688091.SH,上海谊众,SSE,制造业,688091.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688092.SH,爱科科技,SSE,制造业,688092.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688093.SH,世华科技,SSE,制造业,688093.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688095.SH,福昕软件,SSE,信息传输、软件和信息技术服务业,688095.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688096.SH,京源环保,SSE,制造业,688096.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688097.SH,博众精工,SSE,制造业,688097.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688098.SH,申联生物,SSE,制造业,688098.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688099.SH,晶晨股份,SSE,信息传输、软件和信息技术服务业,688099.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688100.SH,威胜信息,SSE,制造业,688100.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688101.SH,三达膜,SSE,制造业,688101.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688102.SH,斯瑞新材,SSE,制造业,688102.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688103.SH,国力电子,SSE,制造业,688103.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688105.SH,诺唯赞,SSE,科学研究和技术服务业,688105.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688106.SH,金宏气体,SSE,制造业,688106.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688107.SH,安路科技,SSE,制造业,688107.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688108.SH,赛诺医疗,SSE,制造业,688108.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688109.SH,品茗科技,SSE,信息传输、软件和信息技术服务业,688109.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688110.SH,东芯股份,SSE,制造业,688110.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688111.SH,金山办公,SSE,信息传输、软件和信息技术服务业,688111.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688112.SH,鼎阳科技,SSE,制造业,688112.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688113.SH,联测科技,SSE,制造业,688113.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688114.SH,华大智造,SSE,制造业,688114.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688115.SH,思林杰,SSE,制造业,688115.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
688116.SH,天奈科技,SSE,制造业,688116.SH,,上市,,https://www.sse.com.cn/assortment/stock/home/,2026-07-28
