stock_code,company_name,exchange,industry,entity_id,st_status,listing_status,energy_eligible,source_url,as_of_date
000090.SZ,天健集团,SZSE,E 建筑业,000090.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000096.SZ,广聚能源,SZSE,F 批发和零售业,000096.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000099.SZ,中信海直,SZSE,G 交通运输、仓储和邮政业,000099.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000100.SZ,TCL科技,SZSE,C 制造业,000100.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000151.SZ,中成股份,SZSE,F 批发和零售业,000151.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000153.SZ,丰原药业,SZSE,C 制造业,000153.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000155.SZ,川能动力,SZSE,D 电力、热力、燃气及水生产和供应业,000155.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000156.SZ,华数传媒,SZSE,I 信息传输、软件和信息技术服务业,000156.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000157.SZ,中联重科,SZSE,C 制造业,000157.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000158.SZ,常山北明,SZSE,I 信息传输、软件和信息技术服务业,000158.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000159.SZ,国际实业,SZSE,F 批发和零售业,000159.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000166.SZ,申万宏源,SZSE,J 金融业,000166.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000301.SZ,东方盛虹,SZSE,C 制造业,000301.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000333.SZ,美的集团,SZSE,C 制造业,000333.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000338.SZ,潍柴动力,SZSE,C 制造业,000338.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000400.SZ,许继电气,SZSE,C 制造业,000400.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000401.SZ,金隅冀东,SZSE,C 制造业,000401.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000402.SZ,金 融 街,SZSE,K 房地产业,000402.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000403.SZ,派林生物,SZSE,C 制造业,000403.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000404.SZ,长虹华意,SZSE,C 制造业,000404.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000407.SZ,胜利股份,SZSE,D 电力、热力、燃气及水生产和供应业,000407.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000408.SZ,藏格矿业,SZSE,C 制造业,000408.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000409.SZ,云鼎科技,SZSE,I 信息传输、软件和信息技术服务业,000409.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000410.SZ,沈阳机床,SZSE,C 制造业,000410.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000411.SZ,英特集团,SZSE,F 批发和零售业,000411.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000415.SZ,渤海租赁,SZSE,L 租赁和商务服务业,000415.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000417.SZ,合百集团,SZSE,F 批发和零售业,000417.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000419.SZ,通程控股,SZSE,F 批发和零售业,000419.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000420.SZ,吉林化纤,SZSE,C 制造业,000420.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000421.SZ,南京公用,SZSE,D 电力、热力、燃气及水生产和供应业,000421.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000422.SZ,湖北宜化,SZSE,C 制造业,000422.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000423.SZ,东阿阿胶,SZSE,C 制造业,000423.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000425.SZ,徐工机械,SZSE,C 制造业,000425.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000426.SZ,兴业银锡,SZSE,B 采矿业,000426.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000428.SZ,华天酒店,SZSE,H 住宿和餐饮业,000428.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000429.SZ,粤高速Ａ,SZSE,G 交通运输、仓储和邮政业,000429.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000430.SZ,张家界,SZSE,N 水利、环境和公共设施管理业,000430.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000468.SZ,宁通信B,SZSE,C 制造业,000468.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000488.SZ,ST晨鸣,SZSE,C 制造业,000488.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000498.SZ,山东路桥,SZSE,E 建筑业,000498.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000501.SZ,武商集团,SZSE,F 批发和零售业,000501.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000503.SZ,国新健康,SZSE,I 信息传输、软件和信息技术服务业,000503.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000504.SZ,南华生物,SZSE,M 科学研究和技术服务业,000504.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000505.SZ,京粮控股,SZSE,C 制造业,000505.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000506.SZ,招金黄金,SZSE,B 采矿业,000506.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000507.SZ,珠海港,SZSE,G 交通运输、仓储和邮政业,000507.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000509.SZ,华塑控股,SZSE,C 制造业,000509.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000510.SZ,新金路,SZSE,C 制造业,000510.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000512.SZ,闽灿坤Ｂ,SZSE,C 制造业,000512.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000513.SZ,丽珠集团,SZSE,C 制造业,000513.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000514.SZ,渝 开 发,SZSE,K 房地产业,000514.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000516.SZ,国际医学,SZSE,Q 卫生和社会工作,000516.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000517.SZ,荣安地产,SZSE,K 房地产业,000517.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000518.SZ,四环生物,SZSE,C 制造业,000518.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000519.SZ,中兵红箭,SZSE,C 制造业,000519.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000520.SZ,凤凰航运,SZSE,G 交通运输、仓储和邮政业,000520.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000521.SZ,长虹美菱,SZSE,C 制造业,000521.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000523.SZ,红棉股份,SZSE,C 制造业,000523.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000524.SZ,岭南控股,SZSE,L 租赁和商务服务业,000524.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000525.SZ,红太阳,SZSE,C 制造业,000525.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000526.SZ,学大教育,SZSE,P 教育,000526.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000528.SZ,柳    工,SZSE,C 制造业,000528.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000529.SZ,广弘控股,SZSE,C 制造业,000529.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000530.SZ,冰山冷热,SZSE,C 制造业,000530.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000531.SZ,穗恒运Ａ,SZSE,D 电力、热力、燃气及水生产和供应业,000531.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000532.SZ,华金资本,SZSE,S 综合,000532.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000533.SZ,顺钠股份,SZSE,C 制造业,000533.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000534.SZ,万泽股份,SZSE,C 制造业,000534.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000536.SZ,华映科技,SZSE,C 制造业,000536.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000537.SZ,绿发电力,SZSE,D 电力、热力、燃气及水生产和供应业,000537.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000538.SZ,云南白药,SZSE,C 制造业,000538.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000539.SZ,粤电力Ａ,SZSE,D 电力、热力、燃气及水生产和供应业,000539.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000541.SZ,佛山照明,SZSE,C 制造业,000541.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000543.SZ,皖能电力,SZSE,D 电力、热力、燃气及水生产和供应业,000543.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000544.SZ,中原环保,SZSE,D 电力、热力、燃气及水生产和供应业,000544.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000545.SZ,金浦钛业,SZSE,C 制造业,000545.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000546.SZ,金圆股份,SZSE,C 制造业,000546.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000547.SZ,航天发展,SZSE,C 制造业,000547.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000548.SZ,湖南投资,SZSE,G 交通运输、仓储和邮政业,000548.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000550.SZ,江铃汽车,SZSE,C 制造业,000550.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000551.SZ,创元科技,SZSE,C 制造业,000551.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000552.SZ,甘肃能化,SZSE,B 采矿业,000552.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
