stock_code,company_name,exchange,sub_industry,included,exclusion_reason,entity_id,source_url,as_of_date
01250.HK,山高新能源集团有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01250.HK,,
600028.SH,中国石化,SSE,历史能源样本待复核,true,,600028.SH,,
300882.SZ,万胜智能,SZSE,历史能源样本待复核,true,,300882.SZ,,
600098.SH,广州发展,SSE,历史能源样本待复核,true,,600098.SH,,
601985.SH,中国核电,SSE,历史能源样本待复核,true,,601985.SH,,
000883.SZ,湖北能源,SZSE,历史能源样本待复核,true,,000883.SZ,,
600871.SH,石化油服,SSE,历史能源样本待复核,true,,600871.SH,,
300105.SZ,龙源技术,SZSE,历史能源样本待复核,true,,300105.SZ,,
688032.SH,禾迈股份,SSE,历史能源样本待复核,true,,688032.SH,,
600635.SH,大众公用,SSE,历史能源样本待复核,true,,600635.SH,,
600032.SH,浙江新能,SSE,历史能源样本待复核,true,,600032.SH,,
00206.HK,华商能源科技股份有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00206.HK,,
00467.HK,联合能源集团有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00467.HK,,
603659.SH,璞泰来,SSE,历史能源样本待复核,true,,603659.SH,,
002493.SZ,荣盛石化,SZSE,历史能源样本待复核,true,,002493.SZ,,
600236.SH,桂冠电力,SSE,历史能源样本待复核,true,,600236.SH,,
300316.SZ,晶盛机电,SZSE,历史能源样本待复核,true,,300316.SZ,,
600475.SH,华光环能,SSE,历史能源样本待复核,true,,600475.SH,,
600886.SH,国投电力,SSE,历史能源样本待复核,true,,600886.SH,,
000922.SZ,佳电股份,SZSE,历史能源样本待复核,true,,000922.SZ,,
02380.HK,中国电力国际发展有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,02380.HK,,
600905.SH,三峡能源,SSE,历史能源样本待复核,true,,600905.SH,,
002479.SZ,富春环保,SZSE,历史能源样本待复核,true,,002479.SZ,,
01921.HK,达力普控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01921.HK,,
002267.SZ,陕天然气,SZSE,历史能源样本待复核,true,,002267.SZ,,
600151.SH,航天机电,SSE,历史能源样本待复核,true,,600151.SH,,
601179.SH,中国西电,SSE,历史能源样本待复核,true,,601179.SH,,
600021.SH,上海电力,SSE,历史能源样本待复核,true,,600021.SH,,
00934.HK,中石化冠德控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00934.HK,,
00554.HK,汉思能源有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00554.HK,,
01193.HK,华润燃气控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01193.HK,,
688223.SH,晶科能源,SSE,历史能源样本待复核,true,,688223.SH,,
688472.SH,阿特斯,SSE,历史能源样本待复核,true,,688472.SH,,
603185.SH,弘元绿能,SSE,历史能源样本待复核,true,,603185.SH,,
603806.SH,福斯特,SSE,历史能源样本待复核,true,,603806.SH,,
002709.SZ,天赐材料,SZSE,历史能源样本待复核,true,,002709.SZ,,
600379.SH,宝光股份,SSE,历史能源样本待复核,true,,600379.SH,,
600995.SH,南网储能,SSE,历史能源样本待复核,true,,600995.SH,,
