company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,recommended_value,review_reason
01921.HK,DALIPAL HLDG,2025,Q_G_REVENUE_GROWTH,1,5.17036,237,5.17036,single_or_consistent
01938.HK,CHU KONG PIPE,2025,Q_G_REVENUE_GROWTH,1,-19.9966,136,-19.9966,single_or_consistent
02012.HK,SUNSHINE OIL,2025,Q_G_DEBT_ASSET_RATE,1,96.1771,57,96.1771,single_or_consistent
02178.HK,PETRO-KING,2025,Q_G_REVENUE_GROWTH,1,-8.39067,90,-8.39067,single_or_consistent
02236.HK,WISON ENGRG,2025,Q_G_REVENUE_GROWTH,1,34.6591,89,34.6591,single_or_consistent
02380.HK,CHINA POWER,2025,Q_G_DEBT_ASSET_RATE,1,67.8873,161,67.8873,single_or_consistent
02380.HK,CHINA POWER,2025,Q_G_REVENUE_GROWTH,1,-9.56109,158,-9.56109,single_or_consistent
02386.HK,SINOPEC SEG,2025,Q_G_DEBT_ASSET_RATE,1,65.1226,111,65.1226,single_or_consistent
02386.HK,SINOPEC SEG,2025,Q_G_REVENUE_GROWTH,1,9.1527,108,9.1527,single_or_consistent
02688.HK,ENN ENERGY,2025,Q_G_REVENUE_GROWTH,1,1.86795,92,1.86795,single_or_consistent
02728.HK,JINTAI ENERGY H,2025,Q_G_DEBT_ASSET_RATE,1,85.3668,42,85.3668,single_or_consistent
02728.HK,JINTAI ENERGY H,2025,Q_G_REVENUE_GROWTH,1,8.92939,39,8.92939,single_or_consistent
02798.HK,PER ENERGY,2025,Q_G_REVENUE_GROWTH,1,-29.3071,159,-29.3071,single_or_consistent
03303.HK,JUTAL OIL SER,2025,Q_G_REVENUE_GROWTH,1,-61.5237,50,-61.5237,single_or_consistent
03337.HK,ANTON OILFIELD,2025,Q_G_DEBT_ASSET_RATE,1,67.4985,80,67.4985,single_or_consistent
03395.HK,JX ENERGY,2025,Q_G_DEBT_ASSET_RATE,1,313.973,112,313.973,single_or_consistent
03668.HK,YANCOAL AUS,2025,Q_G_DEBT_ASSET_RATE,1,25.9893,52,25.9893,single_or_consistent
03800.HK,GCL TECH,2025,Q_G_REVENUE_GROWTH,1,-4.4552,102,-4.4552,single_or_consistent
03868.HK,XINYI ENERGY,2025,Q_G_DEBT_ASSET_RATE,1,40.9432,57,40.9432,single_or_consistent
03868.HK,XINYI ENERGY,2025,Q_G_REVENUE_GROWTH,1,0.526994,54,0.526994,single_or_consistent
03899.HK,CIMC ENRIC,2025,Q_G_DEBT_ASSET_RATE,1,57.1603,128,57.1603,single_or_consistent
03899.HK,CIMC ENRIC,2025,Q_G_REVENUE_GROWTH,1,6.34279,125,6.34279,single_or_consistent
06828.HK,BG BLUE SKY,2025,Q_G_REVENUE_GROWTH,1,13.6254,65,13.6254,single_or_consistent
06885.HK,JINMA ENERGY,2025,Q_G_REVENUE_GROWTH,1,-29.9618,12,-29.9618,single_or_consistent
08132.HK,CENTURY EN INTL,2025,Q_G_REVENUE_GROWTH,1,12.3677,59,12.3677,single_or_consistent
08270.HK,CHINA CBM,2025,Q_G_REVENUE_GROWTH,1,123.052,67,123.052,single_or_consistent
08347.HK,F8 ENT,2026,Q_G_REVENUE_GROWTH,1,-15.5462,109,-15.5462,single_or_consistent
08631.HK,YUFENGCHANG HLD,2024,Q_G_REVENUE_GROWTH,1,-19.6054,145,-19.6054,single_or_consistent
09689.HK,JTF INTL,2025,Q_G_DEBT_ASSET_RATE,1,47.4048,92,47.4048,single_or_consistent
