batch_task_rank,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,missing_esg_document,esg_status,company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
31,158,81.666667,127,285,158,True,1.0,1.0,0.666667,False,embedded_in_annual,001299.SZ,美能能源,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
32,159,81.666667,12,302,290,True,1.0,1.0,0.666667,False,embedded_in_annual,002039.SZ,黔源电力,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
33,161,81.666667,113,423,310,True,1.0,1.0,0.666667,False,embedded_in_annual,002128.SZ,电投能源,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
34,162,81.666667,135,310,175,True,1.0,1.0,0.666667,False,embedded_in_annual,002267.SZ,陕天然气,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
35,163,81.666667,118,325,207,True,1.0,1.0,0.666667,False,embedded_in_annual,002276.SZ,万马股份,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
36,164,81.666667,43,305,262,True,1.0,1.0,0.666667,False,embedded_in_annual,002335.SZ,科华数据,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
37,165,81.666667,106,418,312,True,1.0,1.0,0.666667,False,embedded_in_annual,002346.SZ,柘中股份,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
38,166,81.666667,168,273,105,True,1.0,1.0,0.666667,False,embedded_in_annual,002452.SZ,长高电气,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
39,167,81.666667,125,260,135,True,1.0,1.0,0.666667,False,embedded_in_annual,002479.SZ,富春环保,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
40,171,81.666667,124,410,286,True,1.0,1.0,0.666667,False,embedded_in_annual,002692.SZ,远程股份,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
41,174,81.666667,7,391,384,True,1.0,1.0,0.666667,False,embedded_in_annual,002850.SZ,科达利,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
42,177,81.666667,5,541,536,True,1.0,1.0,0.666667,False,embedded_in_annual,00353.HK,ENERGY INTINV,2025,X_G_DISCLOSURE,信息披露,5.0,1,evidence_missing,locate_additional_public_evidence
43,179,81.666667,74,490,416,True,1.0,1.0,0.666667,False,collected,00554.HK,HANS GP HLDGS,2025,X_G_DISCLOSURE,信息披露,5.0,1,evidence_missing,locate_additional_public_evidence
44,180,81.666667,74,490,416,True,1.0,1.0,0.666667,False,collected,00554.HK,HANS GP HLDGS,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
45,189,81.666667,131,510,379,True,1.0,1.0,0.666667,False,embedded_in_annual,01621.HK,VICO INTL HLDGS,2025,X_G_DISCLOSURE,信息披露,5.0,1,evidence_missing,locate_additional_public_evidence
46,190,81.666667,131,510,379,True,1.0,1.0,0.666667,False,embedded_in_annual,01621.HK,VICO INTL HLDGS,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
47,193,81.666667,124,379,255,True,1.0,1.0,0.666667,False,embedded_in_annual,02178.HK,PETRO-KING,2025,X_G_DISCLOSURE,信息披露,5.0,1,evidence_missing,locate_additional_public_evidence
48,194,81.666667,124,379,255,True,1.0,1.0,0.666667,False,embedded_in_annual,02178.HK,PETRO-KING,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
49,195,81.666667,37,512,475,True,1.0,1.0,0.666667,False,embedded_in_annual,03395.HK,JX ENERGY,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
50,197,81.666667,160,446,286,True,1.0,1.0,0.666667,False,embedded_in_annual,08347.HK,F8 ENT,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
51,198,81.666667,129,404,275,True,1.0,1.0,0.666667,False,embedded_in_annual,300037.SZ,新宙邦,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
52,199,81.666667,169,335,166,True,1.0,1.0,0.666667,False,embedded_in_annual,300040.SZ,九洲集团,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
53,201,81.666667,166,424,258,True,1.0,1.0,0.666667,False,embedded_in_annual,300105.SZ,龙源技术,2025,X_G_INTEGRITY,诚信合规,5.0,1,evidence_missing,locate_additional_public_evidence
54,312,78.333333,5,541,536,True,1.0,1.0,0.533333,False,embedded_in_annual,00353.HK,ENERGY INTINV,2025,X_G_TAX,纳税情况,4.0,1,evidence_missing,locate_additional_public_evidence
55,334,78.333333,131,510,379,True,1.0,1.0,0.533333,False,embedded_in_annual,01621.HK,VICO INTL HLDGS,2025,X_G_TAX,纳税情况,4.0,1,evidence_missing,locate_additional_public_evidence
56,343,78.333333,124,379,255,True,1.0,1.0,0.533333,False,embedded_in_annual,02178.HK,PETRO-KING,2025,X_G_TAX,纳税情况,4.0,1,evidence_missing,locate_additional_public_evidence
57,346,78.333333,37,512,475,True,1.0,1.0,0.533333,False,embedded_in_annual,03395.HK,JX ENERGY,2025,X_G_TAX,纳税情况,4.0,1,evidence_missing,locate_additional_public_evidence
58,351,78.333333,160,446,286,True,1.0,1.0,0.533333,False,embedded_in_annual,08347.HK,F8 ENT,2025,X_G_TAX,纳税情况,4.0,1,evidence_missing,locate_additional_public_evidence
59,360,77.5,151,337,186,True,1.0,1.0,0.5,False,embedded_in_annual,000037.SZ,深南电A,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
60,361,77.5,151,337,186,True,1.0,1.0,0.5,False,embedded_in_annual,000037.SZ,深南电A,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
61,362,77.5,139,353,214,True,1.0,1.0,0.5,False,embedded_in_annual,000096.SZ,广聚能源,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
62,363,77.5,139,353,214,True,1.0,1.0,0.5,False,embedded_in_annual,000096.SZ,广聚能源,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
63,367,77.5,164,270,106,True,1.0,1.0,0.5,False,collected,000690.SZ,宝新能源,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
64,368,77.5,164,270,106,True,1.0,1.0,0.5,False,collected,000690.SZ,宝新能源,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
65,369,77.5,167,448,281,True,1.0,1.0,0.5,False,embedded_in_annual,000968.SZ,蓝焰控股,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
66,370,77.5,167,448,281,True,1.0,1.0,0.5,False,embedded_in_annual,000968.SZ,蓝焰控股,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
67,371,77.5,119,268,149,True,1.0,1.0,0.5,False,embedded_in_annual,001258.SZ,立新能源,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
68,372,77.5,119,268,149,True,1.0,1.0,0.5,False,embedded_in_annual,001258.SZ,立新能源,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
69,373,77.5,127,285,158,True,1.0,1.0,0.5,False,embedded_in_annual,001299.SZ,美能能源,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
70,374,77.5,127,285,158,True,1.0,1.0,0.5,False,embedded_in_annual,001299.SZ,美能能源,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
71,375,77.5,12,302,290,True,1.0,1.0,0.5,False,embedded_in_annual,002039.SZ,黔源电力,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
72,376,77.5,12,302,290,True,1.0,1.0,0.5,False,embedded_in_annual,002039.SZ,黔源电力,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
73,380,77.5,113,423,310,True,1.0,1.0,0.5,False,embedded_in_annual,002128.SZ,电投能源,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
74,381,77.5,113,423,310,True,1.0,1.0,0.5,False,embedded_in_annual,002128.SZ,电投能源,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
75,382,77.5,135,310,175,True,1.0,1.0,0.5,False,embedded_in_annual,002267.SZ,陕天然气,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
76,383,77.5,135,310,175,True,1.0,1.0,0.5,False,embedded_in_annual,002267.SZ,陕天然气,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
77,384,77.5,118,325,207,True,1.0,1.0,0.5,False,embedded_in_annual,002276.SZ,万马股份,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
78,385,77.5,118,325,207,True,1.0,1.0,0.5,False,embedded_in_annual,002276.SZ,万马股份,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
79,386,77.5,43,305,262,True,1.0,1.0,0.5,False,embedded_in_annual,002335.SZ,科华数据,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
80,387,77.5,43,305,262,True,1.0,1.0,0.5,False,embedded_in_annual,002335.SZ,科华数据,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
81,388,77.5,106,418,312,True,1.0,1.0,0.5,False,embedded_in_annual,002346.SZ,柘中股份,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
82,389,77.5,106,418,312,True,1.0,1.0,0.5,False,embedded_in_annual,002346.SZ,柘中股份,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
83,390,77.5,168,273,105,True,1.0,1.0,0.5,False,embedded_in_annual,002452.SZ,长高电气,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
84,391,77.5,168,273,105,True,1.0,1.0,0.5,False,embedded_in_annual,002452.SZ,长高电气,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
