company_code,company_name,company_impact_score,gap_count,high_impact_gap_count,top_indicator_codes
002056.SZ,横店东磁,143.369445,32,9,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_G_DEBT_ASSET_RATE|Q_E_GHG_REDUCTION_RATE
00206.HK,CM-ENERGY,143.369445,35,10,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE
002074.SZ,国轩高科,143.369445,21,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
002128.SZ,电投能源,143.369445,31,9,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_G_DEBT_ASSET_RATE|Q_E_GHG_REDUCTION_RATE
002249.SZ,大洋电机,143.369445,17,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
002267.SZ,陕天然气,143.369445,26,8,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY
002276.SZ,万马股份,143.369445,16,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
00228.HK,CHINA ENERGY,143.369445,31,10,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_S_DIVIDEND_PER_SHARE|Q_G_DEBT_ASSET_RATE
002335.SZ,科华数据,143.369445,29,8,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY
002346.SZ,柘中股份,143.369445,31,9,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_S_RD_RATE|Q_G_DEBT_ASSET_RATE|Q_E_GHG_REDUCTION_RATE
002452.SZ,长高电气,143.369445,25,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
002479.SZ,富春环保,143.369445,17,7,Q_E_GHG_INTENSITY|Q_E_ENERGY_INTENSITY|Q_E_SOLID_WASTE_INTENSITY|Q_E_SO2_INTENSITY|Q_E_NOX_INTENSITY|Q_E_WATER_INTENSITY|Q_S_SAFETY_INVEST_RATE|Q_E_GHG_REDUCTION_RATE|Q_E_HAZ_WASTE_INTENSITY|Q_E_CLEAN_ENERGY_INTENSITY
