company_code,company_name,report_year,indicator_code,value,status,source_url,source_file,source_page,evidence_text,confidence
00196.HK,HONGHUA GROUP,2025,Q_G_OPERATING_PROFIT_GROWTH,16.3215,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703116.pdf,data/raw/hkex_reports/00196.HK/2025/annual_report.pdf,75,"English consolidated income statement derived: Operating profit 172,364 148,179",0.93
00196.HK,HONGHUA GROUP,2025,Q_S_RD_RATE,2.9776,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703116.pdf,data/raw/hkex_reports/00196.HK/2025/annual_report.pdf,75,"English consolidated income statement derived: Research and development expenses 6 (163,572) (150,457) | Revenue 4 5,493,330 5,633,410",0.93
00196.HK,HONGHUA GROUP,2025,Q_S_RD_RATE,5.2,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703134.pdf,data/raw/hkex_reports/00196.HK/2025/esg_report.pdf,21,"nting a year-on-year increase of 11.67%. The R&D intensity reached 5.2%, up by 0.69 percentage points year-on-year, ",0.93
00196.HK,HONGHUA GROUP,2025,Q_E_SOLID_WASTE_INTENSITY,30,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703134.pdf,data/raw/hkex_reports/00196.HK/2025/esg_report.pdf,35,English revenue intensity: Non-hazardous waste intensity Tonnes/CNY 10k revenue 0.03,0.91
00196.HK,HONGHUA GROUP,2025,Q_E_WATER_INTENSITY,630,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703134.pdf,data/raw/hkex_reports/00196.HK/2025/esg_report.pdf,40,English revenue intensity: Water consumption intensity Tonnes/CNY 10k revenue 0.63,0.9
00196.HK,HONGHUA GROUP,2025,Q_E_SOLID_WASTE_INTENSITY,30,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703134.pdf,data/raw/hkex_reports/00196.HK/2025/esg_report.pdf,74,English revenue intensity: Non-hazardous waste intensity Tonnes/CNY 10k revenue 0.03,0.91
00196.HK,HONGHUA GROUP,2025,Q_E_WATER_INTENSITY,630,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703134.pdf,data/raw/hkex_reports/00196.HK/2025/esg_report.pdf,75,English revenue intensity: Water consumption intensity tonnes/CNY 10k revenue 0.63,0.9
00206.HK,CM-ENERGY,2025,Q_G_CAPITAL_ACCUMULATION,2.2929,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043001000.pdf,data/raw/hkex_reports/00206.HK/2025/annual_report.pdf,210,"English consolidated statement derived: TOTAL EQUITY 權益總額 183,357 179,247",0.94
00228.HK,CHINA ENERGY,2025,Q_G_CURRENT_ASSET_TURNOVER,0.7512,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902276.pdf,data/raw/hkex_reports/00228.HK/2025/annual_report.pdf,77,"English consolidated statements derived: Revenue 收益 6 234,258 300,101 | Total current assets 流動資產總值 442,853 180,875",0.94
00228.HK,CHINA ENERGY,2025,Q_G_CAPITAL_ACCUMULATION,19.3007,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902276.pdf,data/raw/hkex_reports/00228.HK/2025/annual_report.pdf,78,"English consolidated statement derived: Total equity 總權益 2,135,939 1,790,383",0.94
00228.HK,CHINA ENERGY,2025,Q_G_REVENUE_GROWTH,-21.9403,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902276.pdf,data/raw/hkex_reports/00228.HK/2025/annual_report.pdf,75,"English consolidated income statement derived: Revenue 收益 6 234,258 300,101",0.93
00276.HK,MONGOLIA ENERGY,2026,Q_G_REVENUE_GROWTH,-29.4937,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0723/2026072300316.pdf,data/raw/hkex_reports/00276.HK/2026/annual_report.pdf,62,"English consolidated income statement derived: Revenue 6 2,017,320 2,861,190",0.93
00295.HK,KONG SUN HOLD,2025,Q_G_DEBT_ASSET_RATE,53.7893,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803631.pdf,data/raw/hkex_reports/00295.HK/2025/annual_report.pdf,7,"English consolidated statement derived: Total liabilities 2,315,742 2,430,617 | Total assets 4,305,212 4,768,206",0.94
00295.HK,KONG SUN HOLD,2025,Q_G_ASSET_TURNOVER,0.0708,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803631.pdf,data/raw/hkex_reports/00295.HK/2025/annual_report.pdf,122,"English consolidated statements derived: Revenue 5 321,412 392,963 | Total assets 4,305,212 4,768,206",0.94
00295.HK,KONG SUN HOLD,2025,Q_G_CURRENT_ASSET_TURNOVER,0.1508,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803631.pdf,data/raw/hkex_reports/00295.HK/2025/annual_report.pdf,122,"English consolidated statements derived: Revenue 5 321,412 392,963 | Total current assets 2,061,053 2,203,088",0.94
00295.HK,KONG SUN HOLD,2025,Q_G_REVENUE_GROWTH,-18.2081,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803631.pdf,data/raw/hkex_reports/00295.HK/2025/annual_report.pdf,122,"English consolidated income statement derived: Revenue 5 321,412 392,963",0.93
