company_code,company_name,report_year,indicator_code,decision,candidate_count,distinct_values,selected_value,policy_version,reason
600406.SH,国电南瑞,2025,Q_G_TWO_FUNDS_RATE,auto_confirmed,1,54.0805,54.0805,public-disclosure-v3,official_annual_direct_consistent
600406.SH,国电南瑞,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.622,0.622,public-disclosure-v3,official_annual_direct_consistent
600406.SH,国电南瑞,2025,Q_S_RD_RATE,auto_confirmed,1,7.16,7.16,public-disclosure-v3,official_annual_direct_consistent
600803.SH,新奥股份,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-3.2243,-3.2243,public-disclosure-v3,official_annual_direct_consistent
600803.SH,新奥股份,2025,Q_G_ROE,auto_confirmed,1,19.35,19.35,public-disclosure-v3,official_annual_direct_consistent
600803.SH,新奥股份,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,1.14,1.14,public-disclosure-v3,official_annual_direct_consistent
600803.SH,新奥股份,2025,Q_S_RD_RATE,auto_confirmed,1,0.74,0.74,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_AR_TURNOVER,auto_confirmed,1,0.4495,0.4495,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.0869,0.0869,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_CASH_CURRENT_LIABILITY,auto_confirmed,1,43.2437,43.2437,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_CASH_REALIZATION,auto_confirmed,1,187.74,187.74,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_COST_REVENUE_RATE,auto_confirmed,1,81.7461,81.7461,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,0.3485,0.3485,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,72.4189,72.4189,public-disclosure-v3,consolidated_statement_year_end_derived
600821.SH,金开新能,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,1.3733,1.3733,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_OPERATING_MARGIN,auto_confirmed,1,7.9767,7.9767,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_OPERATING_PROFIT_GROWTH,auto_confirmed,1,-74.2123,-74.2123,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-4.4431,-4.4431,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_ROA,auto_confirmed,1,2.7807,2.7807,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_ROE,auto_confirmed,1,1.11,1.11,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_G_TWO_FUNDS_RATE,auto_confirmed,1,77.1935,77.1935,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.1,0.1,public-disclosure-v3,official_annual_direct_consistent
600821.SH,金开新能,2025,Q_S_RD_RATE,auto_confirmed,1,0.36,0.36,public-disclosure-v3,official_annual_direct_consistent
600875.SH,东方电气,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,13.1062,13.1062,public-disclosure-v3,official_annual_direct_consistent
600875.SH,东方电气,2025,Q_G_ROE,auto_confirmed,1,9,9,public-disclosure-v3,official_annual_direct_consistent
600875.SH,东方电气,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.53,0.53,public-disclosure-v3,official_annual_direct_consistent
600875.SH,东方电气,2025,Q_S_RD_RATE,auto_confirmed,1,4.94,4.94,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_AR_TURNOVER,auto_confirmed,1,4.64,4.64,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,1.4356,1.4356,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_CASH_CURRENT_LIABILITY,auto_confirmed,1,47.8302,47.8302,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_CASH_REALIZATION,auto_confirmed,1,102.484,102.484,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_COST_REVENUE_RATE,auto_confirmed,1,85.5233,85.5233,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,2.2923,2.2923,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,2,31.47|31.4741,31.4741,public-disclosure-v3,consolidated_statement_year_end_derived
600885.SH,宏发股份,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,20.6561,20.6561,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_OPERATING_MARGIN,auto_confirmed,1,15.6635,15.6635,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_OPERATING_PROFIT_GROWTH,auto_confirmed,1,10.2298,10.2298,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,21.9818,21.9818,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_ROA,auto_confirmed,1,23.5788,23.5788,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_ROE,auto_confirmed,1,17.23,17.23,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_G_TWO_FUNDS_RATE,auto_confirmed,1,56.2283,56.2283,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.347,0.347,public-disclosure-v3,official_annual_direct_consistent
600885.SH,宏发股份,2025,Q_S_RD_RATE,auto_confirmed,1,5.31,5.31,public-disclosure-v3,official_annual_direct_consistent
600900.SH,长江电力,2025,Q_E_ENERGY_INTENSITY,auto_confirmed,1,2,2,public-disclosure-v3,official_esg_direct_consistent
600900.SH,长江电力,2025,Q_E_GHG_INTENSITY,auto_confirmed,1,6.68,6.68,public-disclosure-v3,official_esg_direct_consistent
600900.SH,长江电力,2025,Q_E_WATER_INTENSITY,auto_confirmed,1,810,810,public-disclosure-v3,official_esg_direct_consistent
600900.SH,长江电力,2025,Q_G_AR_TURNOVER,auto_confirmed,1,10.4041,10.4041,public-disclosure-v3,official_annual_direct_consistent
600900.SH,长江电力,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.3003,0.3003,public-disclosure-v3,official_annual_direct_consistent
600900.SH,长江电力,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,5.0776,5.0776,public-disclosure-v3,official_annual_direct_consistent
600900.SH,长江电力,2025,Q_G_CASH_CURRENT_LIABILITY,auto_confirmed,1,50.919,50.919,public-disclosure-v3,official_annual_direct_consistent
600900.SH,长江电力,2025,Q_G_CASH_REALIZATION,auto_confirmed,1,116.837,116.837,public-disclosure-v3,official_annual_direct_consistent
600900.SH,长江电力,2025,Q_G_COST_REVENUE_RATE,auto_confirmed,1,56.546,56.546,public-disclosure-v3,official_annual_direct_consistent
600900.SH,长江电力,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,5.5648,5.5648,public-disclosure-v3,official_annual_direct_consistent
600900.SH,长江电力,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,2,58.2695|58.27,58.2695,public-disclosure-v3,consolidated_statement_year_end_derived
600900.SH,长江电力,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,5.3896,5.3896,public-disclosure-v3,official_annual_direct_consistent
600900.SH,长江电力,2025,Q_G_OPERATING_MARGIN,auto_confirmed,1,49.3952,49.3952,public-disclosure-v3,official_annual_direct_consistent
600900.SH,长江电力,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,2.0713,2.0713,public-disclosure-v3,official_annual_direct_consistent
600900.SH,长江电力,2025,Q_G_ROA,auto_confirmed,1,17.8445,17.8445,public-disclosure-v3,official_annual_direct_consistent
600900.SH,长江电力,2025,Q_G_ROE,auto_confirmed,2,15.9,15.9,public-disclosure-v3,official_annual_direct_consistent
