company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,recommended_value,review_reason,action,selected_value,reviewer,reviewed_at,note
600312.SH,平高电气,2025,Q_G_REVENUE_GROWTH,2,-21.1887|0.929883,6|7,,conflicting_candidates,,,,,
600346.SH,恒力石化,2025,Q_G_DEBT_ASSET_RATE,2,74.53|74.5323,85|224,,conflicting_candidates,,,,,
600379.SH,宝光股份,2025,Q_G_DEBT_ASSET_RATE,2,60.9176|60.92,14|70,,conflicting_candidates,,,,,
600379.SH,宝光股份,2025,Q_G_REVENUE_GROWTH,2,-13.8757|-0.446103,6|7,,conflicting_candidates,,,,,
600379.SH,宝光股份,2025,Q_G_ROE,2,6.7|6.7057,7|14,,conflicting_candidates,,,,,
600405.SH,动力源,2025,Q_G_DEBT_ASSET_RATE,2,95.9068|95.91,43|93,,conflicting_candidates,,,,,
600416.SH,湘电股份,2025,Q_G_DEBT_ASSET_RATE,2,43.183|51.04,68|80,,conflicting_candidates,,,,,
600416.SH,湘电股份,2025,Q_G_REVENUE_GROWTH,2,-9.39496|3.97199,6|7,,conflicting_candidates,,,,,
600438.SH,通威股份,2025,Q_G_DEBT_ASSET_RATE,2,72.63|72.6338,78|98,,conflicting_candidates,,,,,
600458.SH,时代新材,2025,Q_G_REVENUE_GROWTH,2,-18.4251|7.05827,6|7,,conflicting_candidates,,,,,
600468.SH,百利电气,2025,Q_G_DEBT_ASSET_RATE,2,45.1906|53.78,8|53,,conflicting_candidates,,,,,
600468.SH,百利电气,2025,Q_G_REVENUE_GROWTH,2,-7.32396|12.9735,5|6,,conflicting_candidates,,,,,
600478.SH,科力远,2025,Q_G_DEBT_ASSET_RATE,2,72.8164|72.82,20|80,,conflicting_candidates,,,,,
600483.SH,福能股份,2025,Q_G_DEBT_ASSET_RATE,2,41.8152|41.82,72|179,,conflicting_candidates,,,,,
600505.SH,西昌电力,2025,Q_G_REVENUE_GROWTH,2,3.94379|13.6193,6|7,,conflicting_candidates,,,,,
600508.SH,上海能源,2025,Q_S_RD_RATE,1,4.12,9,4.12,single_or_consistent,,,,,
600509.SH,天富能源,2025,Q_G_DEBT_ASSET_RATE,2,65.1663|65.17,10|91,,conflicting_candidates,,,,,
600577.SH,精达股份,2025,Q_G_REVENUE_GROWTH,2,-12.6601|10.5323,7|8,,conflicting_candidates,,,,,
600578.SH,京能电力,2025,Q_G_DEBT_ASSET_RATE,2,64.25|64.2521,97|229,,conflicting_candidates,,,,,
600578.SH,京能电力,2025,Q_G_ROE,2,3.45|14.46,8|38,,conflicting_candidates,,,,,
600642.SH,申能股份,2025,Q_G_REVENUE_GROWTH,2,-5.36801|30.5489,6|7,,conflicting_candidates,,,,,
