company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,recommended_value,review_reason,action,selected_value,reviewer,reviewed_at,note
688660.SH,电气风电,2025,Q_S_RD_RATE,3,4.36|4.4,8|25|54,,conflicting_candidates,,,,,
688676.SH,金盘科技,2025,Q_G_DEBT_ASSET_RATE,3,53.76|57.86|57.8641,161|173|299,,conflicting_candidates,,,,,
688680.SH,海优新材,2025,Q_G_DEBT_ASSET_RATE,2,56.2|56.2016,100|116,,conflicting_candidates,,,,,
688681.SH,科汇股份,2025,Q_G_REVENUE_GROWTH,2,-2.26087|20.312,7|8,,conflicting_candidates,,,,,
688707.SH,振华新材,2025,Q_G_DEBT_ASSET_RATE,2,39.29|39.2902,91|190,,conflicting_candidates,,,,,
688719.SH,爱科赛博,2025,Q_G_DEBT_ASSET_RATE,2,31.91|31.9131,137|250,,conflicting_candidates,,,,,
688719.SH,爱科赛博,2025,Q_G_REVENUE_GROWTH,2,-3.47831|28.9387,7|8,,conflicting_candidates,,,,,
688772.SH,珠海冠宇,2025,Q_G_DEBT_ASSET_RATE,5,65.32|68.185|68.19,103|111|117|234,,conflicting_candidates,,,,,
688778.SH,厦钨新能,2025,Q_G_DEBT_ASSET_RATE,4,37.98|56.29|56.2919,115|132|257,,conflicting_candidates,,,,,
688778.SH,厦钨新能,2025,Q_G_REVENUE_GROWTH,2,-33.68|46.7036,10|12,,conflicting_candidates,,,,,
688779.SH,五矿新能,2025,Q_G_DEBT_ASSET_RATE,3,45.19|55.13|55.1327,83|98,,conflicting_candidates,,,,,
688779.SH,五矿新能,2025,Q_G_REVENUE_GROWTH,2,-31.6667|68.6209,7|8,,conflicting_candidates,,,,,
688819.SH,天能股份,2025,Q_G_DEBT_ASSET_RATE,2,60.9869|60.99,34|124,,conflicting_candidates,,,,,
688819.SH,天能股份,2025,Q_G_REVENUE_GROWTH,2,-2.64423|1.66637,10|11,,conflicting_candidates,,,,,
920110.BJ,雷特科技,2025,Q_G_DEBT_ASSET_RATE,2,7.49|7.49427,90|158,,conflicting_candidates,,,,,
920375.BJ,派诺科技,2025,Q_G_DEBT_ASSET_RATE,2,36.3079|36.31,77|195,,conflicting_candidates,,,,,
920496.BJ,许昌智能,2025,Q_G_ROE,2,1.91|9,8|208,,conflicting_candidates,,,,,
920779.BJ,武汉蓝电,2025,Q_G_ROE,4,11.46|12.59|158,8|158|159,,conflicting_candidates,,,,,
920809.BJ,安达科技,2025,Q_G_ROE,3,-16.16|-15.24,10|148,,conflicting_candidates,,,,,
920985.BJ,海泰新能,2025,Q_G_DEBT_ASSET_RATE,2,86.89|129.996,42|87,,conflicting_candidates,,,,,
