company_code,company_name,report_year,document_type,source_url,published_date,title
600236.SH,桂冠电力,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600236_20260331_TYBB.pdf,2026-03-31,广西桂冠电力股份有限公司2025年度可持续发展报告
600241.SH,时代万恒,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-09/600241_20260409_OLEA.pdf,2026-04-09,辽宁时代万恒股份有限公司2025年年度报告
600256.SH,广汇能源,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-24/600256_20260424_S4XO.pdf,2026-04-24,广汇能源股份有限公司2025年年度报告
600256.SH,广汇能源,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-24/600256_20260424_F6OL.pdf,2026-04-24,广汇能源股份有限公司2025年度社会责任报告
600268.SH,国电南自,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-27/600268_20260327_Z6WE.pdf,2026-03-27,国电南自2025年年度报告
600310.SH,广西能源,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-27/600310_20260327_4GRM.pdf,2026-03-27,广西能源股份有限公司2025年年度报告
600312.SH,平高电气,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-11/600312_20260411_0SNQ.pdf,2026-04-11,河南平高电气股份有限公司2025年年度报告
600333.SH,长春燃气,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-24/600333_20260424_0I7C.pdf,2026-04-24,长春燃气2025年年度报告
600339.SH,中油工程,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-11/600339_20260411_1IH9.pdf,2026-04-11,中油工程2025年年度报告
600346.SH,恒力石化,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-12/600346_20260512_QVZG.pdf,2026-05-12,恒力石化2025年年度报告（英文版）
600346.SH,恒力石化,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-05-12/600346_20260512_9H2H.pdf,2026-05-12,恒力石化2025年度可持续发展报告（英文版）
600379.SH,宝光股份,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-11/600379_20260411_H9EB.pdf,2026-04-11,宝光股份2025年年度报告
600395.SH,盘江股份,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600395_20260423_G5BQ.pdf,2026-04-23,盘江股份2025年年度报告
600395.SH,盘江股份,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600395_20260423_OXEL.pdf,2026-04-23,盘江股份2025年度社会责任报告
600396.SH,华电辽能,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600396_20260430_SYVA.pdf,2026-04-30,2025年年度报告
600397.SH,江钨装备,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-20/600397_20260420_D9ZM.pdf,2026-04-20,江钨装备2025年年度报告
600405.SH,动力源,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-25/600405_20260425_UNYQ.pdf,2026-04-25,2025年年度报告
600406.SH,国电南瑞,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600406_20260430_JEME.pdf,2026-04-30,国电南瑞2025年年度报告
600416.SH,湘电股份,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-10/600416_20260410_6NBL.pdf,2026-04-10,湘潭电机股份有限公司2025年年度报告
600438.SH,通威股份,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-06-17/600438_20260617_MZ0P.pdf,2026-06-17,通威股份有限公司2025年年度报告（英文版）
600438.SH,通威股份,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-06-17/600438_20260617_PJQ9.pdf,2026-06-17,通威股份有限公司2025年环境、社会与公司治理报告暨可持续发展报告（英文版）
600452.SH,涪陵电力,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-17/600452_20260417_U9FG.pdf,2026-04-17,涪陵电力2025年年度报告全文
600458.SH,时代新材,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-28/600458_20260328_QCOJ.pdf,2026-03-28,2025年年度报告
600468.SH,百利电气,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-22/600468_20260422_YTDU.pdf,2026-04-22,天津百利特精电气股份有限公司2025年年度报告
600475.SH,华光环能,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-29/600475_20260429_GPHD.pdf,2026-04-29,无锡华光环保能源集团股份有限公司2025年年度报告
600478.SH,科力远,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-25/600478_20260425_MLC6.pdf,2026-04-25,科力远2025年年度报告
600481.SH,双良节能,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-28/600481_20260428_47EB.pdf,2026-04-28,双良节能系统股份有限公司2025年年度报告
600481.SH,双良节能,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-28/600481_20260428_Z2CC.pdf,2026-04-28,双良节能系统股份有限公司2025年度环境、社会和公司治理报告
600482.SH,中国动力,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600482_20260430_AK7F.pdf,2026-04-30,中国动力2025年年度报告
600482.SH,中国动力,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-30/600482_20260430_PH30.pdf,2026-04-30,中国动力2025年可持续发展报告
600483.SH,福能股份,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600483_20260423_GX9A.pdf,2026-04-23,福能股份2025年年度报告
