stock_code,evidence_url,reason
601666.SH,data/reference/2025_top200_ocr.txt,2025参考榜单前200且匹配上交所当前快照
688005.SH,data/reference/2025_top200_ocr.txt,2025参考榜单前200且匹配上交所当前快照
600925.SH,data/reference/2025_top200_ocr.txt,2025参考榜单前200且匹配上交所当前快照
