stock_code,chinese_name,chinese_short_name,company_summary,hsic_industry,hsic_sub_sector,csic_classification,listing_category,primary_market,incorporation_place,profile_updated_at,source_url,evidence_status
01940.HK,China Gas Industry Investment Holdings Co. Ltd.,CGII HLDGS,China Gas Industry Investment Holdings Co Ltd是一家主要從事工業氣體的生產及供應的投資控股公司。該公司主要通過三個分部運營其業務。供應工業氣體分部從事供應包括氧氣、氮氣、氬氣、氫氣及二氧化碳的工業氣體產品。液化天然氣（LNG）及氣體輸送服務分部從事供應液化天然氣產品以及提供焦爐煤氣增壓及輸送服務。技術支援及管理服務分部從事提供技術支援及管理服務，包括管理有關工業氣體產品生產及供應的組織及規劃、設備檢查、設備維護、日常維護、安全、勞工及人員等。該公司主要在國內市場開展業務。,能源業 - 石油及天然氣,油氣生產商,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1940,candidate
00975.HK,Mongolian Mining Corporation,MONGOL MINING,Mongolian Mining Corp是一家主要從事煤炭業務的公司。該公司通過兩個部門運營業務。煤炭開採分部主要從事開採、加工、運輸及銷售煤炭產品業務。產品主要包括洗選硬焦煤、洗選中灰半硬焦煤、洗選半軟焦煤、中煤和原動力煤。黃金開採分部主要從事開採、加工、運輸及銷售黃金產品業務。,能源業 - 煤炭,煤炭,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=975,candidate
00702.HK,中國油氣控股有限公司,中國油氣控股,中國油氣控股有限公司是一家主要從事原煤及精煤洗選、銷售業務的香港投資控股公司。該公司通過四個分部運營。原煤及精煤分部從事原煤洗選業務以及原煤和精煤的銷售業務。煤層氣分部從事煤層氣的勘探、開發及生產業務。石油及天然氣開採分部從事原油及天然氣的開採及銷售業務。財務服務分部主要提供財務服務。,能源業 - 石油及天然氣,油氣生產商,,主要上市,,百慕達,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=702,candidate
01738.HK,飛尚無煙煤資源有限公司,飛尚無煙煤,飛尚無煙煤資源有限公司是一家從事無煙煤開採及銷售及無煙煤貿易的投資控股公司。該公司運營白坪煤礦、永晟煤礦、大運煤礦以及六家壩煤礦。該公司主要在中國國内市場開展業務。,能源業 - 煤炭,煤炭,,主要上市,,英屬維爾京群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1738,candidate
03303.HK,巨濤海洋石油服務有限公司,巨濤海洋石油服務,巨濤海洋石油服務有限公司是一家主要從事油氣設施及油氣工藝處理設備制造業務的投資控股公司。該公司經營兩个業務分部：石油與天然氣行業裝備工程及綜合服務分部和新能源和煉化行業裝備工程及綜合服務分部。該公司主要向石油天然氣行業及新能源行業提供裝備制造、工程及綜合服務。該公司還提供水下維修服務以及向造船行業提供技術支援服務業務等。,能源業 - 石油及天然氣,油氣設備與服務,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3303,candidate
02728.HK,金泰能源控股有限公司,金泰能源控股,金泰能源控股有限公司是一家主要從事能源業務的投資控股公司。該公司主要從事六項業務。能源貿易業務涵蓋化學產品進口分銷，以及國內汽油、柴油和化學產品的分銷。產業園區營運業務整合能源石化、煤炭、鋼鐵、礦石等資源，打造產業聚集區，並提供供應鏈金融、交易平台、行銷及訓練服務。油氣開採服務業務提供油氣開發工程施工與技術支援。能源互聯網業務涵蓋生產、分銷、零售、物流、金融、行銷、會議及培訓等服務。供應鏈服務業務供應鏈服務結合倉儲與金融。其他業務提供鑽井服務和其他產品貿易業務。,能源業 - 石油及天然氣,油氣生產商,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2728,candidate
01608.HK,偉能集團國際控股有限公司,偉能集團,偉能集團國際控股有限公司為一家主要從事投資、建設及營運業務的投資控股公司。該公司通過兩個分部運營業務。投資、建設及營運業務分部主要從事投資、建設及營運分佈式發電站，以及提供分佈式發電方案。系統集成業務分部主要從事設計、集成、銷售及安裝發動機式發電機組。,公用事業 - 公用事業,常規電力,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1608,candidate
02178.HK,百勤油田服務有限公司,百勤油服,百勤油田服務有限公司是一家投資控股公司，主要為油氣田提供涵蓋油田壽命週期不同階段（包括鑽井及增產）的油田技術服務以及諮詢服務。該公司還從事油氣田相關產品的貿易活動。該公司主要通過兩個業務部門運營，包括油田專案工具及服務分部及諮詢服務分部。諮詢服務部門提供綜合項目管理服務及監督服務。該公司主要在國內市場開展業務。,能源業 - 石油及天然氣,油氣設備與服務,,主要上市,,英屬維爾京群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2178,candidate
08536.HK,TL Natural Gas Holdings Ltd.,TL NATURAL GAS,TL Natural Gas Holdings Ltd是一家主要從事天然氣銷售的投資控股公司。該公司的主營業務包括壓縮天然氣及液化天然氣銷售、天然氣輸送服務和提供數字營銷服務。該公司還提供自動洗車服務及快餐餐飲服務。該公司主要向車輛終端用戶、城鎮燃氣公司、加氣站營運商及工業用戶分銷天然氣。該公司主要在中國市場經營業務。,能源業 - 石油及天然氣,油氣生產商,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=8536,candidate
00968.HK,信義光能控股有限公司,信義光能,信義光能控股有限公司是一家主要從事生產和銷售太陽能玻璃產品，以及太陽能發電場開發經營業務的公司。該公司及其附屬公司通過三個部門開展業務。太陽能玻璃銷售部門主要從事銷售太陽能玻璃業務。太陽能發電場業務部門主要包括太陽能發電場開發及太陽能發電。其他部門主要包括工程總承包項目（EPC）服務及礦產品銷售等其它業務。該公司的產品超白太陽能壓花玻璃（原片及鋼化片）、減反射鍍膜玻璃及板玻璃。該公司主要在中國國內和海外市場開展業務。,工業 - 工業工程,新能源物料,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=968,candidate
